date,open,high,low,close,volume
2014-04-28,58.5127,58.9105,57.9947,58.6977,1666982
2014-04-29,58.929,59.4841,58.7977,59.1973,1758493
2014-04-30,58.9753,60.3999,58.8273,60.2982,3099892
2014-05-01,59.9096,60.2889,59.0678,60.0114,2151107
2014-05-02,60.0299,60.0299,59.3453,59.4563,1796969
2014-05-05,59.2066,60.4092,59.0955,60.2242,1767273
2014-05-06,59.8634,60.1317,59.7339,59.9189,1445797
2014-05-07,60.0114,60.0947,59.4471,59.7061,1946748
2014-05-08,59.5673,60.3676,59.3869,59.5766,1586471
2014-05-09,59.6876,60.8255,59.2251,60.6682,2715846
2014-05-12,61.0383,61.7228,60.9365,61.6766,1719577
2014-05-13,61.5656,61.9819,61.103,61.8431,2622451
2014-05-14,61.8523,62.3704,61.7043,62.2594,1976824
2014-05-15,62.0969,62.6725,61.9113,62.6632,1934871
2014-05-16,62.5333,63.443,62.4868,63.4152,2558250
2014-05-19,63.6194,64.5199,63.4152,64.4457,3277747
2014-05-20,64.4364,64.8727,63.8608,64.7891,1907659
2014-05-21,64.7891,65.7361,64.7891,65.6432,2327406
2014-05-22,65.7082,66.5251,65.5225,66.2374,1772193
2014-05-23,66.423,66.5716,66.0534,66.5066,1155062
2014-05-27,66.618,67.2214,66.5716,67.2121,1521070
2014-05-28,67.175,67.6206,66.9243,67.4721,2384825
2014-05-29,67.4813,68.159,67.4813,68.0291,1611723
2014-05-30,68.0848,68.2983,67.5092,67.9362,3909596
2014-06-02,68.0569,68.5025,67.8434,67.9641,1602057
2014-06-03,67.7227,67.9548,67.4628,67.8527,1717742
2014-06-04,67.8712,68.3911,67.6299,68.3818,1734230
2014-06-05,68.2426,68.5211,67.3328,67.5742,2691569
2014-06-06,67.732,67.732,66.8872,67.305,2388418
2014-06-09,67.2121,67.6206,66.9429,67.1564,1581366
2014-06-10,66.9986,67.3699,66.5437,66.8501,1796736
2014-06-11,66.7294,66.8965,66.3488,66.7665,1323978
2014-06-12,66.6458,66.8872,66.0053,66.3395,1509338
2014-06-13,66.3302,66.7479,65.9124,66.6365,1269685
2014-06-16,66.4787,66.9336,66.126,66.3952,1259561
2014-06-17,66.2559,66.7758,66.0795,66.5994,951616
2014-06-18,66.5159,67.0636,66.0795,66.9336,1052417
2014-06-19,67.0079,67.2307,66.5066,66.7758,1256916
2014-06-20,66.9986,67.2678,66.7572,67.0822,2560137
2014-06-23,67.2771,67.5556,67.0914,67.2864,969644
2014-06-24,67.0079,67.5278,66.7572,67.3514,1413799
2014-06-25,67.3792,67.8712,67.2121,67.5278,1029354
2014-06-26,67.5278,67.6299,67.2028,67.5092,931745
2014-06-27,67.3885,68.0012,67.24,67.6484,1121183
2014-06-30,67.7598,67.7598,67.2121,67.4535,1105872
2014-07-01,67.4628,68.0105,67.3885,67.7506,1096350
2014-07-02,67.6113,67.9362,67.5092,67.8155,1272892
2014-07-03,68.0755,68.159,67.8155,67.9826,943930
2014-07-07,67.9548,67.9826,67.4536,67.7784,892266
2014-07-08,67.7691,67.8341,67.3978,67.6484,1273330
2014-07-09,67.862,68.0105,67.4628,67.7506,729488
2014-07-10,67.3421,67.8991,66.851,67.6949,764149
2014-07-11,67.7134,67.862,67.24,67.7506,527146
2014-07-14,68.0662,68.2333,67.6299,67.862,664817
2014-07-15,67.5835,67.8527,67.2585,67.4906,1672248
2014-07-16,67.7598,67.7598,67.2121,67.7413,1446615
2014-07-17,67.5649,68.2797,67.2957,67.4906,1274324
2014-07-18,67.6299,68.0476,67.3607,67.8248,1431481
2014-07-21,67.6949,67.7691,67.1936,67.5278,1055071
2014-07-22,67.8248,68.5861,67.7877,68.4375,1257019
2014-07-23,68.4561,68.9574,68.3447,68.7532,1931615
2014-07-24,71.5289,73.4599,70.2014,70.8976,4459397
2014-07-25,70.9348,71.5382,70.7491,71.2876,2049734
2014-07-28,71.2504,72.1509,71.0787,71.8538,3131747
2014-07-29,71.8446,72.4016,71.7146,72.0581,1533998
2014-07-30,72.4016,72.8379,72.1258,72.3644,1270841
2014-07-31,72.1045,72.448,71.2226,71.399,2099234
2014-08-01,71.7424,72.3366,71.0555,72.2159,3296305
2014-08-04,71.7424,72.3366,71.0555,72.2159,3296305
2014-08-05,71.7332,72.2066,71.334,71.5289,1668612
2014-08-06,71.1762,71.3618,70.0808,70.582,2228307
2014-08-07,70.8976,70.9791,69.4958,69.5887,2009757
2014-08-08,69.6258,70.155,69.3102,70.025,1353122
2014-08-11,70.3406,70.9162,70.1178,70.452,1267074
2014-08-12,70.4985,70.6656,70.1828,70.3871,1084400
2014-08-13,70.712,71.009,70.4985,70.6841,1170230
2014-08-14,70.8284,71.3685,70.8135,71.3499,1044199
2014-08-15,71.5082,71.7038,70.8657,71.0799,1594725
2014-08-18,71.2661,71.6945,71.1078,71.3313,698416
2014-08-19,71.4058,71.7969,71.3592,71.6386,715761
2014-08-20,71.6386,71.7224,71.3127,71.5734,718598
2014-08-21,71.7597,72.0483,71.592,71.6386,758924
2014-08-22,71.7503,71.9692,71.173,71.3313,681067
2014-08-25,71.7317,71.9738,71.3965,71.6293,454559
2014-08-26,71.5641,71.62,71.0985,71.443,615982
2014-08-27,71.6758,71.6758,70.7735,71.1171,774424
2014-08-28,71.0612,71.6293,70.8564,71.443,580792
2014-08-29,71.7038,72.0856,71.5175,72.067,992147
2014-09-02,72.1787,72.3463,71.7503,71.8435,1112317
2014-09-03,72.1787,72.3091,71.8807,72.039,665290
2014-09-04,72.0018,72.5791,71.7783,72.0297,840115
2014-09-05,71.8714,72.8771,71.6852,72.7654,1240679
2014-09-08,72.5605,73.193,72.4674,72.9423,1086239
2014-09-09,72.8399,72.9423,72.4767,72.635,1084259
2014-09-10,72.7747,72.9516,72.4674,72.5978,913905
2014-09-11,72.188,72.3789,71.4524,72.0297,1787043
2014-09-12,72.0297,72.2625,71.3406,71.7969,1329951
2014-09-15,71.6945,71.7992,71.2847,71.5548,994352
2014-09-16,71.2102,72.1135,70.5025,71.8062,1988534
2014-09-17,71.9366,71.9738,70.9495,71.2661,1691112
2014-09-18,71.5269,71.918,71.4244,71.8248,1121072
2014-09-19,72.1415,72.7467,72.0018,72.0111,3064569
2014-09-22,72.0297,72.2253,71.471,71.8714,1283503
2014-09-23,71.443,71.8435,71.173,71.5082,1196226
2014-09-24,71.6293,72.7467,71.4077,72.6722,1749773
2014-09-25,72.3649,72.6536,71.7876,72.1601,1738180
2014-09-26,72.0856,72.3277,71.5734,72.0949,910138
2014-09-29,71.7503,72.486,71.6572,72.2905,973068
2014-09-30,72.3091,72.6536,71.8807,71.9831,1373497
2014-10-01,72.8306,72.8306,71.1823,71.4151,1491693
2014-10-02,71.3406,71.9366,71.1125,71.5827,1470542
2014-10-03,71.8062,72.8306,71.8062,72.5326,1578682
2014-10-06,72.7002,73.1751,71.7224,72.188,1328932
2014-10-07,71.89,71.9273,71.2195,71.2382,1070363
2014-10-08,71.1171,72.6164,71.0799,72.5326,1419595
2014-10-09,72.5326,73.0634,71.8341,71.89,1498999
2014-10-10,72.0297,72.7374,71.5734,71.6107,1407495
2014-10-13,71.6479,71.8807,70.5398,70.6236,1534841
2014-10-14,71.0054,72.0204,70.456,71.3592,1645429
2014-10-15,70.577,71.1544,69.385,70.7912,2385579
2014-10-16,70.1952,70.6514,69.2081,69.86,2415304
2014-10-17,70.279,70.9402,70.1393,70.6236,1590322
2014-10-20,70.6515,70.7912,69.9438,70.2976,2599298
2014-10-21,70.9588,71.5734,70.7912,71.3499,3045483
2014-10-22,71.6107,71.89,71.322,71.3592,1946443
2014-10-23,72.0018,72.5419,71.8714,72.1135,1979067
2014-10-24,72.3649,72.9423,72.1042,72.8957,1425460
2014-10-27,72.9516,74.4881,72.9051,73.9853,3261053
2014-10-28,74.4788,74.4881,73.5057,74.1715,2253399
2014-10-29,74.1063,74.6744,73.8083,74.2553,2529790
2014-10-30,81.9006,82.6735,81.5188,82.6083,1323449
2014-10-31,79.2094,80.0754,78.9393,79.5353,3248353
2014-11-03,79.9078,80.9787,79.6936,80.9228,2569215
2014-11-04,80.6714,82.1474,80.5457,82.1241,2796558
2014-11-05,82.7201,83.0926,81.584,81.7702,2050282
2014-11-06,81.9099,82.0496,80.8483,81.3884,2317247
2014-11-07,81.7609,81.7609,80.5364,80.7645,2199257
2014-11-10,81.0346,81.8196,80.569,81.6771,1297153
2014-11-11,81.6771,82.3569,81.6119,81.882,1214458
2014-11-12,81.9006,82.6735,81.5188,82.6083,1323449
2014-11-13,82.7205,83.5987,82.7205,83.225,1563532
2014-11-14,83.0288,83.3744,82.5336,82.9914,1635048
2014-11-17,82.9914,83.8042,82.7485,83.1596,1624510
2014-11-18,83.1502,84.0565,82.8419,83.8603,1611233
2014-11-19,83.5613,84.0283,83.0474,83.4492,2207291
2014-11-20,83.3277,83.4352,82.5336,83.0568,1411695
2014-11-21,83.1502,83.1782,82.3094,82.9073,1635722
2014-11-24,83.3464,84.1779,83.3464,84.1219,1309498
2014-11-25,84.1219,84.5049,83.6267,84.3835,1205405
2014-11-26,84.29,84.8318,83.6174,84.1686,974913
2014-11-28,84.5423,85.57,84.5143,85.0655,758326
2014-12-01,84.6824,85.3925,84.3461,84.8693,1586399
2014-12-02,84.9534,86.4295,84.8973,85.9904,1769841
2014-12-03,85.9437,86.3174,85.6868,85.9437,1533075
2014-12-04,85.8316,86.5556,85.6541,85.9063,1444872
2014-12-05,86.3081,86.4762,85.8222,86.1492,740071
2014-12-08,85.9624,86.7378,85.925,86.4762,1507429
2014-12-09,85.4392,86.1866,84.8039,86.0371,1409215
2014-12-10,85.8783,86.2146,84.8412,84.944,1244290
2014-12-11,85.8876,86.7378,85.5046,86.4669,1767694
2014-12-12,85.8409,86.4482,84.944,85.0001,1691484
2014-12-15,85.5326,85.6914,84.0658,84.7291,2359807
2014-12-16,84.262,85.1589,83.3885,83.552,2243390
2014-12-17,83.9163,85.0374,83.6033,84.6077,1958540
2014-12-18,85.1309,85.3831,84.4862,85.2804,2160743
2014-12-19,85.9904,86.4762,85.1309,85.6541,2886939
2014-12-22,86.1959,86.4762,85.4672,85.897,1576047
2014-12-23,86.3267,86.5603,84.7291,85.4112,1175836
2014-12-24,85.626,86.1959,85.4485,85.5793,436029
2014-12-26,85.5233,86.1492,85.299,85.4952,393279
2014-12-29,85.2617,85.8503,85.1869,85.6073,752672
2014-12-30,85.4579,85.6447,85.0935,85.2804,1088552
2014-12-31,85.5513,85.8876,84.1686,84.234,978958
2015-01-02,84.6544,85.3177,83.9163,84.5143,1124780
2015-01-05,84.1499,84.7758,83.7481,83.7949,1631322
2015-01-06,84.2153,85.4112,83.636,84.2527,1761559
2015-01-07,85.0001,86.3267,84.4862,85.9343,1608941
2015-01-08,85.7101,86.6724,85.1682,86.1305,2399882
2015-01-09,86.3641,87.1396,86.252,86.8873,1553653
2015-01-12,87.6067,88.1486,84.5983,84.9534,3524557
2015-01-13,85.8316,87.2797,84.9562,85.6167,3463946
2015-01-14,85.4112,86.7658,84.6357,86.0465,1999984
2015-01-15,86.0932,86.3267,85.1122,85.3925,1362570
2015-01-16,85.1496,86.3828,84.4115,86.3454,1541666
