date,open,high,low,close,volume
2014-04-28,98.7172,99.2117,95.5556,98.4522,6113899
2014-04-29,99.1764,99.3089,97.7369,98.8232,4116169
2014-04-30,98.7437,99.1499,97.5073,98.6907,4465932
2014-05-01,98.3639,99.9801,97.8605,99.5827,3643094
2014-05-02,99.9094,100.4305,98.62,99.2824,4319178
2014-05-05,98.3728,100.0949,97.9047,99.9536,2544453
2014-05-06,99.406,100.3863,99.0881,99.1588,3760869
2014-05-07,98.6642,99.6533,97.834,99.5915,2823929
2014-05-08,99.2647,100.4305,97.6486,97.834,4161937
2014-05-09,97.5868,98.5317,96.6241,98.4544,3487770
2014-05-12,98.7172,99.5562,98.3728,98.673,3555431
2014-05-13,99.1526,99.6143,98.3534,98.3978,3676843
2014-05-14,98.6908,99.8807,98.1403,99.5167,2991454
2014-05-15,99.4545,99.7386,97.6075,97.936,2785390
2014-05-16,98.4422,99.4811,98.2024,99.4012,4193637
2014-05-19,98.7796,99.8718,98.4955,99.5255,3655495
2014-05-20,100.1649,100.2093,99.3568,99.6499,3234221
2014-05-21,99.5255,101.0884,99.419,100.7776,2805121
2014-05-22,100.5023,102.6424,100.3514,101.9941,2582723
2014-05-23,102.1096,102.225,100.8398,101.5235,2815887
2014-05-27,102.7667,102.9354,101.8698,102.9088,2514130
2014-05-28,103.0952,103.3439,102.4381,102.7134,2261668
2014-05-29,102.8022,103.4504,102.5624,103.0064,2123088
2014-05-30,103.5126,103.5126,102.1451,102.9976,2251617
2014-06-02,103.6458,103.9477,102.8555,103.406,2741160
2014-06-03,103.406,104.5338,103.184,104.001,2474120
2014-06-04,104.3384,106.0078,104.0898,105.8036,3051548
2014-06-05,105.9723,105.9723,104.4272,104.5515,3115993
2014-06-06,105.5106,105.5194,103.9122,104.6226,2559230
2014-06-09,104.3118,104.5959,103.042,103.3616,2900146
2014-06-10,102.7933,104.0276,102.74,103.9832,1912803
2014-06-11,103.8589,104.3562,102.6512,103.3084,2178396
2014-06-12,103.1308,103.557,102.6602,103.184,1805743
2014-06-13,103.6014,103.6236,102.3849,103.0331,1456995
2014-06-16,103.0064,103.8145,102.7622,103.1485,2159567
2014-06-17,103.6724,103.7612,102.7134,103.1574,2108891
2014-06-18,103.3972,104.3917,102.5624,104.3295,2549136
2014-06-19,104.889,104.889,104.0543,104.6492,2206257
2014-06-20,105.253,107.4464,104.6315,107.4197,6250787
2014-06-23,107.1622,107.3132,105.2264,105.7858,2317976
2014-06-24,106.0789,106.7893,105.0852,105.4839,2003064
2014-06-25,105.404,106.8603,105.0311,106.0434,2666780
2014-06-26,106.5229,106.5317,104.3207,105.7947,2311406
2014-06-27,106.0878,106.1144,104.3384,105.3063,3331902
2014-06-30,105.6349,105.8214,104.96,105.111,2422723
2014-07-01,106.0167,107.0024,105.7148,106.8337,2076210
2014-07-02,106.6294,107.6417,106.5762,107.473,1447029
2014-07-03,107.846,109.0892,107.1977,109.0892,1963370
2014-07-07,108.2012,109.32,106.5939,106.7005,3075707
2014-07-08,106.5495,107.4286,105.7592,106.5229,2461211
2014-07-09,106.958,107.1089,105.5994,106.1766,2647622
2014-07-10,105.5905,105.848,104.6759,105.626,2642494
2014-07-11,106.9402,107.2688,105.7681,106.3542,2733159
2014-07-14,107.3043,107.3221,105.5017,105.6526,2149725
2014-07-15,105.4395,106.0878,103.5126,103.7701,3963117
2014-07-16,104.6492,104.6492,103.2462,104.5249,4087077
2014-07-17,103.6547,104.0454,102.3049,102.4648,2692241
2014-07-18,103.1041,105.3862,102.0563,105.0488,3483921
2014-07-21,104.4539,105.9723,104.072,105.697,3079901
2014-07-22,106.1943,107.6861,105.9812,107.5441,2806123
2014-07-23,107.7838,108.6807,107.4464,108.3432,3527538
2014-07-24,108.4676,108.654,107.7305,108.5652,3219699
2014-07-25,108.3077,109.1158,108.0413,109.0803,3028901
2014-07-28,108.8938,109.2667,108.0324,108.9116,2432016
2014-07-29,108.7961,110.4566,108.5564,109.4976,3988149
2014-07-30,114.2217,116.5364,114.2217,115.4471,8472513
2014-07-31,114.0086,114.8522,112.8098,113.1206,4841225
2014-08-01,112.0373,113.0407,110.7852,111.4867,4543694
2014-08-04,114.5503,114.8939,112.3481,114.2395,6403729
