date,open,high,low,close,volume
2014-04-28,75.6129,76.0257,75.132,75.7217,1639158
2014-04-29,75.9304,76.0574,75.2046,75.3044,1664414
2014-04-30,75.3679,75.9985,75.259,75.7762,2238159
2014-05-01,76.257,78.498,75.9395,78.2349,3442306
2014-05-02,78.0897,79.8408,77.9809,78.9335,2788519
2014-05-05,78.6976,80.5848,78.5888,80.2037,2769232
2014-05-06,79.4234,79.5686,79.0605,79.115,2792003
2014-05-07,80.1402,80.6392,79.4688,80.1583,2843333
2014-05-08,80.0223,80.4484,79.6956,80.0676,1706136
2014-05-09,80.2219,80.4305,79.868,80.4305,1289761
2014-05-12,80.612,80.612,79.986,80.1221,1729104
2014-05-13,80.113,81.6554,80.0495,80.3217,1330608
2014-05-14,80.4124,81.111,80.4033,80.5303,1254786
2014-05-15,80.3852,80.5213,79.5777,80.4396,1501796
2014-05-16,80.5213,81.2471,80.0676,80.6211,1578971
2014-05-19,80.3307,80.8388,79.6185,79.6956,1515290
2014-05-20,79.6775,80.3035,79.3872,79.868,1677554
2014-05-21,79.9587,80.2581,79.8317,80.1856,1197355
2014-05-22,80.2491,80.621,80.1311,80.2581,1345116
2014-05-23,80.2854,80.6936,79.8952,80.2128,1234667
2014-05-27,80.4033,81.0203,80.358,80.7481,1321522
2014-05-28,80.2672,81.0157,80.1493,80.9205,1371766
2014-05-29,80.866,81.1564,80.5576,81.0928,1235439
2014-05-30,81.0384,81.4104,80.8388,81.3197,1676485
2014-06-02,81.356,81.4558,79.995,80.1946,2296071
2014-06-03,80.1946,80.6483,80.1946,80.494,1572599
2014-06-04,80.494,80.857,80.113,80.7572,1896902
2014-06-05,80.857,81.5011,80.5303,81.4104,1587545
2014-06-06,81.4921,82.236,81.3378,82.0364,1457151
2014-06-09,82.1362,82.3177,81.1201,81.3469,1764540
2014-06-10,81.0928,81.9003,80.5576,81.0384,1267600
2014-06-11,80.7934,80.7934,80.1493,80.5394,1131319
2014-06-12,80.5303,80.5303,79.6593,80.0585,1772896
2014-06-13,80.6779,80.6915,79.6214,80.5504,1296418
2014-06-16,80.7781,80.8418,79.6122,80.0859,1192468
2014-06-17,79.9948,80.5777,79.5758,80.3591,1727449
2014-06-18,80.2043,80.3682,79.2844,80.2134,1554603
2014-06-19,80.1587,80.8327,79.8764,80.8327,1455657
2014-06-20,80.8054,81.1879,80.4502,81.1515,1811093
2014-06-23,81.0604,81.279,80.9147,81.1424,915131
2014-06-24,80.8782,81.616,80.8509,81.2881,1223455
2014-06-25,80.5959,81.5887,80.5959,81.3154,1126194
2014-06-26,81.279,81.3701,80.687,80.7234,1493233
2014-06-27,80.6506,81.5249,80.6506,81.0786,1398601
2014-06-30,81.1151,81.9712,80.9511,81.953,2167521
2014-07-01,82.0441,82.0441,81.2972,81.7071,2419281
2014-07-02,81.698,82.126,81.2927,81.7344,1913060
2014-07-03,81.7253,82.0532,81.1059,81.9803,1165653
2014-07-07,81.7162,82.7454,81.6069,82.6361,1794911
2014-07-08,82.3902,82.6953,81.9712,82.2991,1750234
2014-07-09,82.3902,83.0095,81.8528,82.7636,1613608
2014-07-10,82.208,83.4451,82.0714,83.2554,1569669
2014-07-11,83.2008,83.6379,82.8729,83.4649,1066214
2014-07-14,83.7472,83.8839,83.2645,83.7655,1469103
2014-07-15,83.7472,83.811,82.7089,83.4558,1776511
2014-07-16,83.7017,83.9385,83.2827,83.8383,1294252
2014-07-17,83.4922,83.7882,82.6497,82.7363,1331640
2014-07-18,83.1006,84.2755,82.9913,84.2209,1561902
2014-07-21,83.9476,84.0932,83.5924,83.6653,1031194
2014-07-22,84.0842,84.6579,83.6106,84.5943,1563697
2014-07-23,84.8675,84.9768,84.567,84.6671,1232303
2014-07-24,84.658,84.7491,84.0387,84.1298,1121514
2014-07-25,84.0114,84.658,83.893,83.9932,904013
2014-07-28,84.2026,84.5761,83.8019,84.1571,1672658
2014-07-29,84.2573,84.8857,83.9021,84.1116,1673883
2014-07-30,85.2227,88.8568,85.2227,87.6636,2873596
2014-07-31,87.2902,87.6727,85.9696,85.9696,2444514
2014-08-01,86.2975,87.19,85.5051,87.0352,1864790
2014-08-04,86.2975,87.19,85.5051,87.0352,1864790
2014-08-05,86.4705,86.7711,85.7145,86.3339,1982349
2014-08-06,86.6162,87.4633,85.7328,87.1172,2432163
2014-08-07,87.4086,88.9023,87.2356,88.5653,3220344
2014-08-08,88.5198,89.4215,88.201,89.3577,1873999
2014-08-11,89.7402,90.6784,89.2302,89.2848,2001281
2014-08-12,89.1482,89.1938,87.8458,88.0826,2409967
2014-08-13,88.4925,88.6746,87.9096,88.538,1797645
2014-08-14,88.8477,89.0116,88.3194,88.8477,1242648
2014-08-15,89.3304,89.8586,88.9479,89.4488,1694141
2014-08-18,90.2594,90.8787,90.0681,90.8787,1814176
2014-08-19,90.8605,90.988,89.7858,90.223,2184287
2014-08-20,90.1592,90.1865,89.1209,89.8586,1754069
2014-08-21,90.141,90.9607,89.9415,90.1046,2909323
2014-08-22,90.1046,90.1501,89.0936,89.3759,1658740
2014-08-25,89.9862,90.1319,89.6218,90.0772,1203637
2014-08-26,90.2412,90.2412,89.6218,89.804,1148426
2014-08-27,90.0955,90.5144,89.7585,89.9862,1417585
2014-08-28,89.9588,90.3414,89.8313,89.9679,1054455
2014-08-29,90.2776,90.396,89.722,89.804,2301601
2014-09-02,90.2867,90.4051,89.3486,89.9679,2678418
2014-09-03,88.9387,89.4943,88.8477,89.3577,2304196
2014-09-04,89.6492,90.1137,89.3668,89.804,2460017
2014-09-05,89.722,90.8423,89.6401,90.7421,1480284
2014-09-08,90.8969,90.988,90.1865,90.4962,957919
2014-09-09,90.2685,90.5053,89.3759,89.7676,1463958
2014-09-10,89.2666,89.7585,88.6928,88.7748,1756976
2014-09-11,88.7839,89.2302,88.283,89.1027,2048806
2014-09-12,89.0025,89.0298,86.9077,87.4451,2059408
2014-09-15,87.2902,87.5088,86.2428,86.6527,2954724
2014-09-16,86.6527,87.2993,86.4067,86.9532,2118817
2014-09-17,87.2265,87.6271,86.853,87.099,1917352
2014-09-18,87.3358,88.028,87.0808,87.3267,1691558
2014-09-19,87.9301,88.1495,86.7233,86.9976,2661936
2014-09-22,86.9518,86.9701,85.7999,86.2205,1740470
2014-09-23,86.2387,86.7781,85.8548,85.8731,1240652
2014-09-24,85.9371,86.8147,85.6171,86.1108,1313519
2014-09-25,85.7816,86.0833,85.0365,85.1325,1789497
2014-09-26,85.0594,86.1016,85.032,85.4342,2737297
2014-09-29,84.9223,85.8456,84.8217,85.5257,2140363
2014-09-30,85.7634,86.0842,85.2605,85.5988,2919928
2014-10-01,85.8091,86.0102,85.1051,85.4342,1928721
2014-10-02,85.4708,85.9919,85.1051,85.4708,1671971
2014-10-03,85.6262,86.193,85.4617,85.8273,2997688
2014-10-06,86.1748,86.385,85.5714,85.8273,1475910
2014-10-07,85.5439,86.1199,85.2971,85.352,1515048
2014-10-08,85.4799,87.217,85.2697,87.153,1653360
2014-10-09,87.0981,87.9392,86.3302,86.6227,2318938
2014-10-10,86.7599,88.0855,86.5039,86.5862,2575005
2014-10-13,86.4582,86.6867,84.9681,85.0594,2227058
2014-10-14,85.5714,86.6593,84.9817,85.3428,2548370
2014-10-15,84.968,85.6217,82.463,84.0903,3452294
2014-10-16,82.9658,84.8034,82.8744,84.5292,2197933
2014-10-17,85.1691,85.7816,84.5657,85.1783,2090318
2014-10-20,85.2148,86.0559,84.872,86.0193,1412837
2014-10-21,86.321,87.4272,85.9462,87.3998,1397671
2014-10-22,87.4638,87.9666,86.7324,86.7964,1225355
2014-10-23,87.3175,87.9931,87.0707,87.6467,1500812
2014-10-24,87.5187,88.0123,87.1987,87.9209,1442071
2014-10-27,87.5552,88.0123,86.8056,87.9026,1664513
2014-10-28,87.0442,88.1952,87.0433,88.1312,1599755
2014-10-29,88.0763,88.2135,86.7141,86.897,2970165
2014-10-30,90.9287,91.2396,90.4259,91.1847,1763039
2014-10-31,91.011,91.7515,89.0728,89.1368,3955808
2014-11-03,87.6101,88.8077,87.6101,88.5517,2748866
2014-11-04,88.6432,88.9449,87.5095,88.57,3145188
2014-11-05,88.9174,89.2831,88.1952,89.274,2023211
2014-11-06,91.1481,92.7572,90.0328,91.011,4215025
2014-11-07,91.2578,91.5412,90.2431,90.9379,2514995
2014-11-10,90.3354,90.947,90.1516,90.7824,2005818
