date,open,high,low,close,volume
2014-04-28,94.6616,94.7089,93.1392,93.9524,4490765
2014-04-29,94.5954,95.2195,94.2456,94.6711,3967787
2014-04-30,93.9052,94.0517,92.6854,93.6309,2964537
2014-05-01,93.7539,94.1416,93.1061,94.1321,2423984
2014-05-02,94.2739,95.2006,93.6782,94.151,3428081
2014-05-05,93.6499,94.3685,92.3167,94.0754,3246593
2014-05-06,97.1485,99.1342,96.2502,97.139,8739577
2014-05-07,97.6686,98.6992,96.184,96.3542,5432138
2014-05-08,96.3069,96.3542,94.4063,94.5671,3239978
2014-05-09,94.7184,95.2384,93.8011,95.106,3788792
2014-05-12,95.5599,96.7986,95.437,95.5599,4409863
2014-05-13,96.0705,96.4488,95.1439,95.3897,3503039
2014-05-14,97.2241,97.5362,95.5883,96.0043,3049424
2014-05-15,95.7679,95.7774,92.8367,94.1321,6259016
2014-05-16,93.9903,94.1605,93.2243,93.6782,4106957
2014-05-19,93.5931,94.6427,93.4702,94.5954,2886661
2014-05-20,94.1132,94.5765,93.3189,93.6404,2543326
2014-05-21,94.1416,95.5788,93.9903,95.1911,3127422
2014-05-22,95.1911,96.8647,94.7089,96.0516,3727075
2014-05-23,96.2218,96.6284,95.6072,95.8341,2070099
2014-05-27,96.0516,96.6473,95.5788,95.8152,2275929
2014-05-28,96.1084,97.2525,94.9831,96.4488,2582693
2014-05-29,96.5055,97.8671,96.0611,97.6875,2320011
2014-05-30,97.4889,98.2595,96.8364,97.262,1809568
2014-06-02,97.6118,97.7442,96.6993,96.931,1263232
2014-06-03,96.8648,97.035,96.08,96.2975,2371951
2014-06-04,96.3069,96.7324,95.853,96.4866,1569029
2014-06-05,95.8814,96.8554,95.0124,96.6473,3805570
2014-06-06,96.7513,96.9215,95.9098,96.7608,2223520
2014-06-09,97.1875,98.1261,96.8367,97.7184,2363648
2014-06-10,97.5857,98.9414,97.5857,98.5243,4743871
2014-06-11,97.8511,103.3405,97.8511,102.6958,11688364
2014-06-12,101.9184,103.6155,101.359,102.1365,5611328
2014-06-13,102.364,103.7387,100.7428,103.6913,2981555
2014-06-16,103.2931,104.2412,102.5346,102.7337,2457326
2014-06-17,102.5252,103.0182,101.3302,101.8331,3040664
2014-06-18,101.8141,103.9662,101.5297,103.8904,3263469
2014-06-19,104.1179,104.554,103.1699,104.4972,2615006
2014-06-20,105.4642,106.0805,104.7342,105.7581,4586752
2014-06-23,105.8245,106.2416,104.6489,105.3315,2439210
2014-06-24,105.3504,105.578,101.3116,101.8141,3722586
2014-06-25,102.1744,104.0042,101.9184,103.8809,3413228
2014-06-26,104.1653,104.27,102.4114,103.4258,1925436
2014-06-27,103.2931,103.8904,102.582,103.8146,2367602
2014-06-30,103.1225,104.3739,102.9613,103.7861,2379562
2014-07-01,104.9712,104.9712,102.7527,103.6534,2199534
2014-07-02,103.3784,104.0516,101.8094,102.0416,2073589
2014-07-03,102.3261,102.8665,101.6909,101.9942,1259189
2014-07-07,102.0132,102.0511,101.0272,101.2453,1722876
2014-07-08,100.9608,102.089,100.4773,101.9089,3410279
2014-07-09,102.0227,102.0511,101.0841,101.9184,2166289
2014-07-10,100.4773,101.2358,99.7473,100.629,2649661
2014-07-11,100.4963,100.5532,99.0268,99.3396,2869491
2014-07-14,100.0507,100.8091,99.6904,100.4204,2828825
2014-07-15,103.5775,104.5825,102.0227,104.0231,8855019
2014-07-16,104.573,106.9431,103.7671,106.6872,7098933
2014-07-17,106.4312,106.6588,102.3545,102.4967,5619196
2014-07-18,102.4588,103.1225,101.9753,102.7053,3102908
2014-07-21,102.9613,103.6249,101.2358,103.2173,4401092
2014-07-22,103.6534,103.824,102.6579,102.6958,4192339
2014-07-23,103.0182,105.341,102.5631,105.0565,5516108
2014-07-24,104.7152,106.289,104.3929,105.2367,4549499
2014-07-25,104.7057,104.7057,103.3784,103.5396,2240186
2014-07-28,103.7292,103.8809,101.8046,102.0606,4839592
2014-07-29,101.9658,104.4308,101.6814,103.5586,6752023
2014-07-30,105.6823,107.1328,103.113,104.1653,6011938
2014-07-31,103.4732,103.4732,100.4963,101.3021,6914080
2014-08-01,100.373,101.3401,99.0742,100.136,5191005
2014-08-04,101.0651,106.3649,100.5152,104.9807,6785741
2014-08-05,104.4498,104.6678,101.7003,102.4872,4177725
2014-08-06,102.1933,102.8712,100.9703,101.3495,4025768
2014-08-07,101.8994,102.1554,100.4963,101.5581,3320136
2014-08-08,101.4728,103.6629,101.0556,103.5586,3376865
2014-08-11,103.5965,104.5066,102.7527,102.876,2986220
2014-08-12,102.1933,102.1933,100.1739,100.5532,4306197
2014-08-13,101.1125,101.8141,100.4109,100.9798,2008375
