date,open,high,low,close,volume
2014-04-28,62.7127,63.0538,62.2693,62.8236,374314
2014-04-29,63.0111,63.2243,62.312,62.653,228571
2014-04-30,62.6957,62.977,62.4058,62.9429,239669
2014-05-01,62.8918,62.977,62.15,62.7298,386249
2014-05-02,62.6445,63.6677,62.6189,63.3522,260358
2014-05-05,63.0623,63.5227,62.9515,63.3096,320618
2014-05-06,62.2438,63.6847,62.2438,63.6762,559735
2014-05-07,63.8553,64.32,63.284,63.753,494050
2014-05-08,63.7188,64.5118,63.608,63.7274,384132
2014-05-09,63.7785,64.1622,63.5142,63.9235,290110
2014-05-12,64.1111,64.4948,63.8638,64.1963,283921
2014-05-13,64.2645,64.8614,63.6762,63.9491,207153
2014-05-14,64.0173,64.3924,63.4545,64.1537,281315
2014-05-15,63.9917,64.3242,63.3437,64.3157,293243
2014-05-16,64.1793,64.7932,63.9235,64.7847,160770
2014-05-19,64.8443,65.0575,64.3413,64.5118,257323
2014-05-20,64.4436,64.8188,64.0002,64.094,271139
2014-05-21,64.256,64.4948,63.7444,63.932,171044
2014-05-22,63.9235,64.1963,63.5483,63.6165,218203
2014-05-23,63.8212,64.2987,63.5176,64.1196,265440
2014-05-27,64.1537,64.2134,63.3181,63.8212,590581
2014-05-28,63.77,63.8894,63.2499,63.8297,454824
2014-05-29,63.9661,64.401,63.7018,64.3498,188792
2014-05-30,64.3328,65.0405,64.1793,64.8785,521875
2014-06-02,64.7335,65.7226,64.6397,65.5606,348281
2014-06-03,65.535,65.7823,65.1598,65.6458,241697
2014-06-04,65.535,65.8164,65.2451,65.6714,227079
2014-06-05,65.7652,66.814,65.5691,66.7628,359969
2014-06-06,66.831,67.0954,66.166,66.3194,330252
2014-06-09,66.345,66.5667,65.6203,65.8078,210666
2014-06-10,65.7141,65.9443,65.1172,65.3559,255382
2014-06-11,65.3133,65.6032,64.887,65.1428,226259
2014-06-12,65.0149,65.6373,64.58,65.5776,450206
2014-06-13,65.7396,65.9102,65.066,65.4242,214331
2014-06-16,65.4412,65.7737,64.9825,65.2792,199728
2014-06-17,65.3645,65.7908,65.1598,65.535,362404
2014-06-18,65.5094,66.0978,65.4412,65.9699,246462
2014-06-19,66.0978,66.3621,65.8249,66.0807,255418
2014-06-20,66.0722,66.1532,65.211,65.6032,666615
2014-06-23,65.6885,65.9954,65.4242,65.4668,220169
2014-06-24,65.535,65.7823,65.2963,65.6032,241882
2014-06-25,65.6373,65.9699,65.5009,65.7652,224947
2014-06-26,65.7824,65.7824,65.3263,65.6878,203157
2014-06-27,65.6533,66.3419,65.1886,66.3247,441629
2014-06-30,66.1956,66.8325,66.0665,66.8239,551100
2014-07-01,67.039,67.2628,66.4021,66.9874,727567
2014-07-02,66.7722,67.2112,66.3419,67.0477,380015
2014-07-03,66.8669,66.8841,66.2558,66.5829,269434
2014-07-07,66.3419,66.8325,66.3333,66.5743,222086
2014-07-08,66.6862,66.8325,66.4624,66.7378,220350
2014-07-09,66.7206,67.0993,66.2214,66.6948,246086
2014-07-10,66.3505,67.2456,66.3075,67.0218,310497
2014-07-11,67.1681,67.2628,66.7981,67.1165,208396
2014-07-14,67.3145,67.4522,66.7981,67.2714,284374
2014-07-15,67.3919,67.5038,66.8583,67.3231,209148
2014-07-16,67.4866,67.5339,66.8239,67.3059,327665
2014-07-17,66.8669,67.719,66.8669,67.7104,430507
2014-07-18,66.8669,67.719,66.8669,67.7104,430507
2014-07-21,67.6071,67.8008,67.2284,67.7276,237880
2014-07-22,68.0116,68.3731,67.8481,68.3387,442033
2014-07-23,68.3817,68.4592,68.1493,68.2096,217071
2014-07-24,68.3645,68.6227,68.0633,68.2698,263271
2014-07-25,68.1321,68.3387,67.8309,67.8825,424234
2014-07-28,67.8567,68.3731,67.6501,68.2354,319179
2014-07-29,68.0719,68.2096,66.8411,67.5641,612575
2014-07-30,68.003,68.003,66.9874,67.5469,393675
2014-07-31,66.4624,68.0633,66.2558,67.6501,766898
2014-08-01,67.521,67.96,67.1681,67.194,760034
2014-08-04,67.2542,67.2542,66.4021,66.9702,463839
2014-08-05,66.8841,66.996,66.1525,66.3763,361837
2014-08-06,66.2558,66.9358,66.2343,66.7636,435142
