date,open,high,low,close,volume
2014-04-28,45.4559,45.7122,45.0494,45.5708,1003881
2014-04-29,45.5266,45.7917,45.0627,45.129,1514826
2014-04-30,45.1201,45.182,44.8462,45.1025,613491
2014-05-01,45.2969,45.4295,44.7623,45.3145,674335
2014-05-02,45.2173,45.3676,44.422,44.6783,788616
2014-05-05,44.6076,45.1732,44.5634,45.1113,344287
2014-05-06,44.8992,45.288,44.8815,45.2085,669960
2014-05-07,45.1732,45.7122,45.1732,45.5885,730632
2014-05-08,46.3661,46.8521,44.5104,44.6076,1471150
2014-05-09,44.5104,45.0318,44.369,44.5458,1077054
2014-05-12,44.6253,44.6695,44.1481,44.2011,672565
2014-05-13,44.2453,44.3823,44.0951,44.2807,969461
2014-05-14,44.3513,44.9434,44.263,44.6076,366348
2014-05-15,44.4044,44.6597,43.9457,44.3072,514333
2014-05-16,44.4751,44.7225,44.2011,44.696,310494
2014-05-19,44.7402,44.802,44.2807,44.2895,466654
2014-05-20,44.3072,44.5988,44.0862,44.5634,480118
2014-05-21,44.7313,44.7932,44.2895,44.4132,304597
2014-05-22,44.6002,45.1432,44.2441,44.885,332024
2014-05-23,44.9473,44.9874,44.707,44.8049,374661
2014-05-27,44.9652,45.0453,44.5467,44.5824,544129
2014-05-28,44.6091,44.7657,44.431,44.618,853210
2014-05-29,44.6269,44.6625,44.0037,44.2975,790243
2014-05-30,44.3153,44.7159,44.2708,44.6002,456300
2014-06-02,44.8316,45.0542,44.6358,45.0186,512165
2014-06-03,45.0186,45.6061,44.9741,45.4904,850002
2014-06-04,45.4904,45.8287,45.4726,45.704,468339
2014-06-05,45.6773,45.8732,45.5705,45.8465,474062
2014-06-06,46.0601,46.1492,45.5082,45.5527,352024
2014-06-09,45.5616,45.7575,45.3479,45.5527,516160
2014-06-10,45.5705,45.5883,45.1877,45.2411,349635
2014-06-11,45.1254,45.3212,44.8583,44.8672,167891
2014-06-12,44.8049,45.161,44.3954,45.0453,290950
2014-06-13,45.0186,45.5883,44.9117,45.4637,302276
2014-06-16,45.4548,46.1937,45.4192,45.8465,465466
2014-06-17,45.704,46.345,45.4281,46.0156,444543
2014-06-18,46.0245,46.6388,46.0245,46.5498,320944
2014-06-19,46.5587,47.1818,46.5498,46.986,320735
2014-06-20,47.0661,47.1818,46.6744,46.888,486135
2014-06-23,47.0038,47.1017,46.4382,46.6833,296162
2014-06-24,46.621,47.1818,46.5408,46.8346,279112
2014-06-25,46.6922,47.2263,46.6922,47.1996,347884
2014-06-26,47.2352,47.3242,46.8346,46.8702,368868
2014-06-27,46.71,47.2263,46.5195,46.9236,654892
2014-06-30,46.9236,47.5468,46.8818,47.5379,674547
2014-07-01,47.6002,47.6002,46.799,46.8969,989399
2014-07-02,46.8257,46.8613,45.9533,46.1224,634924
2014-07-03,46.0334,46.3094,45.4103,45.802,389709
2014-07-07,45.6951,46.0156,45.1788,45.5527,532044
2014-07-08,45.4904,45.98,45.4904,45.8732,625101
2014-07-09,45.7575,46.0067,45.2545,45.6328,523728
2014-07-10,45.4459,46.1135,45.3346,45.98,430282
2014-07-11,45.9533,46.167,45.5527,45.5794,256496
2014-07-14,45.7396,45.7646,45.3836,45.4281,292415
2014-07-15,45.4192,45.7664,45.2767,45.615,242571
2014-07-16,45.7753,45.7753,44.8138,45.4103,817960
2014-07-17,45.4192,45.6684,44.983,45.0008,294821
2014-07-18,45.2055,45.8198,44.9296,45.7129,834035
2014-07-21,45.6328,45.6951,45.3836,45.4637,404937
2014-07-22,45.6239,45.7129,45.4342,45.5794,288173
2014-07-23,45.7129,45.7129,45.3123,45.3479,230991
2014-07-24,45.3925,45.7396,45.3301,45.339,284170
2014-07-25,45.3123,45.3212,44.5735,44.6892,328350
2014-07-28,44.4933,45.2678,44.4132,45.1521,650104
2014-07-29,45.339,45.3742,44.8583,44.983,516109
2014-07-30,45.0275,45.1877,43.7188,43.8702,567213
2014-07-31,43.5052,43.8524,42.9889,43.0156,593205
2014-08-01,42.9622,43.3093,42.5705,42.8731,535586
2014-08-04,42.9622,42.9622,41.6357,42.5437,694674
2014-08-05,42.3123,42.7574,42.0986,42.2055,542370
2014-08-06,42.1075,42.3835,41.9473,42.1075,621459
2014-08-07,42.161,42.6906,41.9473,42.3657,609189
2014-08-08,42.2678,43.158,42.2589,43.1491,482719
2014-08-11,43.247,43.4785,42.9978,43.2648,422498
2014-08-12,43.1669,43.434,43.0423,43.2025,252352
2014-08-13,43.2915,43.7633,43.2915,43.7366,243027
2014-08-14,43.9236,44.1551,43.8079,44.1283,320581
2014-08-15,44.2619,44.5646,43.9592,44.3064,217430
2014-08-18,44.5646,44.5824,44.1283,44.2975,210557
2014-08-19,44.4577,45.0542,44.3064,45.0097,250539
2014-08-20,45.0008,45.1254,44.7159,45.0898,300099
2014-08-21,45.0988,45.3229,44.9328,45.027,400590
2014-08-22,45.0898,45.2422,44.7221,44.8746,330030
2014-08-25,45.0718,45.1813,44.8208,44.9015,258792
2014-08-26,44.9553,45.1795,44.5069,44.5517,207618
2014-08-27,44.7042,44.8943,44.48,44.8208,350807
2014-08-28,44.749,45.1319,44.6773,45.1077,292620
2014-08-29,45.1167,45.3947,44.471,45.3409,181995
2014-09-02,45.3498,45.7175,44.9732,45.1346,572666
2014-09-03,45.3319,45.583,45.2333,45.5202,275266
2014-09-04,45.4485,45.6433,45.1167,45.3229,189099
2014-09-05,45.3857,46.0404,45.3857,46.0135,315821
2014-09-08,46.0045,46.1543,45.7489,46.0135,466875
2014-09-09,45.8431,46.1031,45.314,45.3678,348944
2014-09-10,45.296,45.4216,44.8028,44.9911,259138
2014-09-11,44.8297,45.2602,44.74,45.2512,304881
2014-09-12,45.1077,45.1526,44.2378,44.4889,387286
2014-09-15,44.6055,44.8566,44.48,44.6862,360766
2014-09-16,44.5607,45.1884,44.5607,44.9553,429129
2014-09-17,44.9911,45.1346,44.4351,44.7131,263841
2014-09-18,44.7849,44.8297,44.1213,44.2917,343163
2014-09-19,44.3813,44.5697,44.1302,44.1571,526200
2014-09-22,44.0226,44.1661,43.5025,43.8522,367417
2014-09-23,43.6729,43.9598,43.2962,43.3052,485746
2014-09-24,43.3321,43.368,42.7044,42.812,559617
2014-09-25,42.7223,42.9465,42.3008,42.3726,577918
2014-09-26,42.3457,42.3457,41.8435,42.1573,765714
2014-09-29,41.8255,42.9375,41.8255,42.9017,704568
2014-09-30,42.9017,43.1886,42.6506,42.7761,719790
2014-10-01,42.7133,43.1438,42.3434,42.5519,825155
2014-10-02,42.4443,42.8748,42.3995,42.5788,426899
2014-10-03,42.7851,43.0048,42.3995,42.7671,498921
2014-10-06,42.8299,43.0182,42.5698,42.8478,561014
2014-10-07,42.6147,42.9286,42.4533,42.4622,593620
2014-10-08,42.4981,43.5473,42.4174,43.5115,527754
2014-10-09,43.5473,43.915,42.6775,42.7671,566383
2014-10-10,42.9286,43.5653,42.7133,43.0272,623695
2014-10-13,42.8658,43.4218,42.8165,42.9734,755171
2014-10-14,43.1348,43.7626,42.8703,43.7088,888536
2014-10-15,43.3321,43.6818,42.3636,43.4846,829823
2014-10-16,42.9017,44.0854,42.4802,44.0764,1044634
2014-10-17,44.8835,45.305,44.2109,45.027,2314155
2014-10-20,45.0629,45.7803,45.027,45.6009,725411
2014-10-21,45.7803,46.2287,45.5114,45.9507,692819
2014-10-22,45.9866,46.6143,45.861,46.1121,628961
2014-10-23,46.5695,47.0537,46.3453,46.5605,466105
2014-10-24,46.7129,46.7219,46.2332,46.2915,709635
2014-10-27,46.2018,46.4349,45.9597,46.2915,698582
2014-10-28,46.4618,46.9999,46.0852,46.973,443272
2014-10-29,47.0896,47.3676,46.4798,47.0358,398519
2014-10-30,48.2375,48.919,47.9416,48.8831,1091260
2014-10-31,48.0312,48.0312,47.3766,47.529,806898
2014-11-03,47.6277,48.1119,47.4214,47.9505,526372
2014-11-04,48.1119,48.3182,47.7173,47.9415,545311
2014-11-05,48.354,48.6858,48.0312,48.6051,522754
2014-11-06,49.1432,49.2508,48.3092,48.6231,788618
2014-11-07,48.7217,48.8742,48.4168,48.8114,486604
2014-11-10,48.7217,48.9459,48.4796,48.6948,357757
2014-11-11,48.7935,48.928,48.4706,48.641,303325
2014-11-12,48.5424,48.5424,47.9505,48.3361,608464
2014-11-13,48.2375,48.919,47.9416,48.8831,1091260
2014-11-14,48.7666,48.892,47.6994,47.7891,531835
2014-11-17,47.6635,48.1164,47.5828,47.9505,813225
2014-11-18,48.0312,48.2733,47.7891,47.9057,647406
2014-11-19,47.9415,47.9595,47.4842,47.6546,723214
2014-11-20,47.6636,47.9662,47.5552,47.9527,994878
2014-11-21,48.4224,48.5579,48.1424,48.4676,635621
2014-11-24,48.4405,48.7115,48.1243,48.4315,629742
2014-11-25,48.5489,48.6483,48.314,48.5038,363985
