date,open,high,low,close,volume
2014-04-28,26.21,26.41,25.835,25.96,2378818
2014-04-29,26.08,26.4,26.0,26.39,1637722
2014-04-30,26.4,26.66,26.07,26.64,2198568
2014-05-01,29.0,29.325,28.33,28.99,5670361
2014-05-02,28.89,29.04,28.21,28.5,3725124
2014-05-05,28.31,28.83,28.15,28.71,2087862
2014-05-06,28.59,28.65,28.39,28.45,2217577
2014-05-07,28.53,28.66,28.32,28.58,1873821
2014-05-08,28.59,28.71,28.17,28.31,2004938
2014-05-09,28.34,28.51,28.15,28.3,2248514
2014-05-12,28.45,28.76,28.354,28.7,3172976
2014-05-13,28.73,28.79,28.57,28.59,2255386
2014-05-14,28.65,29.0,28.41,28.87,5313451
2014-05-15,28.85,28.94,28.26,28.86,2698417
2014-05-16,28.9,28.995,28.64,28.98,1820602
2014-05-19,28.99,29.45,28.84,29.35,1603544
2014-05-20,29.34,29.35,28.89,29.0,1863466
2014-05-21,29.14,29.26,28.83,29.07,1773710
2014-05-22,29.09,29.18,28.84,29.02,1197423
2014-05-23,29.14,29.23,28.955,29.15,1351816
2014-05-27,29.29,29.82,29.27,29.8,1985943
2014-05-28,29.8,29.86,29.53,29.66,1671236
2014-05-29,29.69,29.84,29.41,29.61,1477973
2014-05-30,29.55,29.87,29.41,29.84,2146621
2014-06-02,29.89,30.15,29.78,30.14,1817078
2014-06-03,30.1,30.205,29.84,30.14,2800865
2014-06-04,30.05,30.65,30.0,30.58,1975717
2014-06-05,30.58,31.0063,30.47,30.72,2598414
2014-06-06,30.77,30.84,30.46,30.51,2181708
2014-06-09,30.58,30.85,30.39,30.4,2633616
2014-06-10,30.33,30.5,30.21,30.42,1538675
2014-06-11,30.29,30.38,30.01,30.26,1289935
2014-06-12,30.22,30.28,29.84,29.98,1395586
2014-06-13,30.06,30.64,29.99,30.54,1707661
2014-06-16,30.51,30.51,30.24,30.46,1604368
2014-06-17,30.35,30.56,30.2223,30.49,1437380
2014-06-18,30.47,30.555,30.09,30.48,1440761
2014-06-19,30.6,30.68,30.37,30.61,1093513
2014-06-20,30.65,31.06,30.49,31.04,2438999
2014-06-23,31.09,31.52,31.01,31.47,2395454
2014-06-24,31.5,31.725,31.35,31.49,3233992
2014-06-25,31.35,31.82,31.32,31.8,1911424
2014-06-26,31.69,31.82,31.5,31.81,1785288
2014-06-27,31.7,32.025,31.7,31.99,4467977
2014-06-30,31.91,32.06,31.61,32.04,2704543
2014-07-01,32.04,32.39,31.81,32.05,2410538
2014-07-02,31.95,32.31,31.95,32.31,1448098
2014-07-03,32.38,32.38,32.07,32.33,923481
2014-07-07,32.19,32.29,31.92,31.93,2057225
2014-07-08,31.93,32.03,31.67,31.98,1334287
2014-07-09,31.98,32.58,31.92,32.51,2470790
2014-07-10,32.22,32.74,32.2,32.63,1220954
2014-07-11,32.57,32.695,32.45,32.55,1461630
2014-07-14,32.72,32.92,32.55,32.91,2197870
2014-07-15,32.98,33.06,32.56,32.82,1830746
2014-07-16,32.9,33.06,32.705,32.9,1592138
2014-07-17,32.82,33.14,32.8,33.1,1700733
2014-07-18,32.82,33.14,32.8,33.1,1700733
2014-07-21,33.03,33.14,32.87,33.05,1387174
