date,open,high,low,close,volume
2014-04-28,48.1373,48.3432,46.7844,47.4902,3281830
2014-04-29,47.6569,47.853,46.6667,46.9118,4932004
2014-04-30,46.6569,47.2255,46.5785,46.9657,4966222
2014-05-01,47.0196,48.0,46.7353,47.6471,4385717
2014-05-02,47.7942,48.6912,47.6765,48.4412,3205086
2014-05-05,48.6275,48.6765,47.7255,48.2942,3335967
2014-05-06,48.1275,48.5687,47.8334,48.2353,4376821
2014-05-07,46.0196,46.5491,44.8334,46.0981,7730599
2014-05-08,46.2451,47.4902,45.9804,47.0589,6029998
2014-05-09,46.9216,47.1863,46.402,46.7844,3491840
2014-05-12,47.304,48.1863,47.1177,48.0589,2631378
2014-05-13,48.1373,48.3432,47.8138,48.0295,2819217
2014-05-14,47.9804,48.0687,47.3922,47.6373,3060431
2014-05-15,47.5491,47.7745,46.0,46.2549,4892616
2014-05-16,46.3922,46.4265,45.5491,46.2549,4756825
2014-05-19,45.853,46.7157,45.7255,46.6569,3325815
2014-05-20,46.5,46.902,46.1373,46.3824,3367004
2014-05-21,46.6667,47.0491,46.353,46.4804,3295395
2014-05-22,46.4804,46.7647,46.2942,46.7157,3283481
2014-05-23,46.5981,47.7108,46.5981,47.6667,3173921
2014-05-27,47.9902,47.9902,47.4608,47.8824,2700413
2014-05-28,47.7745,48.0491,47.6863,47.9412,2804017
2014-05-29,47.8628,48.0393,47.304,48.0,2838037
2014-05-30,48.1177,48.1275,47.3432,47.6569,3521831
2014-06-02,47.6569,47.8432,47.0098,47.402,2698789
2014-06-03,47.853,47.853,46.853,47.5491,2272493
2014-06-04,47.2942,47.7059,46.9706,47.5785,2262810
2014-06-05,47.5491,48.0491,47.2647,48.0393,3525880
2014-06-06,48.2844,49.0196,48.0981,48.853,3175294
2014-06-09,48.7647,49.3236,48.6961,48.8432,2253375
2014-06-10,47.8432,47.8432,46.3138,46.5393,8749193
2014-06-11,46.4706,46.6569,46.1667,46.3726,4398248
2014-06-12,46.2647,46.6373,45.8628,46.0589,3071208
2014-06-13,46.2255,46.4902,45.8824,46.4804,2758102
2014-06-16,45.8922,46.9118,45.8922,46.8334,4325305
2014-06-17,46.853,47.9461,46.7353,47.5491,4852426
2014-06-18,47.8138,48.0589,47.0295,48.0393,4460994
2014-06-19,48.2549,48.2745,47.7157,47.9902,2491191
2014-06-20,48.0687,48.5196,47.7255,48.4412,5519775
2014-06-23,48.5,48.6275,48.0589,48.402,2096677
2014-06-24,48.2255,49.0196,47.9608,48.0981,2673186
2014-06-25,47.9608,48.8334,47.804,48.7353,2486993
2014-06-26,48.9216,48.9216,47.6079,48.4216,2803491
2014-06-27,48.3824,48.5883,47.9804,48.3334,2296365
2014-06-30,48.1373,48.3432,47.7549,47.951,3199734
2014-07-01,48.2844,49.0442,48.0196,48.8236,3259156
2014-07-02,48.7353,49.0687,48.5196,48.8922,1894993
2014-07-03,48.9804,49.3432,48.853,49.3138,1272442
2014-07-07,49.1765,49.9902,49.1471,49.4804,3647439
2014-07-08,49.5098,49.5589,48.7942,49.4216,3196563
2014-07-09,49.5687,49.8432,49.2255,49.3824,4327601
2014-07-10,48.8236,49.2647,48.5687,49.0295,3266165
2014-07-11,49.304,49.5098,48.6275,48.7255,3536777
2014-07-14,49.0883,49.2745,48.853,48.9706,2135630
2014-07-15,48.8726,49.1569,48.294,48.5393,2735332
2014-07-16,48.7844,49.0687,48.2451,48.4412,4752139
2014-07-17,48.4608,48.7255,47.6569,47.6863,3945183
2014-07-18,48.1177,48.6863,47.5883,48.4706,4501791
2014-07-21,48.3824,48.5883,48.0295,48.3824,3505060
2014-07-22,48.5491,49.5785,48.5393,49.4804,3505876
2014-07-23,49.402,49.9314,49.0932,49.6275,3217633
2014-07-24,49.8138,50.0491,49.6275,49.804,2917521
2014-07-25,49.7255,50.2549,49.5393,50.1177,2239371
2014-07-28,50.2451,50.3726,49.6667,49.9412,2202098
2014-07-29,50.0981,50.2549,49.6275,49.6471,2635641
2014-07-30,49.8726,50.1177,48.9314,48.9804,4725749
2014-07-31,48.7844,49.1373,48.0687,48.0883,4467418
2014-08-01,48.1569,48.5785,48.0883,48.3236,4952067
2014-08-04,48.5687,49.1569,48.4706,49.0589,4653248
2014-08-05,48.7942,49.6275,48.6275,49.0,5651087
2014-08-06,42.1471,43.3824,40.6961,42.8138,40718068
2014-08-07,43.2745,44.1961,43.0883,43.5098,11626589
2014-08-08,43.5196,43.7451,42.8407,43.5981,6598973
2014-08-11,43.8726,43.8824,43.4216,43.6177,5398337
2014-08-12,43.4314,43.7647,43.3334,43.6863,4361855
2014-08-13,43.6961,44.1667,43.6863,44.0589,5838672
2014-08-14,44.2157,44.2157,43.8334,43.9412,5561710
2014-08-15,44.3138,44.3138,43.7157,43.8824,5761781
2014-08-18,44.1079,44.7844,43.9412,44.3824,5661305
2014-08-19,44.4118,45.5491,44.3824,45.3138,6105172
2014-08-20,45.3334,45.3824,44.9902,45.1079,5595661
2014-08-21,45.0098,45.5294,44.9314,45.1079,3771042
