date,open,high,low,close,volume
2014-04-28,50.6253,50.8337,49.7556,50.3626,4138082
2014-04-29,50.5619,50.8156,50.2811,50.4985,3195303
2014-04-30,50.4351,50.7793,50.1542,50.6435,2798717
2014-05-01,50.5166,50.8065,50.1135,50.7522,3234651
2014-05-02,50.879,51.4498,50.8247,51.178,3274230
2014-05-05,50.9062,51.2505,50.5982,51.0964,2110897
2014-05-06,50.9508,51.1874,50.5869,50.6051,1955174
2014-05-07,50.7689,51.6514,50.7516,51.615,2353192
2014-05-08,51.524,52.5522,51.4149,52.3611,3294037
2014-05-09,52.2974,52.5312,51.797,52.352,2104244
2014-05-12,52.634,53.2072,52.6158,53.0253,1768390
2014-05-13,52.9889,53.1072,51.3421,52.3338,2308448
2014-05-14,52.1973,52.3702,51.6969,51.7606,1910105
2014-05-15,51.5786,51.6514,50.8929,51.4786,2125986
2014-05-16,51.3694,51.4149,50.7962,51.333,1846431
2014-05-19,51.3057,51.7606,51.1783,51.7151,1319220
2014-05-20,51.6787,51.706,50.9963,51.2875,1570435
2014-05-21,51.5695,51.8425,51.3557,51.6969,1187610
2014-05-22,51.6423,52.0517,51.5059,51.9062,1453259
2014-05-23,52.0608,52.1828,51.847,52.1154,1000984
2014-05-27,52.2974,52.9297,52.2246,52.8433,1538562
2014-05-28,52.8979,53.5894,52.7796,53.4256,2460215
2014-05-29,53.6804,53.6804,53.089,53.3892,1672419
2014-05-30,53.3346,53.8987,53.3255,53.7986,2478173
2014-06-02,53.7986,54.2172,53.7349,54.199,1889750
2014-06-03,53.8805,54.2627,53.7349,54.1535,2887062
2014-06-04,53.9169,54.4355,53.9169,54.4173,1745134
2014-06-05,54.5629,54.8449,53.9806,54.5811,2306715
2014-06-06,54.8359,56.2006,54.6812,56.1733,2849646
2014-06-09,56.0732,56.6646,56.0459,56.1915,3380603
2014-06-10,56.2097,56.3826,55.7912,56.2552,1854610
2014-06-11,55.9277,56.2643,55.6547,55.8913,2254233
2014-06-12,55.8549,56.0459,55.5182,55.7457,1528769
2014-06-13,55.9004,55.9459,55.2362,55.5182,1911299
2014-06-16,55.2817,55.8276,54.9541,55.6365,2156583
2014-06-17,55.6274,56.1915,55.409,56.055,2003682
2014-06-18,55.9095,56.4645,55.5818,56.4099,1984023
2014-06-19,56.1369,56.5463,56.0732,56.3644,1842925
2014-06-20,56.6737,56.974,56.6009,56.8102,3458740
2014-06-23,56.7283,56.7829,56.4099,56.5645,1642750
2014-06-24,56.4463,56.6919,55.9731,56.0095,1924232
2014-06-25,55.8913,56.3189,55.6365,56.1915,2056899
2014-06-26,56.1005,56.2825,55.591,56.2006,1841825
2014-06-27,56.0641,56.5009,55.9549,56.3917,2439472
2014-06-30,56.2188,56.6646,56.1642,56.3917,1947423
2014-07-01,56.7374,57.62,56.701,57.2196,2678526
2014-07-02,56.9649,57.3015,56.9558,57.165,1942008
2014-07-03,57.4289,57.7564,57.4289,57.5472,1120586
2014-07-07,57.0831,57.5199,57.0195,57.3925,1834106
2014-07-08,57.0831,57.2469,56.444,56.6009,2270664
2014-07-09,56.7829,57.4107,56.7738,57.3379,2000155
2014-07-10,56.8921,57.4926,56.6373,57.0104,2251427
2014-07-11,56.8466,57.074,56.4645,56.9194,1790586
2014-07-14,57.4744,57.5017,56.7556,57.0286,2455551
2014-07-15,57.1195,57.8383,57.0922,57.7109,2791064
2014-07-16,57.8565,58.3296,57.62,58.2477,2788083
2014-07-17,57.993,58.6299,57.9475,58.1568,3778529
2014-07-18,58.457,58.457,57.7382,58.0567,2338921
2014-07-21,57.8201,57.8656,57.4562,57.5927,1708519
2014-07-22,58.0203,58.4752,57.993,58.2841,2690393
2014-07-23,57.9657,58.0658,57.0104,57.2196,3454298
2014-07-24,57.4016,57.629,57.0559,57.5563,2957562
2014-07-25,57.165,57.3197,56.8648,56.9649,2456715
2014-07-28,57.065,57.2378,56.6191,57.1286,2337026
2014-07-29,57.1559,57.3061,56.7192,56.7192,2253952
2014-07-30,57.074,57.165,56.1641,56.9103,3269261
2014-07-31,56.5099,56.6282,55.5364,55.5546,2636035
2014-08-01,54.9086,55.1179,54.6994,55.0087,2145051
2014-08-04,54.9086,55.1179,54.6994,55.0087,2145051
2014-08-05,54.7438,54.9813,54.2871,54.4333,2876612
2014-08-06,54.0953,54.7347,54.0628,54.6434,2660432
2014-08-07,54.7438,54.826,53.8943,54.0313,2852804
2014-08-08,54.214,54.8809,53.9674,54.8535,1659241
2014-08-11,55.1184,55.4472,54.9722,55.0727,1735656
2014-08-12,54.9905,55.3833,54.9083,55.3285,2285798
2014-08-13,55.6664,55.8948,55.5272,55.8035,1765276
2014-08-14,55.7395,55.9952,55.3741,55.5477,1925449
2014-08-15,55.7121,55.8857,54.9265,55.1458,2423411
2014-08-18,55.6025,55.8035,55.3924,55.7761,1585816
2014-08-19,55.8309,56.041,55.7852,55.9405,1176118
2014-08-20,55.9679,56.8631,55.8491,56.7443,2320191
2014-08-21,56.8631,57.1828,56.5525,57.0366,1818178
2014-08-22,56.9453,57.2741,56.6164,56.6621,1498384
2014-08-25,57.0458,57.6943,56.9681,57.2376,1381836
2014-08-26,57.2924,57.3837,57.0969,57.1828,1169516
2014-08-27,57.4203,57.4203,57.0732,57.3015,1586205
2014-08-28,56.9179,57.1874,56.7535,57.0092,958782
2014-08-29,57.2376,57.4203,56.8905,56.9727,2391145
2014-09-02,57.402,58.1602,57.3198,57.9775,2323203
2014-09-03,58.2698,58.32,57.8039,58.0962,1903948
2014-09-04,58.2059,58.4982,57.8039,57.9227,1675771
2014-09-05,57.9501,58.2698,57.74,58.2424,1210485
2014-09-08,58.0323,58.4251,57.7674,58.0414,1395641
2014-09-09,57.9136,58.3886,57.4523,57.4934,1992295
2014-09-10,57.5482,58.0305,57.4842,57.539,1575785
2014-09-11,57.1645,57.5482,57.128,57.3107,1851362
2014-09-12,57.3107,57.3563,56.8265,57.0275,2487538
2014-09-15,57.128,57.434,56.9087,57.3472,1924425
2014-09-16,57.3015,58.1511,57.1188,57.9318,1929392
2014-09-17,58.0414,60.1059,57.9958,59.0645,5639043
2014-09-18,59.5121,60.2109,59.439,59.914,2719005
2014-09-19,60.1881,60.2703,59.5761,59.6491,3089662
2014-09-22,59.3934,59.8044,59.2929,59.5304,1896501
2014-09-23,59.4664,59.4756,58.8087,58.8087,1594966
