date,open,high,low,close,volume
2014-04-28,71.67,71.99,69.58,70.13,814241
2014-04-29,70.2,70.32,69.8,69.95,794439
2014-04-30,70.0,70.55,69.42,70.13,680562
2014-05-01,70.48,71.08,70.0544,70.61,840968
2014-05-02,70.77,71.1,70.583,70.74,866062
2014-05-05,70.48,71.71,70.29,71.51,1393341
2014-05-06,72.0,72.0,67.74,68.29,2413063
2014-05-07,68.18,68.5,66.8,66.95,995455
2014-05-08,67.19,69.19,66.74,68.2,1175582
2014-05-09,68.15,68.15,66.92,66.98,807596
2014-05-12,67.1,68.135,67.1,67.78,526985
2014-05-13,68.15,68.38,67.25,67.29,554427
2014-05-14,67.36,67.522,66.37,67.13,1556776
2014-05-15,67.18,67.665,66.59,67.2,954636
2014-05-16,67.01,67.98,66.87,67.89,693475
2014-05-19,67.35,69.155,67.35,68.67,1049463
2014-05-20,68.83,69.28,68.12,68.5,875439
2014-05-21,69.33,73.08,69.14,72.01,3383575
2014-05-22,71.96,73.12,71.49,72.88,601002
2014-05-23,72.89,75.17,72.89,75.11,816291
2014-05-27,75.26,76.24,74.64,75.85,588931
2014-05-28,75.77,77.174,75.42,76.79,520433
2014-05-29,76.78,76.98,75.35,75.68,414828
2014-05-30,75.25,75.85,74.8,74.95,1536261
2014-06-02,75.04,76.9,75.04,76.6,693943
2014-06-03,76.06,77.36,76.06,77.23,849460
2014-06-04,77.25,78.29,76.89,77.59,678992
2014-06-05,77.45,79.37,77.44,78.48,708756
2014-06-06,78.09,79.07,78.04,78.76,595712
2014-06-09,78.56,79.91,78.56,78.82,418120
2014-06-10,78.63,78.88,77.9,78.68,582812
2014-06-11,78.36,78.82,77.16,77.44,466430
2014-06-12,77.51,77.79,77.01,77.3,233227
2014-06-13,77.4,77.65,76.33,76.5,390343
2014-06-16,76.58,76.58,75.65,76.27,442610
2014-06-17,76.01,76.47,75.65,76.37,688232
2014-06-18,76.49,76.49,75.01,76.01,252622
2014-06-19,76.22,76.22,74.81,74.9,465118
2014-06-20,74.94,74.94,72.93,73.29,801514
2014-06-23,73.24,74.66,72.78,73.6,215575
2014-06-24,73.65,74.16,73.43,73.57,170861
2014-06-25,72.64,73.93,72.52,73.41,246339
2014-06-26,73.33,73.33,70.91,72.08,524386
2014-06-27,71.96,72.47,71.86,72.29,648025
2014-06-30,72.2,73.67,72.2,72.59,397847
2014-07-01,72.81,74.57,72.8,74.39,368641
2014-07-02,74.03,75.25,74.03,75.12,373667
2014-07-03,75.1,76.54,75.1,75.8,347192
2014-07-07,75.47,75.67,74.95,75.42,240846
2014-07-08,75.13,75.44,74.86,75.3,248396
2014-07-09,75.49,77.48,75.485,77.12,428315
2014-07-10,76.35,77.42,75.99,77.08,359261
2014-07-11,76.94,78.77,76.66,77.85,307160
2014-07-14,78.08,78.08,76.83,76.99,294956
2014-07-15,77.2,77.6399,76.92,77.4,367466
2014-07-16,79.74,83.7,79.27,82.08,929283
2014-07-17,81.97,85.32,81.73,83.46,483032
2014-07-18,83.75,84.162,83.11,84.0,546274
2014-07-21,83.99,84.008,82.97,83.16,197880
2014-07-22,83.52,83.54,82.325,82.34,227714
2014-07-23,82.12,82.17,80.86,81.39,457766
2014-07-24,81.52,82.03,81.06,81.28,353792
2014-07-25,81.01,81.65,80.81,81.53,270655
2014-07-28,81.52,81.96,81.38,81.76,146421
2014-07-29,82.0,82.53,81.39,81.43,351956
2014-07-30,81.54,82.91,81.3,82.62,432478
2014-07-31,81.51,84.87,80.33,84.1,466445
2014-08-01,83.01,83.9899,81.61,81.84,1944316
2014-08-04,82.14,83.4,81.89,83.17,347672
2014-08-05,82.96,83.23,82.17,82.81,263815
2014-08-06,82.37,82.39,80.85,81.22,716216
2014-08-07,41.17,41.93,39.73,39.78,2670657
2014-08-08,39.96,41.07,39.49,40.96,1973870
2014-08-11,41.03,41.74,40.86,40.97,1588644
2014-08-12,40.81,41.19,40.42,40.73,1722330
2014-08-13,38.58,40.97,38.25,40.94,2150426
2014-08-14,40.93,41.15,40.8,40.96,1288783
2014-08-15,41.21,41.66,40.7,41.62,1754213
2014-08-18,41.9,42.47,41.76,42.36,1122585
2014-08-19,42.46,42.9,41.96,42.73,1751674
2014-08-20,42.54,43.245,42.47,43.2,1380391
2014-08-21,43.1,43.39,42.89,43.185,2129867
2014-08-22,43.32,43.44,43.02,43.06,2207954
2014-08-25,43.16,43.29,42.55,42.79,1897452
2014-08-26,42.66,43.36,42.535,43.085,1714459
2014-08-27,43.0,43.15,42.81,42.92,1529485
2014-08-28,42.85,43.05,42.58,42.91,2166510
2014-08-29,42.89,43.36,42.58,42.97,2411105
2014-09-02,43.05,43.62,43.05,43.61,2913205
2014-09-03,43.84,44.0,42.88,43.14,3074786
2014-09-04,43.14,43.39,42.86,43.03,2671319
2014-09-05,43.08,43.1,42.45,42.63,2337274
2014-09-08,42.63,42.78,41.54,42.16,4393696
2014-09-09,41.99,42.0,40.21,40.25,3703790
2014-09-10,40.35,40.5,40.02,40.32,1711677
2014-09-11,40.1,40.51,39.68,39.92,2008476
2014-09-12,39.76,39.89,38.79,38.8,2164424
2014-09-15,38.72,38.81,37.58,38.53,4345106
2014-09-16,38.5,39.23,38.05,38.965,2861830
2014-09-17,38.94,39.58,38.6,39.35,2604480
2014-09-18,39.88,39.88,39.13,39.42,1920601
2014-09-19,39.54,39.67,39.205,39.52,12576973
2014-09-22,39.11,39.55,38.52,38.57,1512741
2014-09-23,38.36,38.61,37.65,37.665,1922778
2014-09-24,37.77,37.83,37.26,37.54,1696985
2014-09-25,37.55,37.78,37.343,37.6,1445383
2014-09-26,37.55,38.306,37.504,38.19,1093953
2014-09-29,37.76,37.9,36.92,37.21,1583774
2014-09-30,37.16,37.64,37.16,37.28,1527993
2014-10-01,37.25,37.29,36.0,36.02,2512834
2014-10-02,35.91,36.15,35.31,36.05,2385578
2014-10-03,36.14,36.93,35.85,36.77,1896239
2014-10-06,36.84,37.19,36.46,36.57,1498910
2014-10-07,36.26,36.5,35.24,35.41,4568077
2014-10-08,35.37,36.32,35.15,36.01,4540611
2014-10-09,35.89,36.08,34.86,34.94,3041047
2014-10-10,34.96,35.21,34.49,34.53,2754257
2014-10-13,34.32,34.56,33.38,33.46,2384570
2014-10-14,33.75,34.91,33.72,33.835,2374471
2014-10-15,33.52,34.46,32.85,33.85,2779962
