date,open,high,low,close,volume
2014-04-28,62.6604,63.4637,62.1192,62.9987,3172035
2014-04-29,62.4828,62.9987,60.6986,61.0115,5958051
2014-04-30,60.9523,61.7218,60.3011,61.4258,3968208
2014-05-01,61.528,62.3623,61.3918,62.2687,3201626
2014-05-02,62.0814,62.7412,61.9111,62.0303,2735213
2014-05-05,61.6472,62.2942,61.1364,62.0048,1885266
2014-05-06,61.7834,61.9792,61.4599,61.6131,2316919
2014-05-07,61.843,61.9026,60.9661,61.7238,2355785
2014-05-08,61.6897,62.1921,61.0001,61.23,2946984
2014-05-09,61.2981,61.3066,60.6,60.9746,1939755
2014-05-12,61.4429,62.4134,61.3237,62.1835,2388990
2014-05-13,62.4049,62.9242,62.1495,62.3198,2469652
2014-05-14,62.4389,62.5326,61.8004,61.9281,1503371
2014-05-15,61.5961,61.9281,60.915,61.6302,2763242
2014-05-16,61.9026,61.9452,60.9491,61.4769,3956919
2014-05-19,59.7981,60.014,58.6238,58.6497,2828270
2014-05-20,61.7493,61.928,61.0597,61.3747,2350523
2014-05-21,61.5876,62.1495,61.5876,62.0984,2250817
2014-05-22,62.158,62.9753,61.9281,62.4049,1969780
2014-05-23,62.49,62.8306,62.0218,62.7625,1629730
2014-05-27,63.0008,63.8096,62.788,63.2222,1945181
2014-05-28,63.2222,63.5031,62.9157,62.9838,2141121
2014-05-29,63.1967,63.3925,62.6177,63.0264,1619290
2014-05-30,62.771,62.9498,62.3879,62.7369,2047803
2014-06-02,62.788,62.9413,62.1069,62.6603,1776724
2014-06-03,62.49,62.7208,62.2687,62.6092,2131411
2014-06-04,62.5241,62.7199,62.2346,62.473,1808190
2014-06-05,62.6433,63.3754,62.4134,62.6262,5181198
2014-06-06,62.8391,63.7586,62.7056,63.7586,2589028
2014-06-09,63.7841,64.8228,63.6564,64.329,2840977
2014-06-10,64.1928,64.3205,63.7075,63.9799,1529913
2014-06-11,63.6138,64.2609,63.6138,64.0736,1981512
2014-06-12,64.1842,64.329,63.6309,63.7926,2860509
2014-06-13,63.9288,64.2779,63.7926,63.9884,1577672
2014-06-16,63.8437,64.8994,63.8352,64.5503,2218512
2014-06-17,64.3971,65.0016,64.1076,64.8398,2207881
2014-06-18,64.8228,65.2825,64.3971,65.2059,1958237
2014-06-19,65.9381,66.0828,64.9164,65.4102,2314852
