date,open,high,low,close,volume
2014-04-28,30.3311,30.5733,30.2643,30.4982,4933832
2014-04-29,30.4397,30.5316,30.0554,30.2225,7561487
2014-04-30,28.5852,29.5375,28.5852,29.2619,22499087
2014-05-01,29.6127,30.2392,29.5375,30.0638,14724492
2014-05-02,30.0554,30.3144,29.5375,29.9385,10117056
2014-05-05,29.88,30.3896,29.7965,30.2726,6138192
2014-05-06,30.5483,30.565,30.0554,30.1055,8674506
2014-05-07,30.0554,30.7738,30.0554,30.707,7082684
2014-05-08,30.6235,30.6485,30.1974,30.4731,5039571
2014-05-09,30.4647,30.6736,30.2308,30.2392,6544362
2014-05-12,30.281,30.4063,29.5244,29.5709,7377623
2014-05-13,29.7046,29.8716,29.5459,29.7631,6628941
2014-05-14,29.8305,29.9063,29.2659,29.3249,8136624
2014-05-15,29.3417,29.426,29.0889,29.1142,6663766
2014-05-16,29.0974,29.1479,28.8698,28.9625,9026608
2014-05-19,28.9288,29.0805,28.5665,28.6255,7408748
2014-05-20,28.5918,28.8277,28.4569,28.5581,6647880
2014-05-21,28.5918,28.6181,28.2294,28.5665,7732391
2014-05-22,28.5075,28.9625,28.4485,28.8193,5910832
2014-05-23,28.7097,29.0131,28.6845,28.7771,5391389
2014-05-27,29.2153,30.294,29.2069,29.8136,13649702
2014-05-28,29.6114,30.4035,29.603,30.3277,11226498
2014-05-29,30.4119,30.8375,30.2434,30.3866,13233453
2014-05-30,30.4372,31.0524,30.3866,31.0355,8227167
2014-06-02,30.8585,30.9386,30.6057,30.8417,5888573
2014-06-03,30.867,31.3894,30.7574,31.3389,7580520
2014-06-04,31.2462,31.4231,31.0945,31.4063,5338844
2014-06-05,31.263,31.6464,31.2546,31.5664,11936133
2014-06-06,31.6085,31.7939,31.4653,31.5242,5092104
2014-06-09,31.3978,31.5557,31.204,31.2462,5266104
2014-06-10,31.3304,31.5158,31.2293,31.3136,4507619
2014-06-11,30.4119,31.1282,30.1001,30.1254,15367014
2014-06-12,29.5187,29.7799,29.3333,29.5524,44407688
2014-06-13,29.5608,30.2013,29.3839,30.1001,16372774
2014-06-16,30.2687,30.7532,30.2013,30.4288,16125632
2014-06-17,30.5299,30.7574,30.4625,30.5805,11725707
2014-06-18,30.5383,31.1156,30.5383,31.0524,9111937
2014-06-19,31.1282,31.4063,31.0945,31.322,8169875
2014-06-20,31.3473,31.3726,30.8754,30.9765,7978068
2014-06-23,31.1324,31.2377,30.294,30.572,7060169
2014-06-24,30.513,30.6181,30.4119,30.513,7616701
2014-06-25,30.4625,30.6479,30.3529,30.5215,5481598
2014-06-26,30.5973,30.6816,30.3192,30.4288,6052284
2014-06-27,30.3024,30.6142,30.3024,30.5805,4781446
2014-06-30,30.7153,30.9344,30.5468,30.7406,6269621
2014-07-01,30.4035,30.5552,29.9569,30.0833,7031451
2014-07-02,29.9569,29.9906,28.9288,29.1479,11109836
2014-07-03,28.9625,28.9625,28.4822,28.6255,8016346
2014-07-07,28.7013,29.0805,28.676,28.9541,10563147
2014-07-08,29.0552,29.0889,28.8277,28.9204,7228978
2014-07-09,28.9625,29.051,28.7771,28.8698,7582450
2014-07-10,28.7771,29.0426,28.7729,28.9541,7476386
2014-07-11,28.7856,28.9625,28.4148,28.4654,9178267
2014-07-14,28.6086,28.6086,27.6901,27.7154,10240208
2014-07-15,27.7238,27.8586,27.5637,27.6817,9073161
2014-07-16,27.7154,27.7659,27.4963,27.7575,8855119
2014-07-17,27.1171,27.2603,26.8559,27.0413,10140043
2014-07-18,27.1171,27.2603,26.8559,27.0413,10140043
2014-07-21,27.1677,27.2351,26.839,27.1592,8363446
2014-07-22,27.1761,27.2182,26.7632,26.78,8779447
2014-07-23,26.8306,26.9401,26.6958,26.7632,4568737
2014-07-24,26.4261,26.9149,26.3503,26.8053,6165133
2014-07-25,26.7379,26.957,26.443,26.5019,3689022
2014-07-28,26.4682,27.075,26.4446,26.9233,5683366
2014-07-29,26.9149,27.0075,26.4851,26.5188,6294252
2014-07-30,26.6536,26.6789,26.0005,26.1312,7976802
2014-07-31,26.0638,26.5356,25.9542,26.1902,9238238
2014-08-01,26.5609,26.5651,25.8362,26.4261,10079611
2014-08-04,26.5609,26.5651,25.8362,26.4261,10079611
2014-08-05,26.3587,26.5946,26.1522,26.2323,6683861
2014-08-06,26.1564,26.3334,25.8952,26.2744,11411071
