date,open,high,low,close,volume
2014-04-28,11.9551,12.0376,11.8126,11.9776,33030096
2014-04-29,12.0001,12.1126,11.9326,12.0901,27163734
2014-04-30,12.1165,12.2299,12.0334,12.2072,26524968
2014-05-01,12.2072,12.245,11.9805,12.0258,30722099
2014-05-02,12.0561,12.0787,11.9427,12.0183,22182779
2014-05-05,11.9502,11.9956,11.8747,11.8973,25127144
2014-05-06,11.8973,11.9124,11.7386,11.7613,23289128
2014-05-07,11.8142,11.8142,11.663,11.6857,32181828
2014-05-08,11.7462,12.0561,11.7235,11.9502,36794779
2014-05-09,11.8898,12.0183,11.8898,11.92,25172568
2014-05-12,11.9502,12.0183,11.9276,11.9729,17164707
2014-05-13,11.9805,12.0183,11.9049,11.988,16509281
2014-05-14,11.9805,12.0107,11.9049,11.9049,15087866
2014-05-15,11.8973,11.9049,11.7537,11.8595,27244262
2014-05-16,11.8671,11.988,11.7613,11.9124,25639225
2014-05-19,11.8822,12.0485,11.8822,12.0334,17368319
2014-05-20,12.0183,12.0409,11.8973,11.92,20348850
2014-05-21,11.9578,12.0787,11.9427,12.0258,17811407
2014-05-22,11.9805,12.1165,11.9805,12.0258,24848656
2014-05-23,12.0258,12.1165,12.0183,12.109,17004403
2014-05-27,12.1619,12.245,12.1306,12.2148,21034686
2014-05-28,12.2224,12.366,12.2072,12.3282,23241418
2014-05-29,12.3962,12.5171,12.3735,12.502,42832478
2014-05-30,12.3962,12.502,12.3735,12.4264,23065423
2014-06-02,12.4793,12.4793,12.3811,12.4264,17975088
2014-06-03,12.4416,12.6381,12.434,12.5096,32581740
2014-06-04,12.5096,12.7363,12.4416,12.691,33699592
2014-06-05,12.7137,12.7666,12.5474,12.6078,34825926
2014-06-06,12.6003,12.9102,12.6003,12.9102,38583389
2014-06-09,12.8573,12.9404,12.8497,12.8497,23144349
2014-06-10,12.8573,12.9102,12.8422,12.8573,21980136
2014-06-11,12.827,12.8573,12.759,12.7741,21409229
2014-06-12,12.7666,12.7968,12.4718,12.4869,28544500
2014-06-13,12.4945,12.5852,12.4718,12.5171,20323354
2014-06-16,12.4491,12.6078,12.3811,12.5701,22219572
2014-06-17,12.5323,12.6985,12.4945,12.691,17785415
2014-06-18,12.691,12.7363,12.5663,12.7212,22925751
2014-06-19,12.7515,12.7515,12.6683,12.6834,16728501
2014-06-20,12.7515,12.7515,12.5852,12.6003,29981435
2014-06-23,12.623,12.7893,12.6078,12.759,23084402
2014-06-24,12.7288,13.0009,12.7212,12.827,37736474
2014-06-25,12.8119,13.0462,12.7893,13.0009,37496685
2014-06-26,13.0538,13.0538,12.8875,13.0009,22193690
2014-06-27,12.9858,13.0689,12.9593,13.0614,31418644
2014-06-30,13.0765,13.1143,13.0009,13.0311,24099967
2014-07-01,13.1067,13.1521,12.9026,13.0085,36171515
2014-07-02,12.9933,13.0765,12.9782,13.016,17002931
2014-07-03,13.0236,13.1067,13.016,13.0916,13581223
2014-07-07,12.9933,13.1521,12.9933,13.0916,20271602
2014-07-08,13.016,13.0301,12.8875,12.9329,23332243
2014-07-09,12.9707,13.1899,12.9555,13.1747,27036963
