date,open,high,low,close,volume
2014-04-28,38.0225,38.389,36.3873,37.0827,3267051
2014-04-29,37.2237,37.8157,36.7914,37.6936,1282723
2014-04-30,37.5902,37.703,36.9906,37.4492,1797942
2014-05-01,39.6013,39.6013,36.2463,37.1767,4122563
2014-05-02,37.1203,38.6239,37.1203,38.3608,2618433
2014-05-05,37.9755,38.0695,37.4398,37.8721,1357603
2014-05-06,37.8251,37.8251,36.8102,36.8948,1310522
2014-05-07,36.8666,37.0357,36.2181,36.6128,2011339
2014-05-08,36.4531,37.1579,36.3591,36.641,1766412
2014-05-09,36.7256,37.1955,36.4315,37.1579,1880906
2014-05-12,37.515,38.3608,37.2895,38.0319,1266125
2014-05-13,38.0319,38.2856,37.4586,37.4868,858528
2014-05-14,37.4116,37.468,36.3215,36.4061,1210516
2014-05-15,36.3403,36.4249,35.034,35.5697,2510679
2014-05-16,35.7295,36.096,35.5885,36.0302,2245558
2014-05-19,36.1148,37.3083,35.8798,36.6128,1839709
2014-05-20,36.4437,36.8384,36.3779,36.4061,1768102
2014-05-21,36.5001,37.1767,36.4531,36.6598,1108879
2014-05-22,36.8102,37.8251,36.6034,37.4868,1424576
2014-05-23,37.3834,38.1211,37.3459,37.9473,1193168
2014-05-27,38.0883,38.3608,37.8909,38.2386,1183959
2014-05-28,38.1255,38.3234,37.5694,37.6165,1572611
2014-05-29,37.6731,38.1067,37.4657,37.805,901009
2014-05-30,37.6919,37.871,37.3526,37.6825,1278680
2014-06-02,37.6731,38.0124,37.3715,37.7014,1096396
2014-06-03,37.7956,38.1821,37.4657,37.6731,1118334
2014-06-04,37.6071,37.871,37.362,37.3903,1547720
2014-06-05,37.5883,38.1349,37.1265,37.6448,2826612
2014-06-06,37.7202,38.0972,37.626,38.003,1637686
2014-06-09,37.937,38.7853,37.8522,38.4083,1301863
2014-06-10,38.3517,38.5261,37.9653,38.3046,1221013
2014-06-11,38.1538,38.2103,37.6354,38.2009,1620827
2014-06-12,38.1915,38.2952,37.6495,37.8993,2156051
2014-06-13,38.003,38.0407,37.4092,37.5129,1152445
2014-06-16,37.3715,37.7673,37.1453,37.362,1035522
2014-06-17,37.1924,37.3526,36.7117,36.985,1795740
2014-06-18,36.9662,37.3149,36.4666,37.2772,2234538
2014-06-19,37.3243,38.2103,37.0887,38.2009,2491374
2014-06-20,37.9464,37.9935,36.5986,37.2395,4746002
2014-06-23,37.2866,37.6731,36.9992,37.0416,1120641
2014-06-24,37.0227,37.7296,36.8154,37.1264,1167833
2014-06-25,36.9945,37.5223,36.9945,37.3998,836408
2014-06-26,37.1641,37.4563,36.6457,36.8437,1007157
2014-06-27,36.7494,37.3432,36.6551,37.2772,2593655
2014-06-30,37.1547,37.6542,36.9191,37.6354,1326519
2014-07-01,37.7108,38.6062,37.6825,38.0784,1632064
2014-07-02,37.9181,38.2386,37.5977,37.7014,1305915
2014-07-03,37.805,38.5025,37.6637,38.5025,942496
2014-07-07,38.2952,38.3611,37.5317,37.5788,1761044
2014-07-08,37.4469,37.5458,36.9191,36.985,1430849
2014-07-09,37.0699,37.5977,36.8437,36.9096,1285698
2014-07-10,35.9954,36.0991,34.7984,35.8351,3240056
2014-07-11,35.7032,36.0896,35.3356,35.3545,2387882
2014-07-14,35.4204,35.9105,35.4204,35.7692,1989326
2014-07-15,35.477,35.7597,35.1,35.2885,1238205
2014-07-16,35.5524,35.6466,35.1188,35.4016,1554336
2014-07-17,35.0528,35.4676,34.8389,35.411,2607489
2014-07-18,35.4487,35.8257,35.2319,35.8257,1998421
2014-07-21,35.5618,36.0425,35.4299,35.9765,1653344
2014-07-22,36.1085,37.0887,36.0519,36.8437,2826237
2014-07-23,36.7117,37.2631,36.3347,36.7588,1951227
2014-07-24,36.7023,37.0699,36.2876,36.4195,2137818
