date,open,high,low,close,volume
2014-04-28,27.9,28.0854,27.4968,27.6823,3684827
2014-04-29,27.6984,27.8919,27.5291,27.6258,2267333
2014-04-30,27.4404,27.4887,26.9807,27.2146,4751179
2014-05-01,27.263,27.5049,27.0936,27.3194,4513532
2014-05-02,27.2146,27.2226,26.755,26.884,4781498
2014-05-05,26.8595,27.4383,26.8595,27.2426,5855452
2014-05-06,26.99,27.3486,26.403,26.615,8033028
2014-05-07,26.9084,27.6339,26.7209,27.6258,7912491
2014-05-08,27.5687,27.585,27.153,27.4138,6652529
2014-05-09,27.5198,27.8866,27.3079,27.316,7040697
2014-05-12,27.3405,27.3731,26.778,26.8432,7041661
2014-05-13,26.8921,26.9981,26.4356,26.4846,4599218
2014-05-14,26.5579,26.7128,26.1992,26.3704,5212538
2014-05-15,26.4275,26.5335,26.1992,26.2971,2889071
2014-05-16,26.2808,26.3786,26.1128,26.2808,3354849
2014-05-19,26.1992,26.2645,25.539,25.5553,4531682
2014-05-20,25.6449,25.865,25.433,25.4656,3958171
2014-05-21,25.5064,25.7265,25.4085,25.7101,2924601
2014-05-22,25.6775,25.8406,25.5227,25.7183,2302045
2014-05-23,25.6531,25.7265,25.4982,25.6612,3030938
2014-05-27,26.615,27.6991,26.5335,27.0878,9638814
2014-05-28,27.0796,27.479,26.9981,27.422,5492476
2014-05-29,27.5769,27.6339,27.2426,27.2916,3925372
2014-05-30,27.1937,27.5769,27.1285,27.5687,3828048
2014-06-02,27.6176,27.6339,27.2467,27.3486,2593126
2014-06-03,27.4301,28.8241,27.3405,28.1312,8664647
2014-06-04,28.0252,28.1393,27.8133,27.96,3161262
2014-06-05,28.0252,28.2697,27.9844,28.1719,1992814
2014-06-06,28.229,28.6366,28.1882,28.2942,2776247
2014-06-09,28.2371,28.5143,28.1434,28.1964,2335929
2014-06-10,28.1638,28.6529,28.1475,28.3187,3122287
2014-06-11,28.3024,28.3187,27.7562,27.8377,2198464
2014-06-12,27.7888,27.9844,27.475,27.9192,2494286
2014-06-13,27.7725,27.9192,27.3812,27.8622,4791777
2014-06-16,27.9029,28.2942,27.7644,27.8377,4740673
2014-06-17,27.8296,27.9111,27.6421,27.8703,4331388
2014-06-18,27.9681,28.5836,27.8866,28.5551,4946418
2014-06-19,28.5714,29.0115,28.2697,28.3024,5529842
2014-06-20,28.3431,28.4654,28.2779,28.3757,4186364
2014-06-23,28.3105,28.4369,28.0823,28.2045,2128011
2014-06-24,28.123,28.2045,27.9844,28.0089,2072155
2014-06-25,27.9192,28.0823,27.8296,28.0334,2447249
2014-06-26,27.9926,28.066,27.797,27.8703,1779024
2014-06-27,27.8214,27.9111,27.6258,27.7073,3448910
2014-06-30,27.8296,28.3341,27.7154,28.3024,2595426
2014-07-01,28.229,28.335,27.7154,27.7154,2866581
2014-07-02,27.6013,27.6828,26.7128,26.7454,4236205
2014-07-03,26.6068,26.6068,26.3541,26.4927,2113547
2014-07-07,26.4601,27.0552,26.456,26.6313,4492076
2014-07-08,26.7209,27.153,26.7128,26.99,3104642
2014-07-09,26.9329,27.0755,26.8025,27.0389,2628264
2014-07-10,26.941,27.1774,26.9329,27.047,2056894
2014-07-11,26.9573,27.1122,26.5253,26.5498,3403175
2014-07-14,26.615,26.615,26.0199,26.0281,3415201
2014-07-15,26.0036,26.24,25.9221,26.0525,2572511
2014-07-16,26.077,26.2726,26.0036,26.2726,3555738
2014-07-17,25.8976,26.0688,25.7101,25.9955,2216833
2014-07-18,25.8976,26.0688,25.7101,25.9955,2216933
2014-07-21,25.8732,26.0607,25.6694,25.971,2587531
2014-07-22,25.9955,26.0851,25.7672,25.7835,2225616
2014-07-23,25.7835,26.0525,25.7265,26.0444,4032918
2014-07-24,26.0036,26.2808,25.8569,26.24,3520301
2014-07-25,25.9465,26.3258,25.9465,26.077,2915776
2014-07-28,26.0281,26.442,25.9955,26.4193,2675233
2014-07-29,26.3867,26.4927,26.2482,26.3297,3916407
2014-07-30,26.1259,26.134,25.6775,25.7998,9326507
2014-07-31,25.6694,25.8813,25.3678,25.4411,5132038
2014-08-01,25.3759,25.4738,24.7809,25.3189,6718646
2014-08-04,25.3759,25.4738,24.7809,25.3189,6718805
2014-08-05,24.8653,26.8693,24.7251,26.3333,10792786
2014-08-06,26.2673,26.3003,25.7972,25.9621,6625639
2014-08-07,26.0941,26.3085,25.8137,25.9374,4251995
2014-08-08,26.0281,26.6961,26.0281,26.6796,3420076
2014-08-11,26.6549,26.852,26.6467,26.7291,3333301
2014-08-12,26.7044,26.8363,26.5642,26.6384,3660077
2014-08-13,26.6302,26.7786,26.5312,26.7291,1719832
2014-08-14,26.6961,26.993,26.6961,26.9848,1572769
2014-08-15,27.0013,27.3064,26.9518,27.191,2276997
2014-08-18,27.1827,27.3394,26.993,27.0838,2029772
2014-08-19,27.1003,27.4054,27.0508,27.3807,1946412
2014-08-20,27.3972,27.5044,27.2405,27.4961,1381043
2014-08-21,27.4631,27.6611,27.4384,27.5951,1599496
2014-08-22,27.4796,27.6693,27.3807,27.4879,2462989
2014-08-25,27.6116,27.8961,27.6075,27.7765,1389787
2014-08-26,27.76,27.8879,27.3642,27.3972,1997076
2014-08-27,27.5374,27.8837,27.4965,27.8755,2488618
2014-08-28,27.8343,28.0652,27.7023,28.0322,1329383
2014-08-29,28.0074,28.2466,27.9745,28.2384,1294749
2014-09-02,28.2384,28.2466,27.5044,27.7848,2428871
2014-09-03,27.892,28.2342,27.7765,28.1889,1682771
2014-09-04,28.1064,28.1889,27.892,28.0569,1328067
2014-09-05,28.1641,28.5311,28.0899,28.5188,1987583
2014-09-08,28.461,28.4938,28.1518,28.2384,1713642
2014-09-09,28.1147,28.3126,27.8425,28.1724,3376348
2014-09-10,28.0404,28.1724,27.8013,28.0074,3329264
2014-09-11,28.0157,28.527,27.9992,28.5023,3020036
2014-09-12,28.2878,28.3538,27.9909,28.1889,2127645
2014-09-15,28.2466,28.527,28.1806,28.3373,1626388
2014-09-16,28.3291,28.8239,28.2219,28.7002,3150509
2014-09-17,28.8074,28.8239,28.4585,28.626,2610658
2014-09-18,28.6342,28.7002,28.1806,28.2878,2191112
2014-09-19,28.4033,28.6425,28.2961,28.5518,4189357
2014-09-22,28.5353,28.7002,28.3043,28.5682,1865599
2014-09-23,28.494,28.593,28.2136,28.2136,2159273
2014-09-24,28.2961,28.3043,27.7353,27.8343,3114020
2014-09-25,27.793,28.0157,27.6858,27.9332,2867137
2014-09-26,28.0074,28.0817,27.76,28.0239,3031215
2014-09-29,27.9332,28.0404,27.7848,28.0157,1622366
2014-09-30,28.0322,28.2631,27.5951,27.6858,3061266
2014-10-01,27.6858,27.892,27.3724,27.5209,2852899
2014-10-02,27.4714,27.6858,27.3972,27.5951,3273861
2014-10-03,27.6858,27.7023,27.2487,27.6198,2139051
2014-10-06,27.6281,27.958,27.5703,27.826,3097982
2014-10-07,27.7518,28.0281,27.6858,27.7353,3305166
2014-10-08,27.7518,28.6177,27.6858,28.5353,4890483
2014-10-09,28.5188,28.9517,28.4116,28.494,5597688
2014-10-10,28.5765,28.9889,28.5682,28.7414,3267840
2014-10-13,28.7827,29.3187,28.7085,28.9476,5146063
2014-10-14,28.9724,29.7064,28.8651,29.327,4949109
2014-10-15,29.6651,29.6816,28.2204,28.9724,5053497
2014-10-16,28.6122,28.7029,28.1422,28.5792,2915857
2014-10-17,28.7579,28.7579,28.2961,28.6507,2295132
2014-10-20,28.6342,28.9642,28.5931,28.8157,3332935
2014-10-21,28.8734,29.2033,28.7167,29.0383,3878306
2014-10-22,29.0548,29.5909,29.0301,29.294,4257127
2014-10-23,29.4012,29.4668,28.9889,29.195,2810117
2014-10-24,29.3105,29.9703,29.195,29.9125,3254737
2014-10-27,29.8218,29.9703,29.5909,29.7971,3126558
2014-10-28,29.8383,30.3249,29.7806,30.3167,2426493
2014-10-29,30.3167,30.4486,29.8301,30.1682,2360945
2014-10-30,30.7871,30.7871,30.0626,30.3124,3715743
2014-10-31,31.0259,31.0424,30.5888,30.795,2891105
2014-11-03,30.795,30.9269,30.6713,30.8857,2539649
2014-11-04,30.828,31.1084,30.2672,30.4486,4193939
2014-11-05,30.809,31.0672,30.476,30.8923,8543265
2014-11-06,30.809,30.8465,30.2345,30.5093,3598585
2014-11-07,30.4593,31.0339,30.4593,31.0172,3678255
2014-11-10,30.9672,31.1171,30.834,31.1005,2761353
2014-11-11,30.9922,31.1837,30.8965,31.0505,2179199
2014-11-12,30.784,30.784,30.0596,30.3094,3715743
2014-11-13,30.3511,30.5093,30.0016,30.0596,2398249
2014-11-14,29.9181,30.0763,29.8098,29.8848,3155741
2014-11-17,29.8265,30.3344,29.7182,30.2761,2393751
2014-11-18,30.3344,30.6841,30.1512,30.5509,2447420
2014-11-19,30.3844,30.9256,30.2731,30.8423,2435609
2014-11-20,30.6841,30.834,30.451,30.5842,1638098
2014-11-21,30.8507,31.1254,30.6258,30.9839,2200883
2014-11-24,30.9423,30.9922,30.2095,30.2428,2351324
2014-11-25,30.3427,30.3427,29.993,30.1762,2416092
2014-11-26,30.2262,30.476,30.1262,30.3427,1581153
2014-11-28,30.426,30.8007,30.426,30.7091,1099865
2014-12-01,30.5925,31.0005,30.3677,30.8423,1971772
2014-12-02,30.7924,30.9839,30.6262,30.8756,1698153
2014-12-03,30.7924,30.9506,30.5884,30.7674,2618095
2014-12-04,30.7924,30.9506,30.5884,30.7674,2618095
2014-12-05,30.4843,30.8174,30.4343,30.809,2533407
2014-12-08,30.7507,31.3378,30.7507,31.2587,3585639
2014-12-09,31.1254,31.5001,31.0755,31.4918,2219668
2014-12-10,31.4752,31.6375,31.0047,31.0172,2798544
2014-12-11,30.9839,31.7708,30.9006,31.5085,3951768
2014-12-12,31.2753,31.5001,30.9506,31.1837,2332985
2014-12-15,31.292,31.5168,31.0189,31.1338,3791409
2014-12-16,31.0172,31.5168,30.6342,30.9672,2798186
2014-12-17,31.1504,31.7666,31.0422,31.6917,2764159
2014-12-18,31.725,32.3412,31.6334,32.2995,2919444
2014-12-19,32.3828,32.6243,32.0081,32.2412,5484916
2014-12-22,31.5251,31.9331,31.4752,31.8249,3595383
2014-12-23,31.9415,32.6159,31.8249,32.4827,2348446
2014-12-24,32.591,33.1905,32.4994,33.0906,2370674
2014-12-26,33.1905,33.7817,33.1405,33.3071,2750805
2014-12-29,33.332,34.0065,33.332,33.9482,2956712
2014-12-30,33.9399,33.9399,33.3737,33.4569,2049034
2014-12-31,33.5319,33.6651,32.4661,32.4661,3090573
2015-01-02,32.5576,32.7075,32.1746,32.6409,2355539
2015-01-05,32.4744,32.5327,31.65,31.7666,3065933
2015-01-06,31.9082,32.2708,31.75,31.9331,3678283
2015-01-07,31.9914,32.4286,31.7999,32.1996,2374402
2015-01-08,32.3245,32.6159,32.2246,32.491,2114384
2015-01-09,32.541,32.6243,32.0913,32.4494,3185892
2015-01-12,32.4411,32.6243,31.8249,32.0247,3076095
2015-01-13,31.6251,32.6326,31.5834,32.1663,3729521
2015-01-14,32.0913,32.9781,31.9415,32.9324,4423457
2015-01-15,33.0906,33.5319,32.9573,33.2488,5363726
2015-01-16,33.2821,34.1397,33.1488,34.0731,3786072
2015-01-20,34.1231,34.1397,33.6568,34.1064,2662090
2015-01-21,33.9482,34.5394,33.7702,34.3895,2599309
2015-01-22,34.5228,34.706,33.8067,34.0398,2469920
2015-01-23,34.1314,34.5852,34.0148,34.3312,1832158
2015-01-26,34.2397,34.5061,34.0648,34.4312,1726253
2015-01-27,34.2979,34.631,34.2313,34.248,1750275
2015-01-28,34.2896,34.5977,33.84,33.9232,2628069
2015-01-29,33.8566,34.6162,33.7195,34.4478,3192183
2015-01-30,34.248,34.3812,33.5569,33.5818,3144409
2015-02-02,33.6235,33.8441,33.2155,33.5985,2946675
2015-02-03,33.5152,33.7525,33.2488,33.6734,2697905
2015-02-04,33.581,33.9675,33.4214,33.7406,4783528
2015-02-05,33.8835,34.6354,33.6314,34.4716,3836215
2015-02-06,34.3708,34.3708,32.556,32.7157,4616097
2015-02-09,32.7157,32.7157,31.7327,31.8839,3225800
2015-02-10,31.8923,32.5375,31.7663,32.4468,2548928
2015-02-11,32.2032,32.2368,31.4806,31.5478,2872084
2015-02-12,31.5814,31.6571,31.1362,31.2286,3324915
2015-02-13,31.1278,31.4386,30.8589,31.279,4170597
2015-02-17,31.1782,31.6193,30.7665,31.0269,5520012
2015-02-18,30.3716,30.4472,29.1366,30.338,11024897
2015-02-19,30.5481,30.6237,30.254,30.4388,3284418
2015-02-20,30.4052,30.4724,29.8843,30.1196,5105453
2015-02-23,30.212,30.3716,29.8843,29.9095,4355449
2015-02-24,29.9431,30.4808,29.8927,30.3044,3898195
2015-02-25,30.2708,30.7245,30.0524,30.1196,5528405
2015-02-26,30.2456,30.2792,29.8759,29.9179,3199291
2015-02-27,29.8675,29.9095,29.3466,29.3886,4962090
2015-03-02,29.5735,29.5735,28.7081,28.8089,3374429
2015-03-03,29.0526,29.0526,28.5821,28.8677,2217676
2015-03-04,28.7417,28.8837,28.6493,28.8257,3277222
2015-03-05,28.977,29.2626,28.9434,29.1954,4385043
2015-03-06,28.8173,28.8173,28.4141,28.6493,4500906
2015-03-09,28.6157,28.9098,28.5485,28.6913,3252810
2015-03-10,28.6325,29.1072,28.5317,28.9013,3647322
2015-03-11,28.8509,28.9602,28.5989,28.7081,2806001
2015-03-12,28.9013,29.6911,28.8299,29.5315,4105046
2015-03-13,29.397,29.4054,28.6745,29.0694,4218883
2015-03-16,29.1954,29.7121,29.1282,29.4979,3319917
2015-03-17,29.4054,29.6869,29.313,29.4559,3346897
2015-03-18,29.4643,30.5018,29.4054,30.338,4647318
2015-03-19,30.2162,30.6069,29.9515,30.1952,3264848
2015-03-20,30.3548,30.6237,30.2372,30.5649,7294229
2015-03-23,30.5649,30.7245,30.4724,30.5649,1996749
2015-03-24,30.5312,30.6153,29.9011,29.9935,2757557
2015-03-25,30.0104,30.2036,29.3046,29.3382,3610537
2015-03-26,29.3382,29.4559,28.8845,29.1618,4458268
2015-03-27,29.1114,29.4054,28.935,29.103,4655388
2015-03-30,29.439,30.0692,29.3466,29.8339,4214900
2015-03-31,29.8003,29.9767,29.2038,29.4559,4200618
2015-04-01,29.145,29.2374,28.6241,28.977,6073014
2015-04-02,28.977,29.7835,28.9518,29.6911,3993120
2015-04-06,29.7415,30.1532,29.6407,30.0608,2914503
2015-04-07,30.2708,30.422,30.0524,30.086,3412535
2015-04-08,30.1112,30.1532,29.7919,29.9515,3241619
2015-04-09,29.8843,30.128,29.5903,30.002,3196425
2015-04-10,30.0272,30.5901,29.9011,30.4556,2966695
2015-04-13,30.2288,30.296,29.9683,29.9851,2438632
2015-04-14,29.9935,30.1448,29.8255,30.0272,1974559
2015-04-15,30.086,30.38,30.0104,30.0272,1914519
2015-04-16,29.9011,29.9935,29.334,29.6155,2833851
2015-04-17,29.4306,29.7247,29.3718,29.4643,1519624
2015-04-20,29.7919,30.4976,29.7919,30.3296,4197300
2015-04-21,30.38,30.6237,29.5651,29.8171,2896775
2015-04-22,29.8675,29.9011,29.5483,29.8255,2674572
2015-04-23,29.8087,30.1364,29.7835,29.9095,2646819
2015-04-24,29.9179,30.7329,29.8591,30.5144,5399128
2015-04-27,30.6237,30.7413,30.2036,30.4472,2709916
2015-04-28,30.3212,30.5565,30.1112,30.5481,1986757
