date,open,high,low,close,volume
2014-04-28,48.5748,48.9751,47.8207,48.3141,962297
2014-04-29,48.6213,49.1612,48.3886,49.1519,1579045
2014-04-30,49.2543,49.8967,48.9378,49.7384,1904799
2014-05-01,49.8129,50.0735,48.5282,49.906,1843727
2014-05-02,50.0642,50.7438,49.9711,50.6041,1565712
2014-05-05,50.39,50.9858,50.2039,50.7252,1192606
2014-05-06,50.6228,50.6321,49.9618,49.9991,1258991
2014-05-07,50.2318,50.3063,49.7012,50.0084,1289168
2014-05-08,49.878,50.2876,49.6546,49.7849,1254640
2014-05-09,49.9246,50.1015,49.636,50.0363,1405058
2014-05-12,50.1945,51.172,50.1666,51.1161,2331155
2014-05-13,51.1255,51.1255,50.8601,50.8927,994892
2014-05-14,50.8276,50.9579,50.5017,50.539,765961
2014-05-15,50.4924,50.4924,49.9246,50.0828,1057749
2014-05-16,50.0084,50.2039,49.4871,49.7105,2583389
2014-05-19,49.5429,50.1387,49.4033,50.0642,2318835
2014-05-20,50.148,50.2225,49.5243,49.5615,923837
2014-05-21,49.636,49.8036,49.4591,49.5522,829028
2014-05-22,49.5801,49.5987,49.3847,49.4591,761853
2014-05-23,49.5429,49.8315,49.4126,49.6919,663548
2014-05-27,49.9246,50.2039,49.6825,49.9339,830903
2014-05-28,50.0177,50.4459,49.8315,50.2132,1179689
2014-05-29,50.5017,50.5017,50.2132,50.3249,1162139
2014-05-30,50.2969,50.4645,50.1945,50.4087,823913
2014-06-02,50.3714,50.5855,50.0549,50.4087,846263
2014-06-03,50.148,50.4459,50.1294,50.269,502880
2014-06-04,50.2039,50.4738,50.0177,50.4459,1029239
2014-06-05,50.3993,50.7903,50.2132,50.781,842718
2014-06-06,50.781,51.3303,50.7484,51.2651,891223
2014-06-09,51.2558,51.5993,51.172,51.3396,683499
2014-06-10,51.3489,51.4233,51.172,51.3116,660628
2014-06-11,51.172,51.172,50.6414,50.6693,594791
2014-06-12,50.6786,50.6786,49.9493,50.1737,685522
2014-06-13,50.155,50.4916,50.1363,50.3514,697560
2014-06-16,50.2205,50.3607,49.9774,50.1737,678816
2014-06-17,50.127,50.7347,50.1176,50.5664,1089976
2014-06-18,50.4729,50.6132,50.1737,50.4542,935657
2014-06-19,50.5103,50.8002,50.4075,50.6786,1363502
2014-06-20,50.7254,51.249,50.688,50.903,2063700
2014-06-23,50.8937,51.1181,50.6973,51.0527,854972
2014-06-24,50.9218,51.2911,50.903,51.0153,1105305
2014-06-25,50.8656,51.8007,50.8002,51.6978,1682690
2014-06-26,51.6417,51.6604,50.7721,51.1181,2085018
2014-06-27,50.9685,51.3332,50.8516,51.249,1394418
2014-06-30,51.1742,51.3238,50.716,51.1836,1105420
2014-07-01,51.3238,51.8287,51.249,51.3519,1169124
2014-07-02,51.2397,51.5669,51.1649,51.3612,730405
2014-07-03,51.436,51.8942,51.3425,51.8381,542547
2014-07-07,51.6043,51.8101,51.4641,51.6324,527583
2014-07-08,51.6511,51.7259,51.2303,51.5202,934841
2014-07-09,51.6511,51.7072,51.4267,51.623,736486
2014-07-10,51.1555,51.9316,51.1088,51.5202,1126442
2014-07-11,51.5856,52.0157,51.3238,51.9783,1091244
2014-07-14,52.1373,52.5207,52.0157,52.502,1235361
2014-07-15,52.4926,52.8947,52.4084,52.8479,1470408
2014-07-16,52.9695,53.1658,52.7264,53.0817,2122754
2014-07-17,52.8292,53.1845,52.5581,52.5674,1542634
2014-07-18,52.6703,53.25,52.53,53.2126,1035639
2014-07-21,52.9882,53.1004,52.7638,52.8573,578790
2014-07-22,53.0443,53.278,52.9508,53.2032,946332
2014-07-23,53.1471,53.1845,52.8479,52.904,605792
2014-07-24,53.0443,53.063,52.7731,52.904,1019201
2014-07-25,52.6329,53.063,52.6329,52.9134,1027004
2014-07-28,52.8292,53.0162,52.3664,52.8853,1298314
2014-07-29,53.1939,53.2359,51.9503,52.689,2102787
2014-07-30,52.8012,53.3622,52.6703,53.3154,1742429
2014-07-31,52.8853,53.091,52.6516,52.7357,1883924
2014-08-01,52.5674,52.6422,52.0812,52.3056,1274010
2014-08-04,52.5674,52.6422,52.0812,52.3056,1274010
2014-08-05,52.1747,52.53,51.7352,51.8194,1140349
2014-08-06,51.7913,52.012,51.3986,51.4454,1135235
2014-08-07,51.5856,52.0531,51.2257,51.2958,1418396
2014-08-08,51.408,51.6885,51.3238,51.6137,1350381
2014-08-11,51.8474,52.2869,51.7446,51.7913,1088949
2014-08-12,51.6791,52.0064,51.5482,51.6604,1048099
2014-08-13,51.9316,52.3523,51.8848,52.2682,1282127
2014-08-14,52.371,52.5113,52.2214,52.2869,1081669
2014-08-15,52.4833,52.6983,51.8287,52.1747,1937428
2014-08-18,52.4646,53.1378,52.4552,52.9975,1649724
2014-08-19,53.0349,53.5866,53.0256,53.2126,1714100
2014-08-20,53.2406,53.5024,53.0723,53.4744,1285040
2014-08-21,53.4837,53.8951,53.2687,53.5959,948129
2014-08-22,53.4744,53.6053,53.2032,53.4276,624279
2014-08-25,53.624,53.9045,53.4557,53.7549,1446915
2014-08-26,53.7642,53.8951,53.5492,53.5772,583673
2014-08-27,53.5305,53.6146,53.1378,53.278,627731
2014-08-28,53.1097,53.306,52.9975,53.0256,641116
2014-08-29,52.9227,53.1658,52.7544,53.063,654782
2014-09-02,53.2126,53.5772,53.0069,53.3528,884523
2014-09-03,53.437,53.6287,53.2967,53.5492,691830
2014-09-04,53.7642,54.3627,53.6333,54.0635,1440893
