date,open,high,low,close,volume
2014-04-28,18.9831,18.9831,18.1364,18.689,17078012
2014-04-29,18.6355,18.8049,18.5642,18.591,11222667
2014-04-30,17.976,18.6979,17.976,18.6355,11067700
2014-05-01,18.6355,18.9296,18.5999,18.7692,8491659
2014-05-02,18.6979,18.8851,18.6712,18.7068,8210556
2014-05-05,18.5999,18.6801,18.4127,18.6712,8313927
2014-05-06,18.6533,18.6623,18.3592,18.4127,12821063
2014-05-07,18.4484,18.6088,18.3889,18.6088,9051881
2014-05-08,18.5286,18.8316,18.5018,18.5553,11041571
2014-05-09,18.5286,18.5731,18.3682,18.484,28638487
2014-05-12,18.6088,19.09,18.5464,19.09,11073611
2014-05-13,19.1435,19.3218,18.9564,18.9831,9807492
2014-05-14,18.992,19.0544,18.8138,18.8851,6487383
2014-05-15,18.8672,18.9189,18.582,18.6801,9632591
2014-05-16,18.6623,18.8049,18.5464,18.6712,10922185
2014-05-19,19.2932,19.2932,18.9315,18.9948,6894417
2014-05-20,18.8405,18.8762,18.6222,18.7781,7770510
2014-05-21,18.8138,18.992,18.6979,18.8494,7332836
2014-05-22,18.8851,19.0811,18.8583,18.9118,6342324
2014-05-23,18.9118,19.1212,18.8494,19.0098,6848276
2014-05-27,19.09,19.2505,18.992,19.1079,9587428
2014-05-28,19.1974,19.3049,19.0362,19.0362,6588246
2014-05-29,19.1347,19.2511,19.0452,19.1616,5540728
2014-05-30,19.1168,19.2064,19.0094,19.0721,9798856
2014-06-02,19.0631,19.2243,19.0273,19.0721,6320867
2014-06-03,19.0094,19.1885,19.0004,19.1705,7899256
2014-06-04,19.1258,19.1974,19.0631,19.1258,4770992
2014-06-05,19.1437,19.3317,19.0452,19.3228,5804989
2014-06-06,19.3317,19.4571,19.2243,19.3138,7470732
2014-06-09,19.269,19.3407,19.1258,19.2153,5409431
2014-06-10,19.2064,19.3228,19.1168,19.3228,7615821
2014-06-11,19.2511,19.3496,19.1616,19.2064,5712785
2014-06-12,19.1974,19.2243,18.7497,18.8034,10003834
2014-06-13,18.7945,19.0721,18.7945,18.9825,6026713
2014-06-16,18.9825,19.1079,18.8348,18.9019,5711474
2014-06-17,18.8303,19.1168,18.7228,19.0541,6873546
2014-06-18,19.0094,19.2377,18.8751,19.2064,5698454
2014-06-19,19.2153,19.4033,19.1885,19.4033,5623087
2014-06-20,19.4929,19.6899,19.4571,19.5645,12941313
2014-06-23,19.5824,19.6003,19.4168,19.4839,5976653
2014-06-24,19.5377,19.8779,19.5018,19.5198,10559397
2014-06-25,19.5556,19.7346,19.5198,19.6988,7957127
2014-06-26,19.7346,19.7526,19.3765,19.475,7170587
2014-06-27,19.4392,19.7526,19.4302,19.6988,12245199
2014-06-30,19.663,19.7481,19.5645,19.6541,7189032
2014-07-01,19.7526,19.8511,19.7078,19.7705,6746714
2014-07-02,19.7436,19.9182,19.6182,19.6809,7066210
2014-07-03,19.7705,20.0301,19.7257,19.9943,5100691
2014-07-07,19.8511,20.0033,19.8242,19.9406,4508243
2014-07-08,19.9406,19.9764,19.5914,19.6451,6551138
2014-07-09,19.6809,19.8869,19.672,19.7167,5176452
2014-07-10,19.5018,19.5645,19.2959,19.3675,9318490
2014-07-11,19.3675,19.4392,19.3049,19.4213,5087316
2014-07-14,19.5198,19.7078,19.5198,19.6182,6419253
2014-07-15,19.672,19.7794,19.6093,19.663,7525558
2014-07-16,19.7526,19.7884,19.5018,19.5377,11156197
2014-07-17,19.3317,19.5645,19.2735,19.5466,9736934
2014-07-18,19.3317,19.5645,19.2735,19.5466,9736934
2014-07-21,19.5466,19.672,19.5018,19.6272,3871761
2014-07-22,19.672,19.9227,19.6541,19.8511,4525864
2014-07-23,19.8063,19.9048,19.7436,19.86,4070268
2014-07-24,19.8958,19.9316,19.7257,19.7794,5157209
2014-07-25,19.7436,19.8063,19.672,19.7167,3688985
2014-07-28,19.6988,19.7794,19.5198,19.7436,5937522
2014-07-29,18.8392,18.893,17.7558,17.908,30121123
2014-07-30,17.9976,18.0065,17.523,17.7916,13123284
2014-07-31,17.5767,17.8006,17.5588,17.5946,13197599
2014-08-01,17.5678,17.8588,17.5141,17.8006,11729307
2014-08-04,17.8364,17.9977,17.6931,17.9528,8001958
2014-08-05,17.8901,17.9886,17.7424,17.8006,8540209
2014-08-06,17.6842,17.908,17.6394,17.72,6841788
2014-08-07,17.8543,17.9259,17.5588,17.6215,5317709
2014-08-08,17.6215,17.8543,17.5693,17.8543,5975983
2014-08-11,17.9349,18.1319,17.908,18.0155,4825803
2014-08-12,17.9976,18.105,17.917,18.0782,4395364
2014-08-13,18.1767,18.2572,18.0602,18.1946,4511809
2014-08-14,18.1677,18.2662,18.0961,18.1408,5235659
2014-08-15,18.2035,18.2483,17.8185,18.0513,8644202
2014-08-18,18.1677,18.2841,18.1632,18.2393,5286662
2014-08-19,18.2304,18.2483,17.908,18.2125,10518120
2014-08-20,18.1498,18.5885,18.0244,18.5348,11470738
2014-08-21,18.5617,18.6602,18.4542,18.49,7693448
2014-08-22,18.4721,18.5259,18.2931,18.3915,5400105
2014-08-25,18.4542,18.5975,18.4363,18.4721,3913866
2014-08-26,18.5348,18.8392,18.5348,18.5706,6036859
2014-08-27,18.6066,18.6966,18.3907,18.4357,5699532
2014-08-28,18.3547,18.6156,18.3097,18.5077,4251403
2014-08-29,18.4897,18.7686,18.4717,18.7686,7647463
2014-09-02,18.7866,18.8765,18.6696,18.8676,6270163
