date,open,high,low,close,volume
2014-04-28,8.0599,8.0599,7.8505,7.9116,18352053
2014-04-29,7.9814,7.9903,7.8418,7.8941,22319894
2014-04-30,7.8592,8.025,7.8592,7.9901,11595473
2014-05-01,8.0075,8.0337,7.8941,7.9203,9492557
2014-05-02,7.9377,8.1122,7.9203,7.9726,8506244
2014-05-05,7.9901,8.0075,7.8592,7.9465,6987896
2014-05-06,7.8854,7.9465,7.8505,7.868,9044861
2014-05-07,7.8941,7.9901,7.8505,7.9814,10477086
2014-05-08,7.9465,8.1035,7.9377,8.025,13286978
2014-05-09,8.0163,8.0686,7.929,8.0599,10450204
2014-05-12,8.0773,8.2169,8.0599,8.2169,8896559
2014-05-13,8.2343,8.2605,8.1645,8.1733,7423614
2014-05-14,8.1471,8.1689,7.9901,7.9901,6905558
2014-05-15,7.9377,7.9552,7.7546,7.8854,11553285
2014-05-16,7.8854,7.9072,7.7807,7.8505,9208026
2014-05-19,7.7895,7.9552,7.7807,7.9552,6563647
2014-05-20,7.929,7.9377,7.7982,7.868,9931479
2014-05-21,7.929,7.9814,7.8854,7.9377,5571344
2014-05-22,7.9639,7.9726,7.868,7.9029,8721932
2014-05-23,7.8854,7.9639,7.8767,7.9377,5803791
2014-05-27,7.9814,8.0686,7.9465,7.9988,8805260
2014-05-28,7.9988,8.1558,7.9465,8.0337,9315583
2014-05-29,8.0599,8.0686,7.9683,8.0642,9149087
2014-05-30,8.0424,8.1297,8.0424,8.086,5962068
2014-06-02,8.0948,8.1733,8.0337,8.1645,5490849
2014-06-03,8.1209,8.2605,8.1035,8.1733,6359674
2014-06-04,8.1558,8.243,8.1471,8.2169,7502642
2014-06-05,8.1907,8.3216,8.1645,8.3041,6084858
2014-06-06,8.3303,8.3739,8.291,8.339,5998911
2014-06-09,8.3652,8.4786,8.339,8.4786,6237348
2014-06-10,8.4698,8.4786,8.3826,8.4698,5254057
2014-06-11,8.4175,8.4349,8.2954,8.3128,13723468
2014-06-12,8.339,8.3652,8.2256,8.2692,7067124
2014-06-13,8.2868,8.3832,8.2429,8.278,10214309
2014-06-16,8.2604,8.2868,8.1991,8.2254,7095749
2014-06-17,8.1991,8.4183,8.1991,8.3131,13582374
2014-06-18,8.3481,8.4183,8.3131,8.3744,8966930
2014-06-19,8.4095,8.4183,8.3043,8.3744,5535165
2014-06-20,8.392,8.4884,8.392,8.4358,8547191
2014-06-23,8.4183,8.4884,8.392,8.4709,7891523
2014-06-24,8.4183,8.5235,8.3569,8.3744,5626049
2014-06-25,8.3306,8.4227,8.2429,8.392,6702905
2014-06-26,8.3744,8.4271,8.2604,8.4007,5751437
2014-06-27,8.3657,8.4183,8.3306,8.3832,6577900
2014-06-30,8.392,8.4183,8.3394,8.3657,4461592
2014-07-01,8.3832,8.5323,8.3744,8.4534,6797431
2014-07-02,8.4534,8.5235,8.392,8.4095,5374528
2014-07-03,8.4621,8.5235,8.4358,8.506,3903341
2014-07-07,8.4884,8.5323,8.4534,8.4709,5195529
2014-07-08,8.4621,8.4709,8.3218,8.4095,8333439
2014-07-09,8.4446,8.5147,8.4095,8.4797,7192996
2014-07-10,8.3394,8.4446,8.2868,8.392,7788537
2014-07-11,8.3657,8.4797,8.3306,8.4358,7305624
2014-07-14,8.4972,8.52,8.4183,8.4446,6105019
2014-07-15,8.4446,8.5849,8.4446,8.5586,8823563
2014-07-16,8.5674,8.5937,8.4271,8.4446,7633888
2014-07-17,8.4007,8.4446,8.1464,8.1552,12546913
2014-07-18,8.541,8.5761,8.3832,8.5498,16464406
2014-07-21,8.6463,8.6463,8.4972,8.541,10101384
2014-07-22,8.6287,8.6638,8.5674,8.6287,14017620
2014-07-23,8.6814,8.7077,8.6112,8.6463,7802389
2014-07-24,8.6814,8.7778,8.6507,8.7427,9856390
2014-07-25,8.7252,8.769,8.6901,8.7515,7138287
2014-07-28,8.7515,8.7603,8.6024,8.6375,6131484
2014-07-29,8.6638,8.734,8.62,8.6287,8301123
2014-07-30,8.6638,8.734,8.62,8.6901,6110303
2014-07-31,8.7164,8.7252,8.6024,8.6112,10191414
2014-08-01,8.5761,8.6375,8.4271,8.506,8765675
2014-08-04,8.4972,8.5674,8.4007,8.5016,7190277
2014-08-05,8.4709,8.5147,8.3481,8.3832,9535986
2014-08-06,8.3744,8.4534,8.3306,8.3832,4457946
2014-08-07,8.4095,8.4534,8.278,8.2955,7386239
2014-08-08,8.3218,8.3569,8.2517,8.3394,7928488
2014-08-11,8.3481,8.3832,8.278,8.3043,9993784
2014-08-12,8.3218,8.4271,8.2692,8.4095,11536686
2014-08-13,8.4534,8.541,8.4095,8.4621,8781621
2014-08-14,8.4709,8.5235,8.4621,8.4797,4024224
2014-08-15,8.5147,8.541,8.3832,8.4358,6699425
2014-08-18,8.4884,8.5674,8.4577,8.541,6496347
2014-08-19,8.5498,8.6112,8.4797,8.4972,7956609
2014-08-20,8.4972,8.541,8.449,8.5191,6350762
2014-08-21,8.541,8.6551,8.506,8.6287,4988372
2014-08-22,8.6024,8.6551,8.5761,8.6287,5248947
2014-08-25,8.6814,8.6989,8.6375,8.6901,4680181
2014-08-26,8.7077,8.7252,8.6638,8.6814,3766779
2014-08-27,8.6726,8.7252,8.6112,8.62,3620741
2014-08-28,8.5586,8.6375,8.541,8.6024,3262883
2014-08-29,8.62,8.6638,8.5761,8.6287,2919959
2014-09-02,8.6726,8.7164,8.6156,8.6901,5845956
2014-09-03,8.7077,8.734,8.62,8.6682,6216540
2014-09-04,8.6989,8.7427,8.6638,8.6989,7178307
2014-09-05,8.6638,8.7427,8.6375,8.734,10500887
2014-09-08,8.7252,8.7603,8.6726,8.7296,5481311
2014-09-09,8.7077,8.7077,8.6024,8.6331,4908330
2014-09-10,8.6551,8.7603,8.62,8.7077,4595477
2014-09-11,8.6638,8.7427,8.6638,8.734,5927706
2014-09-12,8.7427,8.8918,8.7296,8.883,12931616
2014-09-15,8.9007,8.9007,8.8125,8.8478,8293407
2014-09-16,8.8125,8.9271,8.8037,8.8258,6546810
2014-09-17,8.8214,8.9888,8.8214,8.9007,7918901
2014-09-18,8.9359,9.0417,8.9095,8.9976,11193644
2014-09-19,9.0681,9.0769,8.8689,8.883,10708844
2014-09-22,8.883,8.9359,8.8214,8.8478,7338709
2014-09-23,8.8214,8.8742,8.742,8.742,6963231
2014-09-24,8.7685,8.7949,8.6804,8.7685,6920092
2014-09-25,8.7156,8.7685,8.6275,8.6363,8530801
2014-09-26,8.6363,8.7024,8.6099,8.6892,6361000
2014-09-29,8.5834,8.6804,8.5129,8.6275,5074350
2014-09-30,8.6099,8.6715,8.5658,8.5746,7349165
2014-10-01,8.5746,8.5922,8.4424,8.46,12751413
2014-10-02,8.46,8.5746,8.3719,8.5305,10915304
2014-10-03,8.601,8.6671,8.5834,8.6187,7523582
2014-10-06,8.6363,8.698,8.5482,8.5834,7262751
2014-10-07,8.5658,8.6187,8.4248,8.4248,7838248
2014-10-08,8.4248,8.6099,8.416,8.601,7181806
2014-10-09,8.6099,8.6099,8.3984,8.4072,8154605
2014-10-10,8.3984,8.4865,8.319,8.3235,8296156
2014-10-13,8.3367,8.4424,8.2926,8.2926,15614718
2014-10-14,8.3543,8.4424,8.3014,8.3807,10875315
2014-10-15,8.2838,8.2838,7.9225,8.0899,14901688
2014-10-16,7.896,8.1604,7.755,8.0987,16853360
2014-10-17,8.2133,8.3102,7.9401,8.0459,16722569
2014-10-20,7.9842,8.0899,7.9842,8.037,11692463
2014-10-21,8.0635,8.2662,8.0635,8.2574,10025476
2014-10-22,8.2309,8.3412,8.1957,8.2133,8441251
2014-10-23,8.319,8.3719,8.275,8.3102,8480001
2014-10-24,8.2838,8.3719,8.275,8.3631,5713116
2014-10-27,8.3719,8.4424,8.3367,8.4248,8101941
2014-10-28,8.4248,8.5658,8.42,8.5658,5239220
2014-10-29,8.5482,8.6804,8.5041,8.6451,7985046
2014-10-30,8.5922,8.6936,8.557,8.601,6975539
2014-10-31,8.7068,8.7332,8.6451,8.7332,8530861
2014-11-03,8.7685,8.7685,8.6539,8.6892,6848647
2014-11-04,8.6627,8.742,8.6187,8.7288,5703172
2014-11-05,8.7685,8.8478,8.7156,8.8478,7177229
2014-11-06,8.8566,8.8875,8.7332,8.883,11691470
2014-11-07,8.9007,8.9888,8.8566,8.8919,13723959
2014-11-10,8.9095,9.0196,8.8919,8.9271,9506812
