date,open,high,low,close,volume
2014-04-28,52.706,53.0213,51.7305,51.8389,5976753
2014-04-29,50.2525,51.2083,49.1785,50.6466,5525188
2014-04-30,50.8634,51.632,50.6466,51.2379,4750106
2014-05-01,51.2379,52.0655,50.7255,51.632,3084800
2014-05-02,51.5926,51.7601,50.962,51.1196,2898963
2014-05-05,51.1886,51.7995,50.8585,51.5827,2452888
2014-05-06,51.4842,52.0655,51.1493,51.1984,2346588
2014-05-07,51.2477,51.3068,49.9471,50.7846,2652895
2014-05-08,50.6762,51.5532,50.2624,50.4299,1678038
2014-05-09,50.3905,51.0703,50.0456,50.755,1524455
2014-05-12,50.9423,51.6221,50.9423,51.5335,1094788
2014-05-13,51.3068,51.9572,51.2674,51.5926,1818986
2014-05-14,51.5926,52.0951,51.3659,51.9079,1664170
2014-05-15,51.7502,51.8635,51.0408,51.3364,1538918
2014-05-16,51.2083,51.2083,50.3609,50.4988,2273058
2014-05-19,50.4102,50.9915,50.2525,50.755,1795598
2014-05-20,50.6861,51.2181,50.6861,50.962,6609313
2014-05-21,51.159,51.9079,51.159,51.5039,4455175
2014-05-22,51.6813,52.6863,51.3167,51.563,5786034
2014-05-23,51.9276,52.8735,51.6024,52.6567,2945681
2014-05-27,53.0115,53.2085,52.2528,52.3414,1930958
2014-05-28,52.5976,53.179,52.4006,52.5878,2217606
2014-05-29,52.5878,52.8735,52.5089,52.6075,1737042
2014-05-30,52.5188,52.7356,52.0951,52.2133,2607831
2014-06-02,52.3217,52.4991,51.6024,52.2133,4012895
2014-06-03,52.2626,54.0165,52.2528,53.7012,3663159
2014-06-04,53.5041,54.1446,53.3268,53.9673,2147517
2014-06-05,53.9081,55.5635,53.8786,55.4354,3971435
2014-06-06,55.4847,55.8788,54.7063,54.7752,1948661
2014-06-09,54.7654,55.1398,54.322,54.5683,1143802
2014-06-10,54.5388,54.5388,53.6224,54.4501,1945836
2014-06-11,54.2431,54.7162,53.2085,54.2037,3383067
2014-06-12,54.1939,54.1939,53.4943,53.7209,1557493
2014-06-13,53.6914,54.5289,53.3366,54.1742,1846675
2014-06-16,54.1939,55.8,54.184,55.1694,3237569
2014-06-17,55.1989,55.6522,54.6767,54.7457,2137372
