date,open,high,low,close,volume
2014-04-28,80.3981,80.4895,79.337,79.7943,2200900
2014-04-29,79.9041,81.1024,79.9041,80.517,2782072
2014-04-30,81.4135,82.5935,80.6176,81.5598,4240073
2014-05-01,81.4226,81.8617,80.9012,81.322,1911321
2014-05-02,81.4043,81.7336,80.9195,81.1116,1796104
2014-05-05,80.5627,81.3677,80.4941,81.0384,1816020
2014-05-06,81.0841,81.5854,80.5719,80.581,3519304
2014-05-07,80.4987,81.6147,80.4987,81.3494,1763709
2014-05-08,81.0293,81.5232,80.334,80.6908,2360496
2014-05-09,80.9012,81.0293,79.8126,80.1419,2079788
2014-05-12,80.6085,81.1482,80.27,80.8097,1672485
2014-05-13,80.9561,81.1299,80.6542,81.1116,2065502
2014-05-14,79.6846,81.944,79.6846,81.4318,1690300
2014-05-15,81.0476,81.1665,79.776,80.6725,1828340
2014-05-16,80.5353,80.6725,79.5473,79.9498,2345063
2014-05-19,79.9041,80.9195,79.895,80.4438,1900234
2014-05-20,80.334,80.9835,80.0596,80.5261,1765737
2014-05-21,81.0018,81.9349,80.9103,81.6879,1615806
2014-05-22,83.618,84.0845,82.5843,82.5935,4322666
2014-05-23,82.4746,82.8679,81.8251,82.2001,2742071
2014-05-27,82.2459,82.4105,81.45,81.8068,2335874
2014-05-28,80.9561,82.8496,80.9561,82.3008,2642053
2014-05-29,82.3282,83.0509,82.0629,82.8679,2933348
2014-05-30,82.6941,83.7369,82.6392,83.5174,2837673
2014-06-02,83.8742,83.9016,83.0692,83.5265,1528944
2014-06-03,83.4259,84.5145,83.2521,84.5145,3118815
2014-06-04,84.359,84.8621,83.9748,84.4413,1344450
2014-06-05,84.3132,84.67,84.0754,84.3407,1975772
2014-06-06,84.5968,85.8683,84.5511,85.3652,2754335
2014-06-09,85.4841,86.3349,85.3103,86.0787,2133123
2014-06-10,85.85,86.5212,85.6762,86.2708,1908665
2014-06-11,86.1702,87.8168,86.0696,87.1856,2430917
2014-06-12,87.4424,88.7172,87.314,87.5708,2292333
2014-06-13,87.7634,88.1486,87.103,88.0019,1751354
2014-06-16,88.0385,88.5063,87.7175,87.9468,2169488
2014-06-17,87.5616,88.1119,87.0682,87.9927,1824404
2014-06-18,87.9927,88.5888,87.3231,88.3412,2028389
2014-06-19,88.0019,89.2767,88.0019,89.2767,1878688
2014-06-20,89.6069,89.8729,89.13,89.8453,3626741
2014-06-23,89.9829,90.8863,89.8453,90.2489,1928940
2014-06-24,90.2489,90.6341,88.3962,88.4971,1891960
2014-06-25,87.5524,90.1572,87.5341,90.0471,2732125
2014-06-26,89.9646,90.1755,88.7356,89.506,1591619
2014-06-27,89.1942,90.1939,89.0936,90.148,2393939
2014-06-30,90.2489,90.8817,89.7078,90.6983,2583314
2014-07-01,91.0743,91.6613,90.7992,91.3587,2335616
2014-07-02,90.9826,91.6155,90.7997,91.1844,1683692
2014-07-03,91.2761,91.8173,91.0927,91.6522,1500683
2014-07-07,91.3862,91.8081,90.6708,90.9826,1861803
2014-07-08,90.7625,91.8261,90.6158,90.7625,2671421
2014-07-09,90.9093,91.5971,90.2581,90.8267,3293144
2014-07-10,90.203,90.6158,89.4877,90.3406,3000933
2014-07-11,89.3317,90.3498,89.3317,89.7353,1669985
2014-07-14,90.3223,91.1385,90.3223,90.9918,2329153
2014-07-15,90.6158,90.7533,89.4556,89.7261,2606876
2014-07-16,90.4507,91.7164,90.4507,91.001,2166342
2014-07-17,90.4507,91.0652,90.2948,90.5424,2788540
2014-07-18,90.4507,91.0652,90.2948,90.5424,2788540
2014-07-21,90.4507,91.4504,90.359,91.0927,2203384
2014-07-22,91.4137,91.7989,91.0469,91.5329,2281758
2014-07-23,91.7897,92.1016,91.377,91.8631,1575791
2014-07-24,91.7622,92.6152,91.5925,92.3951,1505492
2014-07-25,92.0557,92.1832,91.4596,91.5421,1202521
2014-07-28,91.588,91.7897,90.9459,91.5604,1662110
2014-07-29,91.5054,91.8264,91.1065,91.1844,2594906
2014-07-30,95.385,95.8436,91.5971,92.6794,4860672
2014-07-31,92.0741,92.1749,90.3315,90.7809,3682396
2014-08-01,89.8362,92.2208,89.8362,92.1199,2078702
2014-08-04,89.8362,92.2208,89.8362,92.1199,2204690
2014-08-05,91.909,91.9732,89.9738,90.4232,3216758
2014-08-06,90.0013,91.4596,90.0013,90.5883,2013284
2014-08-07,90.9551,91.3218,89.4693,89.7353,2224386
2014-08-08,90.038,91.7622,89.9187,91.643,2434500
2014-08-11,92.0374,92.6335,91.7806,91.8448,1568270
2014-08-12,91.432,91.7622,90.4841,90.8267,1404683
2014-08-13,91.2394,91.588,90.813,90.9093,1960564
2014-08-14,90.9826,91.2119,89.2309,89.451,2454672
2014-08-15,89.7261,90.7717,89.6986,90.7075,3021772
2014-08-18,90.9918,91.2028,88.9007,89.7903,2360069
