date,open,high,low,close,volume
2014-04-28,21.7119,21.912,21.6165,21.7892,1133112
2014-04-29,21.8119,21.8665,21.5346,21.5392,686534
2014-04-30,21.5392,21.6903,21.4664,21.6801,1402126
2014-05-01,21.671,21.671,21.4301,21.6437,805994
2014-05-02,21.7074,21.9347,21.5619,21.8074,1113476
2014-05-05,21.6756,21.7392,21.5755,21.6892,1070044
2014-05-06,21.6119,21.8028,21.471,21.4983,1066144
2014-05-07,21.571,21.9256,21.571,21.8983,1279220
2014-05-08,21.8665,22.0665,21.8119,21.9256,940584
2014-05-09,21.921,22.1574,21.8574,22.1483,1148520
2014-05-12,22.2347,22.3347,22.062,22.2211,1217956
2014-05-13,22.2165,22.5098,22.2074,22.4302,1261528
2014-05-14,22.3347,22.3847,22.0983,22.1847,967560
2014-05-15,22.0392,22.1802,21.9801,22.1529,969080
2014-05-16,22.1029,22.2665,22.0938,22.2575,1187832
2014-05-19,22.2211,22.362,22.162,22.3075,834634
2014-05-20,22.2256,22.3438,21.9801,22.062,1578818
2014-05-21,21.8619,21.8619,21.2664,21.4301,2727874
2014-05-22,21.2982,21.3846,20.9209,21.0527,3567944
2014-05-23,21.0437,21.23,21.0164,21.2119,1605380
2014-05-27,21.2119,21.9711,21.2073,21.7301,3203992
2014-05-28,21.721,21.7597,21.6392,21.6892,1574304
2014-05-29,21.8438,22.1597,21.821,22.1438,1622412
2014-05-30,22.1438,22.4075,22.0983,22.3711,2661818
2014-06-02,22.3166,22.4438,22.2393,22.4075,1995082
2014-06-03,22.3847,22.5302,22.3438,22.4984,1914096
2014-06-04,22.4666,22.6029,22.3847,22.5393,1594374
2014-06-05,22.4802,22.5461,22.3666,22.4802,1547468
2014-06-06,22.4211,22.5302,22.3211,22.3984,1081392
2014-06-09,22.3847,22.5711,22.3711,22.5348,1684960
2014-06-10,22.4711,22.5188,22.2893,22.3984,1835074
2014-06-11,22.2711,22.3393,21.9824,22.0802,1544436
2014-06-12,22.0847,22.0961,21.8756,21.9711,1233360
2014-06-13,21.9529,22.012,21.7938,21.8847,1511554
2014-06-16,21.9165,22.0802,21.8529,22.0074,1563102
2014-06-17,22.0029,22.0983,21.9438,22.0574,701166
2014-06-18,21.9711,22.3166,21.922,22.2802,1095420
2014-06-19,22.3029,22.5166,22.2984,22.512,1211866
2014-06-20,22.5575,22.6711,22.4529,22.6211,2221328
2014-06-23,22.6166,22.6473,22.3256,22.362,1250172
2014-06-24,22.2438,22.412,22.1904,22.2029,1116326
2014-06-25,22.1074,22.1483,22.0438,22.1029,1336356
2014-06-26,22.1256,22.1438,22.0074,22.0892,804350
2014-06-27,22.062,22.3143,22.062,22.2984,1205818
2014-06-30,22.312,22.5711,22.2529,22.4347,1313928
2014-07-01,22.4757,22.512,22.3529,22.362,1719384
2014-07-02,22.162,22.162,21.8392,21.9847,2840808
2014-07-03,22.0256,22.1155,21.9801,22.0347,1951910
2014-07-07,22.012,22.3256,22.012,22.3075,1894910
2014-07-08,22.3166,22.4393,22.262,22.262,1358422
2014-07-09,22.3438,22.4029,22.2029,22.2347,1165524
2014-07-10,22.0756,22.2393,22.0756,22.1438,964132
2014-07-11,22.1483,22.1802,21.9892,22.1665,1068644
2014-07-14,22.2575,22.2711,22.062,22.162,815864
2014-07-15,22.112,22.1961,21.9756,22.0256,1136954
2014-07-16,22.0938,22.0938,21.8392,21.8892,1148428
2014-07-17,21.9029,21.9851,21.7797,21.8801,1106170
2014-07-18,21.9577,22.2088,21.9394,22.154,1568804
2014-07-21,22.0627,22.1083,21.9121,21.9166,772172
2014-07-22,21.9394,22.0947,21.8801,22.0262,1062878
2014-07-23,22.0307,22.1038,21.8344,21.839,738832
2014-07-24,21.8208,21.8801,21.6884,21.7797,1088208
2014-07-25,21.7797,21.8344,21.7231,21.7842,582238
2014-07-28,21.839,21.8436,21.5925,21.6199,1180040
2014-07-29,21.661,21.7842,21.4578,21.4784,885534
2014-07-30,21.4829,21.5514,21.0704,21.1132,1552256
2014-07-31,21.1406,21.1406,20.6567,20.6612,1999256
2014-08-01,20.5471,20.7754,20.5015,20.716,1689864
2014-08-04,20.5471,20.7754,20.5015,20.716,1689864
2014-08-05,20.748,20.8392,20.6293,20.6886,1040962
2014-08-06,20.6475,21.0584,20.6475,20.9808,1382484
2014-08-07,20.9808,21.0401,20.8005,20.8028,1117244
2014-08-08,20.8301,21.0995,20.7708,21.0949,804656
2014-08-11,21.0995,21.451,21.0995,21.3506,1103310
2014-08-12,21.273,21.4327,21.273,21.3551,1048268
2014-08-13,21.4099,21.4829,21.3369,21.4282,1377542
2014-08-14,21.4053,21.6505,21.3778,21.6108,1034406
2014-08-15,21.7021,21.7842,21.4556,21.5195,980118
2014-08-18,21.5971,21.6518,21.5469,21.6518,922784
2014-08-19,21.6427,21.839,21.6245,21.6884,1560400
2014-08-20,21.6564,21.8847,21.6336,21.8481,1910702
2014-08-21,22.0581,23.1583,22.0536,22.7885,5769366
2014-08-22,23.0077,23.0487,22.6653,22.8068,2746762
2014-08-25,22.9711,22.9757,22.8205,22.8844,1491492
2014-08-26,22.93,23.0442,22.8844,22.889,1325452
2014-08-27,22.8707,23.0168,22.8616,22.9894,1099108
2014-08-28,22.9483,23.1674,22.8424,23.1218,1173044
2014-08-29,23.1674,23.1857,23.0579,23.1355,932684
2014-09-02,23.1674,23.3957,23.1492,23.245,1427168
2014-09-03,23.3546,23.4368,23.2405,23.3455,1782666
2014-09-04,23.3272,23.4276,23.1035,23.1994,1524396
2014-09-05,23.1994,23.3181,23.1081,23.3181,1272322
2014-09-08,23.2131,23.2907,23.1172,23.2131,1061594
2014-09-09,23.2131,23.2542,22.9072,22.9894,1403902
2014-09-10,22.9848,23.0624,22.9392,23.0396,668710
2014-09-11,22.9803,23.1218,22.9209,23.0807,849960
2014-09-12,23.0077,23.0807,22.7703,22.8114,995300
2014-09-15,22.889,22.889,22.7201,22.8479,918714
2014-09-16,22.8661,23.204,22.8251,23.1948,1286842
