date,open,high,low,close,volume
2014-04-28,16.794,16.818,16.4427,16.7461,6520779
2014-04-29,16.826,16.8859,16.6902,16.7142,6331113
2014-04-30,16.6982,17.1534,16.6503,17.1294,9847582
2014-05-01,16.9058,17.2253,16.6183,17.1694,7507669
2014-05-02,17.1214,17.3371,16.9937,17.1454,5927741
2014-05-05,16.834,17.1454,16.834,17.0176,5493507
2014-05-06,16.9857,17.1414,16.9138,16.9617,5604243
2014-05-07,17.0017,17.0815,16.8419,17.0735,6670526
2014-05-08,17.0815,17.3211,16.9857,17.1694,3757568
2014-05-09,17.2093,17.2732,17.0096,17.1135,4522743
2014-05-12,17.2332,17.369,17.2093,17.3371,3773508
2014-05-13,17.3211,17.4009,17.0496,17.0895,4102039
2014-05-14,17.1294,17.1933,17.0056,17.1374,3579642
2014-05-15,17.0496,17.1294,16.8419,17.1135,8062213
2014-05-16,17.0975,17.345,17.0336,17.3371,5910656
2014-05-19,17.3051,17.393,17.2253,17.369,3817425
2014-05-20,17.353,17.385,17.2093,17.2412,4417626
2014-05-21,17.2732,17.3291,17.0496,17.1294,3460135
2014-05-22,17.1614,17.2812,17.0655,17.1773,3061022
2014-05-23,17.2253,17.353,17.1294,17.345,2488886
2014-05-27,17.4409,17.5207,17.2412,17.4169,4358313
2014-05-28,17.361,17.393,17.1454,17.3131,8234017
2014-05-29,17.377,17.4169,17.3251,17.4089,3691710
2014-05-30,17.377,17.6565,17.377,17.6245,6529379
2014-06-02,17.6485,17.7044,17.5207,17.6725,4065495
2014-06-03,17.6325,17.7363,17.5367,17.6884,3545713
2014-06-04,17.6645,17.7603,17.361,17.7204,3706977
2014-06-05,17.7763,18.1596,17.6485,18.1436,5140567
2014-06-06,18.1835,18.2075,18.0558,18.1835,3765630
2014-06-09,18.1596,18.2315,17.9679,17.9999,3607951
2014-06-10,17.936,17.9759,17.7603,17.8242,5003062
2014-06-11,17.8002,17.8881,17.6804,17.8641,3865541
2014-06-12,17.8242,17.8242,17.5766,17.6645,5434550
2014-06-13,17.6964,17.7763,17.5327,17.7204,4833474
2014-06-16,17.7124,17.7922,17.4648,17.5127,4413924
2014-06-17,17.5048,17.6725,17.4409,17.6565,4892707
2014-06-18,17.6485,17.7603,17.5527,17.7363,5557415
2014-06-19,17.6964,17.8721,17.6964,17.8641,6059057
2014-06-20,17.904,17.904,17.6804,17.8641,8818591
2014-06-23,17.8721,17.9639,17.8402,17.8481,6122165
2014-06-24,17.8082,17.8881,17.6485,17.7204,7388018
2014-06-25,17.6884,17.7204,17.5846,17.6245,8883850
2014-06-26,17.5763,17.705,17.4798,17.6567,8339440
2014-06-27,17.6406,17.8899,17.6165,17.8577,5376391
2014-06-30,17.8818,17.906,17.6567,17.6969,6521285
2014-07-01,17.7773,17.8416,17.6487,17.7773,6139792
2014-07-02,17.8175,17.8256,17.6648,17.705,6213551
2014-07-03,17.7371,17.8256,17.5763,17.8014,3970002
2014-07-07,17.7934,17.8256,17.713,17.7934,5458912
2014-07-08,17.8095,17.8577,17.7411,17.7934,5527633
