date,open,high,low,close,volume
2014-04-28,122.9665,123.9632,121.4599,122.5999,1570593
2014-04-29,124.1299,125.6665,117.7932,120.5299,1825353
2014-04-30,119.7365,121.2232,119.3399,120.5665,1256379
2014-05-01,121.7465,123.6599,119.4599,119.7099,1385859
2014-05-02,123.5265,123.5432,121.0499,121.1965,2415996
2014-05-05,120.4632,121.9332,119.7602,121.3232,1402509
2014-05-06,120.8165,122.1032,120.0032,120.0999,2134638
2014-05-07,120.0832,120.7465,117.5132,117.6499,2193672
2014-05-08,117.3032,119.9432,117.0999,117.4499,3065073
2014-05-09,117.1899,117.7652,115.4866,117.6865,2754009
2014-05-12,118.2332,122.3832,116.6865,121.8899,1607787
2014-05-13,121.7032,122.7899,120.6665,121.8232,1315716
2014-05-14,121.3032,125.1999,120.6665,123.8899,2411862
2014-05-15,124.3165,124.3165,120.1865,121.4765,1926960
2014-05-16,121.7199,124.8999,120.8099,124.6965,1893315
2014-05-19,124.0132,125.7265,123.3532,123.6432,1287903
2014-05-20,123.2232,123.6632,121.0599,121.1999,785631
2014-05-21,121.8299,122.8099,121.0432,122.1099,530217
2014-05-22,121.7565,123.6199,121.0832,121.5465,857427
2014-05-23,121.5632,121.9965,120.8765,121.2865,851892
2014-05-27,121.5232,124.2699,120.8399,123.7899,1481652
2014-05-28,123.7399,123.9632,121.5499,121.5599,1119132
2014-05-29,122.1965,125.3999,121.6032,124.9499,1242090
2014-05-30,125.0132,125.0232,122.4265,123.2465,914718
2014-06-02,122.9032,124.0899,122.0632,123.6332,1181898
2014-06-03,122.9865,124.6399,122.9865,123.6465,728160
2014-06-04,123.0965,124.1265,122.8982,123.3765,896727
2014-06-05,123.7199,124.8732,122.8132,122.9465,1090212
2014-06-06,123.4032,123.8565,122.6732,123.7532,884508
2014-06-09,123.6399,125.2729,123.2849,124.9465,959847
2014-06-10,124.4465,126.5332,124.2969,125.8665,987747
2014-06-11,125.7365,128.2299,125.5999,127.4599,1292850
