date,open,high,low,close,volume
2014-04-28,93.3364,94.1405,91.6588,93.2149,1427349
2014-04-29,93.4766,94.5331,93.1681,93.5982,659192
2014-04-30,93.6356,94.4022,93.4674,94.3181,1436635
2014-05-01,94.2433,94.4957,93.1214,93.2336,691168
2014-05-02,93.2336,94.047,92.6819,92.8409,572653
2014-05-05,92.4388,93.112,91.7937,92.8876,586911
2014-05-06,92.3454,93.8413,92.2986,92.7567,760748
2014-05-07,93.2149,93.4299,91.9527,93.0746,522513
2014-05-08,92.8596,93.7758,92.4201,93.1307,608784
2014-05-09,92.9718,93.2523,92.1677,93.0746,362664
2014-05-12,93.6075,96.0571,93.6075,96.0104,790619
2014-05-13,96.3002,96.9173,95.3559,95.599,509340
2014-05-14,95.5616,95.599,94.1779,94.2433,511385
2014-05-15,94.0844,94.1264,91.9714,92.5043,964554
2014-05-16,93.7852,96.8892,93.4953,96.7864,1246676
2014-05-19,96.3937,98.0299,96.0665,97.927,823941
2014-05-20,97.6278,98.3384,97.0388,98.1795,1200928
2014-05-21,98.3758,99.8156,98.1935,99.7876,973781
2014-05-22,99.7782,100.3859,98.9738,99.1892,1042796
2014-05-23,99.1051,100.816,98.9274,100.4701,686436
2014-05-27,100.8815,101.7837,100.414,100.8908,637294
2014-05-28,101.0498,101.5827,100.3345,100.7599,766309
2014-05-29,101.0311,101.32,99.8624,100.3766,601672
2014-05-30,100.2551,100.601,99.853,100.5262,1267937
2014-06-02,100.8254,100.8254,99.2453,100.1616,636612
2014-06-03,99.5071,99.9699,98.0205,98.6095,624193
2014-06-04,98.516,98.7124,97.5343,97.9831,949269
2014-06-05,98.4144,99.9799,98.1369,99.7549,863328
2014-06-06,99.7924,100.9361,99.5299,100.833,438942
2014-06-09,100.6268,101.9673,100.1018,100.3643,577307
2014-06-10,100.4299,100.5893,98.7894,99.4737,472786
2014-06-11,99.1268,99.2581,98.3206,99.1175,383442
2014-06-12,99.1643,99.1831,97.0269,97.2894,678438
2014-06-13,97.5425,98.2269,97.0551,98.0769,525361
2014-06-16,98.0113,98.6487,97.5613,98.0769,442606
2014-06-17,97.7957,98.9019,97.4488,98.5269,535617
2014-06-18,98.7425,100.3455,98.5925,100.2705,588931
2014-06-19,100.1112,101.4049,99.8674,100.7205,704003
2014-06-20,101.1424,101.283,100.383,101.0955,694680
2014-06-23,101.1705,101.1705,99.4081,100.2424,423408
2014-06-24,100.1674,100.8705,99.3893,99.5393,493863
2014-06-25,99.1831,100.5705,99.1362,100.3455,500327
2014-06-26,100.3455,100.5049,98.9019,99.6987,391023
2014-06-27,99.38,100.233,99.0275,99.4456,898452
2014-06-30,99.4456,101.3392,99.4362,100.7861,677151
2014-07-01,100.7205,100.9549,99.9987,100.4955,433988
2014-07-02,100.2612,101.4799,100.1768,101.2361,489615
2014-07-03,101.6767,102.7923,101.3861,102.5486,517433
2014-07-07,102.3517,102.6395,101.133,101.8642,603933
