date,open,high,low,close,volume
2014-04-28,105.4779,105.6142,103.2685,104.2777,923480
2014-04-29,105.1687,105.6688,104.4868,105.096,720350
2014-04-30,104.9869,105.6142,104.2413,104.896,829645
2014-05-01,104.5596,105.3188,102.7502,104.2686,991663
2014-05-02,104.0504,104.4414,102.8866,103.0866,1297908
2014-05-05,103.5049,104.405,102.9957,103.9504,960433
2014-05-06,103.7867,104.0413,103.3048,103.4685,627573
2014-05-07,103.8322,105.0414,103.2412,104.9323,580904
2014-05-08,105.0869,105.7506,104.3232,104.4595,586056
2014-05-09,104.2232,104.7141,103.614,104.1504,687003
2014-05-12,104.6959,105.5324,104.5064,105.3324,409586
2014-05-13,105.4415,110.4058,105.4415,110.0694,4684100
2014-05-14,109.2511,109.9694,107.0144,107.2417,2843746
2014-05-15,106.9128,107.3103,105.6059,106.3279,1960924
2014-05-16,107.1961,107.4519,104.8657,104.9754,1955849
2014-05-19,104.6464,105.2313,103.9062,104.9114,1116825
2014-05-20,104.8657,105.2769,104.2534,104.6464,1006807
2014-05-21,105.3501,105.7613,104.3631,105.1033,830535
2014-05-22,105.0942,106.2365,104.7104,106.1817,813726
2014-05-23,106.1634,107.6256,106.0172,107.5982,949159
2014-05-27,107.7535,108.247,107.2143,108.2287,804641
2014-05-28,108.4206,109.1517,108.3293,108.7222,866743
2014-05-29,108.7405,110.0473,108.4937,110.0382,928561
2014-05-30,109.7,110.7967,109.4076,110.7327,1061092
2014-06-02,110.6596,111.2627,110.1478,111.1531,1066915
2014-06-03,110.8789,111.9116,110.6413,111.8111,1124065
2014-06-04,111.5917,112.5147,111.3541,112.4416,1043139
2014-06-05,112.798,114.2785,112.4508,114.1231,909655
2014-06-06,114.2328,115.0004,114.2246,114.7628,842575
2014-06-09,114.6166,116.3073,114.2511,115.8412,1022156
2014-06-10,115.4025,116.0605,114.5892,115.2655,1054714
2014-06-11,115.1467,115.3112,114.5252,114.9822,864887
2014-06-12,114.644,115.4208,113.8855,114.4247,789071
2014-06-13,114.4156,115.0004,114.0135,114.7446,796139
2014-06-16,114.5344,114.9639,113.8855,114.2602,920328
2014-06-17,114.3699,114.3699,112.7706,113.4286,936337
2014-06-18,113.6571,113.7028,112.342,113.191,922308
2014-06-19,113.191,113.7119,111.7654,113.5383,715982
2014-06-20,113.3555,114.05,112.9991,113.0448,1145247
2014-06-23,112.6244,113.1819,111.7745,112.3046,493327
2014-06-24,112.2497,112.6975,110.8332,110.9063,568974
2014-06-25,110.4037,111.2627,110.4037,111.1805,439320
2014-06-26,111.2171,111.2171,110.4311,110.8058,416265
2014-06-27,110.5682,110.952,110.2392,110.751,734011
2014-06-30,111.1714,111.1714,110.1387,110.3489,547548
2014-07-01,110.4768,111.0526,109.4624,110.7418,570829
2014-07-02,110.3215,111.1714,109.6818,109.8006,433233
2014-07-03,110.0656,110.687,109.9102,110.2392,352763
2014-07-07,110.1753,110.2118,108.9599,109.0878,591953
2014-07-08,108.9233,109.3436,108.1465,108.3384,570433
2014-07-09,108.841,109.3985,108.247,108.969,520575
2014-07-10,107.854,109.3985,107.7535,108.777,468545
2014-07-11,108.8045,110.0108,108.5029,109.8645,454400
2014-07-14,110.486,110.6505,109.8737,110.2301,443688
2014-07-15,110.2301,111.2445,110.0108,110.4129,567549
2014-07-16,110.6962,111.112,110.2484,110.8972,552703
2014-07-17,110.3032,111.5735,110.2027,110.2209,519767
2014-07-18,110.4768,111.4912,110.3397,111.4547,405174
2014-07-21,111.1074,112.0487,110.7784,111.8842,381727
2014-07-22,112.4325,112.4599,111.7105,112.268,450705
2014-07-23,112.1949,112.3957,111.3176,111.8385,333361
2014-07-24,111.939,111.939,110.8698,111.4821,337688
2014-07-25,111.0434,111.3541,110.2392,110.4403,296098
2014-07-28,110.4585,111.0251,109.4076,110.3763,397549
2014-07-29,110.5225,110.5773,108.9964,109.0055,592666
2014-07-30,109.6361,109.9011,108.3932,109.3345,694698
2014-07-31,100.5249,102.3526,90.774,95.919,5484881
2014-08-01,95.919,99.5836,95.601,98.158,2345957
