date,open,high,low,close,volume
2014-04-28,53.5505,53.6816,51.6447,52.4173,3803245
2014-04-29,52.6327,53.0822,52.2862,53.026,2933522
2014-04-30,53.6441,54.6743,53.3819,54.2529,4419394
2014-05-01,54.1967,54.8522,54.1686,54.8335,3077810
2014-05-02,54.5994,55.5453,54.51,55.3392,3612234
2014-05-05,55.2737,55.2831,54.5713,55.1426,2025806
2014-05-06,55.1426,55.1613,54.2903,54.3184,2755971
2014-05-07,53.6816,54.4308,53.6067,54.4215,3219790
2014-05-08,54.4776,54.9412,53.9532,54.2154,1925564
2014-05-09,54.5151,54.5994,53.8595,54.4776,2412427
2014-05-12,54.8148,55.7607,54.7848,55.461,1546189
2014-05-13,55.4235,55.6202,55.0583,55.1332,1862933
2014-05-14,55.1426,55.2269,54.7211,54.8616,1101558
2014-05-15,54.8148,54.8148,53.7097,54.2529,1504444
2014-05-16,54.2622,54.6556,54.0656,54.6462,1529366
2014-05-19,54.4776,54.9646,54.3184,54.8897,1247434
2014-05-20,54.6837,55.2152,54.6369,55.1519,2163792
2014-05-21,54.8606,55.3681,54.823,55.2177,2394495
2014-05-22,55.1425,55.6688,55.0862,55.2177,2293016
2014-05-23,55.4244,55.7533,55.2694,55.6876,1619223
2014-05-27,55.9789,56.148,55.7674,55.8661,1897846
2014-05-28,55.8567,55.9789,55.6312,55.8567,1708674
2014-05-29,56.0353,57.0596,55.8191,57.022,2784278
2014-05-30,57.2099,58.0087,57.0877,57.9053,3821565
2014-06-02,57.9899,58.1308,57.3697,57.8301,3493216
2014-06-03,57.7925,57.8207,57.4636,57.7831,2427165
2014-06-04,57.6516,58.0369,57.5294,57.9993,1874909
2014-06-05,58.2154,58.6007,57.8583,58.5537,1644613
2014-06-06,58.5631,59.0705,58.5208,59.0611,1525723
2014-06-09,58.798,59.3337,58.7322,59.033,1568605
2014-06-10,58.9578,59.0518,58.6665,58.9202,1972333
2014-06-11,57.9993,58.2389,57.7455,58.0463,2622217
2014-06-12,58.1026,58.1919,57.5294,57.7455,1702921
2014-06-13,57.7925,57.9241,57.3227,57.6798,1340796
2014-06-16,57.6234,58.0697,57.6234,57.9053,1239075
2014-06-17,57.8019,58.7933,57.661,58.6853,1369535
2014-06-18,58.7604,59.4511,58.7322,59.3149,1791153
2014-06-19,58.5537,59.5498,58.5537,59.5498,1411464
2014-06-20,59.6814,60.2311,59.4558,59.7283,4750043
2014-06-23,59.5498,60.0009,59.5122,59.9445,1390162
2014-06-24,59.7189,60.2264,59.3149,59.7471,2818865
2014-06-25,59.7189,59.7941,59.4088,59.6062,2966359
2014-06-26,59.8505,60.2264,59.4746,60.1324,2031743
2014-06-27,60.0385,60.3739,59.8787,60.123,2345518
2014-06-30,60.1606,60.4331,59.9445,60.2358,1135960
2014-07-01,60.4425,60.856,60.311,60.7714,1588369
2014-07-02,60.8936,61.448,60.5741,61.4198,1815556
2014-07-03,61.3259,61.7675,61.2977,61.6078,963399
2014-07-07,61.5514,61.9085,61.4198,61.8991,1488158
2014-07-08,61.5796,61.7394,60.8278,61.0064,2018593
2014-07-09,61.3259,61.5514,61.0252,61.4762,2219283
2014-07-10,60.6587,61.8427,60.6587,61.6172,2627555
2014-07-11,61.3822,61.7111,61.0627,61.1003,2136303
2014-07-14,61.4668,61.8897,61.2037,61.3822,1998847
2014-07-15,61.4198,61.6266,60.762,61.0627,2346592
2014-07-16,61.2131,61.3447,60.7244,60.8184,1857252
2014-07-17,60.6023,60.9406,59.5498,59.5592,3033315
2014-07-18,59.9351,61.0721,59.7659,60.9876,1993224
