date,open,high,low,close,volume
2014-04-28,87.217,87.3898,86.0683,86.6383,7444635
2014-04-29,86.552,87.908,86.2065,87.6662,6630910
2014-04-30,87.7093,87.8907,87.2688,87.5625,4524399
2014-05-01,86.9579,87.2688,86.6594,87.1998,3531410
2014-05-02,87.3293,88.3355,87.2257,87.6057,4934023
2014-05-05,87.5625,87.5625,86.8802,87.3552,3483458
2014-05-06,87.2861,87.4891,87.0616,87.1911,3075103
2014-05-07,87.4589,88.193,87.1911,88.0635,4322592
2014-05-08,88.098,88.2535,87.6057,88.0548,3384503
2014-05-09,87.9684,88.9185,87.9425,88.9013,3649434
2014-05-12,88.9185,89.2467,88.776,88.8408,3817396
2014-05-13,89.2381,89.4972,88.5299,89.4195,3955362
2014-05-14,89.5577,89.6354,88.5644,88.9876,3826313
2014-05-15,88.7717,88.9617,88.2276,88.5299,3810901
2014-05-16,88.573,89.2986,88.4003,89.0826,5080977
2014-05-19,88.7976,88.8149,87.8734,88.1757,3865156
2014-05-20,88.1412,88.478,87.6143,87.6921,3123726
2014-05-21,87.8475,88.599,87.7119,88.5817,2735638
2014-05-22,88.6594,88.9444,88.2967,88.4867,3376045
2014-05-23,88.5471,88.8322,87.8994,88.098,4179128
2014-05-27,88.2707,88.8753,88.1585,88.4089,5093357
2014-05-28,87.9598,88.1326,87.1177,87.4934,8936443
2014-05-29,88.1725,88.3641,87.8243,88.2335,4124605
2014-05-30,88.1551,88.338,87.685,88.3118,4232438
2014-06-02,88.277,89.2434,88.2161,88.8342,3006780
2014-06-03,88.4947,88.8038,88.2944,88.3292,3363473
2014-06-04,88.2509,89.2173,88.1725,89.1912,3595798
2014-06-05,89.1041,89.3305,88.5904,89.1999,2411257
2014-06-06,89.1651,89.3479,88.6122,88.7733,2955593
2014-06-09,88.4511,88.8081,88.0898,88.2683,3802693
2014-06-10,88.4686,88.4686,87.6588,87.833,5961217
2014-06-11,87.7111,87.9026,87.355,87.4325,6606053
2014-06-12,87.4238,87.9491,86.6663,86.8578,5609115
2014-06-13,86.5531,87.5805,86.5531,87.4934,4018653
2014-06-16,87.4325,88.0855,87.2757,88.0245,4038584
2014-06-17,87.8591,88.6688,87.7807,88.1725,6479749
2014-06-18,88.5817,88.6253,87.8591,88.2422,5447375
2014-06-19,87.9723,88.8342,87.9723,88.7298,3376565
2014-06-20,88.9822,89.0693,88.5121,88.7385,5418106
2014-06-23,88.4947,88.7994,88.3815,88.7298,2919197
2014-06-24,88.6688,88.9648,88.2944,88.3467,4589622
2014-06-25,88.0158,88.7211,87.9636,88.4686,3662169
2014-06-26,88.4686,88.7123,87.9984,88.3815,2783202
2014-06-27,88.1551,88.5208,88.068,88.338,2785864
2014-06-30,88.1725,88.3554,87.5021,87.7111,4270525
2014-07-01,87.4412,88.2509,87.2759,87.9374,3787745
2014-07-02,87.9549,88.0071,87.3715,87.5282,3222376
2014-07-03,88.2161,88.2161,87.7111,87.92,2295812
2014-07-07,87.7198,87.7198,86.9101,87.2148,3951704
2014-07-08,86.8839,87.5631,86.8317,87.1451,3115055
2014-07-09,87.328,88.1551,87.2932,87.9984,5604936
2014-07-10,87.2583,87.981,87.2061,87.5718,3274862
2014-07-11,87.6414,87.772,87.0929,87.3889,2812462
2014-07-14,87.6675,87.7024,87.328,87.476,4163000
2014-07-15,87.3454,87.3889,86.9449,87.328,3793351
2014-07-16,86.762,86.8926,85.9872,86.4312,7135370
2014-07-17,86.1613,86.2745,85.6302,85.6476,4104240
2014-07-18,85.8827,86.2745,85.4386,86.1874,4050442
2014-07-21,85.7782,85.874,84.9336,84.9336,6510632
2014-07-22,83.053,84.3242,82.8005,83.8192,12398494
2014-07-23,83.1575,83.4274,82.5567,83.0182,9484381
2014-07-24,83.1314,83.2532,82.9513,83.0182,7781720
2014-07-25,83.0269,83.4535,82.9921,83.3403,4992812
2014-07-28,83.1488,83.558,83.053,83.3926,4863067
2014-07-29,83.4883,83.9498,83.3316,83.4274,6712670
2014-07-30,83.7495,83.8801,83.2115,83.5406,6059213
2014-07-31,82.905,83.0269,82.3303,82.3303,6829388
2014-08-01,82.104,82.4784,82.0169,82.104,4576448
2014-08-04,82.104,82.1475,81.4249,82.1127,7652678
2014-08-05,81.8428,82.104,81.2768,81.3465,5494852
2014-08-06,81.3117,81.7992,81.2855,81.3813,3727958
2014-08-07,81.6861,81.8428,81.1783,81.242,3264614
2014-08-08,81.0331,81.7035,80.9025,81.451,6506196
2014-08-11,81.6077,81.7731,81.3726,81.4336,4291741
2014-08-12,81.3465,81.538,81.1027,81.4597,3235939
2014-08-13,81.6251,82.1214,81.451,81.8079,3595817
2014-08-14,81.538,81.747,81.1993,81.5467,5644922
2014-08-15,81.9037,82.252,81.3291,81.6599,4284507
2014-08-18,81.9734,82.4871,81.7818,82.0604,4398807
2014-08-19,82.3652,82.4958,82.0691,82.2346,3338257
2014-08-20,82.2346,82.4174,81.8428,82.0082,4157886
2014-08-21,82.1127,82.5045,82.0517,82.3042,5981567
2014-08-22,82.3042,82.5915,82.0779,82.2346,3594144
2014-08-25,82.5828,83.0356,82.1997,82.2259,4614287
2014-08-26,82.1823,82.5306,81.8863,81.9385,6394543
2014-08-27,82.043,82.4348,81.4954,82.4087,9027320
2014-08-28,82.2419,83.2166,82.1189,82.6722,5497461
2014-08-29,82.7249,82.7249,82.1189,82.3033,4640333
2014-09-02,81.8818,82.2858,81.3988,81.4954,6736236
2014-09-03,81.9082,82.1014,81.7018,81.794,4865259
2014-09-04,81.6886,81.873,81.4954,81.6798,4849754
2014-09-05,81.7589,81.7764,81.4954,81.7325,4011037
2014-09-08,81.4954,81.513,80.9685,81.232,5260721
2014-09-09,81.3198,81.4076,79.8816,79.9937,9795162
2014-09-10,79.7742,81.7237,79.502,81.671,12031430
2014-09-11,81.6184,81.9257,81.1617,81.6359,5964095
2014-09-12,81.6184,82.4087,81.513,81.9696,8033091
2014-09-15,81.8994,82.4702,81.8906,82.0838,6254980
2014-09-16,81.9082,82.6458,81.8906,82.3297,5827958
2014-09-17,82.2682,82.3999,81.8291,82.1365,5747402
2014-09-18,82.0487,82.4614,81.8994,82.0926,5494150
2014-09-19,82.5053,83.3659,82.3736,82.8654,9043095
2014-09-22,82.6546,82.962,82.3912,82.4878,4875669
2014-09-23,82.2858,82.681,82.0574,82.1189,4708175
2014-09-24,82.2858,83.7084,82.2542,83.4274,7817920
2014-09-25,83.3747,83.6996,82.5975,82.6897,4578539
2014-09-26,82.5931,83.322,82.5668,83.164,3462523
2014-09-29,82.7776,85.4472,82.5317,84.4988,16489076
2014-09-30,84.5076,84.6217,82.8478,83.2606,10036422
2014-10-01,82.8742,83.4977,82.558,82.7161,5339524
2014-10-02,82.5756,83.0761,82.5492,82.6546,4123290
2014-10-03,83.6821,83.6821,82.9936,83.3045,3948919
2014-10-06,82.8654,82.9268,82.277,82.4087,4278576
2014-10-07,82.1189,82.1453,81.4954,81.5042,6095819
2014-10-08,81.7413,82.5009,81.5042,82.3999,5593781
2014-10-09,82.3472,82.5492,81.4164,81.4252,5069103
2014-10-10,81.4603,82.0662,81.0563,81.0563,5846707
2014-10-13,80.907,81.1617,79.6161,79.6776,6182343
2014-10-14,79.7478,80.5645,79.5881,80.0025,5539480
2014-10-15,79.4668,79.8971,78.6589,79.4229,10469312
2014-10-16,78.5008,79.2912,78.4569,78.9575,7526459
2014-10-17,79.3966,80.0376,78.7203,79.9498,7074463
2014-10-20,79.8796,80.4328,79.6576,80.4328,5408134
2014-10-21,78.9926,80.3099,78.773,79.9235,11422211
2014-10-22,79.6512,80.3626,79.5634,79.862,6455551
2014-10-23,80.6524,80.8806,79.8093,79.9322,5966894
2014-10-24,79.6512,80.6084,79.5195,80.5031,5263046
2014-10-27,80.3713,80.8719,80.3538,80.8016,4078298
2014-10-28,81.2144,81.3198,80.5162,81.3198,5083262
2014-10-29,81.3637,81.7764,80.7929,81.4339,5300445
2014-10-30,81.2934,82.0135,81.2233,82.0048,3965528
2014-10-31,82.4614,82.558,81.5218,82.3121,6800889
2014-11-03,82.356,82.356,81.6886,82.2067,4069904
2014-11-04,82.4878,83.1025,82.3472,82.962,5802179
2014-11-05,83.4274,83.4889,82.8917,83.1113,4123841
2014-11-06,83.1991,83.3659,82.9181,83.1288,3597279
2014-11-07,82.9005,83.5152,82.6019,83.5152,4674632
2014-11-10,83.9192,84.0334,83.4098,83.524,5123874
2014-11-11,83.6206,83.7962,83.3651,83.5504,3429027
2014-11-12,83.3659,83.7611,83.2781,83.7172,2725702
2014-11-13,83.8665,84.4988,83.5855,83.8489,4099804
2014-11-14,83.7611,85.3419,83.6645,84.49,7793438
2014-11-17,84.3583,84.3758,83.9543,84.2793,3596519
2014-11-18,84.3407,85.1399,83.7523,84.6656,6268097
2014-11-19,84.9554,85.4472,84.6832,84.7974,6631311
2014-11-20,84.7798,85.4472,84.7447,84.8676,4551916
2014-11-21,85.5965,85.6229,84.6744,84.9028,5483712
2014-11-24,85.0345,85.5526,84.771,85.3331,5222895
2014-11-25,85.3594,85.4824,85.0521,85.1838,5368952
2014-11-26,85.3698,85.3921,84.9801,85.2458,3667981
2014-11-28,85.0332,86.2912,85.0243,85.7685,3442853
2014-12-01,85.1838,85.8837,84.732,84.856,5273749
2014-12-02,84.351,85.9368,83.9523,84.2624,10389676
2014-12-03,83.9878,84.6655,83.97,84.6079,5324034
2014-12-04,84.5105,85.042,84.289,84.7497,5365429
2014-12-05,84.856,85.5913,84.7408,85.3255,6209305
2014-12-08,82.7563,86.3798,81.7109,82.0475,11792656
2014-12-09,80.8869,81.5071,80.63,80.9401,10066782
2014-12-10,80.6566,80.878,79.3011,79.7352,12020817
2014-12-11,79.8149,80.7541,79.7529,80.5946,8972720
2014-12-12,80.3199,80.9658,80.1162,80.2845,8696756
2014-12-15,80.5857,80.7098,78.1848,78.3709,10121636
2014-12-16,78.0253,80.3997,77.6267,78.6012,15106676
2014-12-17,78.7873,81.5514,78.4063,81.197,14009957
2014-12-18,81.7552,83.0487,81.197,82.9866,11277129
2014-12-19,82.8449,83.5625,82.3488,82.588,10284328
2014-12-22,82.6411,83.2923,82.4196,83.1816,5342248
2014-12-23,83.5979,84.0055,83.2879,83.4739,3596392
2014-12-24,83.4739,83.7574,83.0487,83.1284,1736839
2014-12-26,83.3676,84.1029,83.2347,83.97,3884255
2014-12-29,83.5625,84.5725,83.5138,84.2004,4183224
2014-12-30,84.0321,84.165,83.341,83.5005,3257735
2014-12-31,83.0575,83.9878,82.898,83.0132,4589312
2015-01-02,83.3942,84.165,82.4374,82.6234,6019693
2015-01-05,82.6588,82.9955,81.702,81.7109,6211872
2015-01-06,82.1007,83.1107,81.4008,81.8615,6484094
