date,open,high,low,close,volume
2014-04-28,27.8119,27.8301,26.8469,27.3021,15303309
2014-04-29,27.4478,27.8301,27.3567,27.7846,10419650
2014-04-30,27.7937,28.2125,27.6298,28.1578,11016521
2014-05-01,28.1396,28.4947,28.1032,28.4219,10110191
2014-05-02,28.4947,28.6221,27.8574,27.9394,11465383
2014-05-05,27.5388,27.5843,27.0563,27.3749,12035090
2014-05-06,27.2475,27.2748,26.6557,26.8196,16285597
2014-05-07,26.947,27.0927,26.419,27.0381,12460769
2014-05-08,27.0654,27.5115,26.9106,27.029,13039248
2014-05-09,26.856,27.0654,26.7012,27.0199,10064732
2014-05-12,27.1746,27.7209,27.0927,27.6116,10196546
2014-05-13,27.5752,27.78,27.4842,27.6116,7962736
2014-05-14,27.6571,27.7027,27.293,27.5388,10047803
2014-05-15,27.3294,27.4204,26.6375,27.1018,20240122
2014-05-16,27.0381,27.4559,26.9835,27.4386,18005349
2014-05-19,27.2384,27.6617,27.202,27.4569,7022432
2014-05-20,27.4022,27.4022,26.8651,27.0472,9958066
2014-05-21,27.1837,27.4113,27.1746,27.3203,6654834
2014-05-22,27.3112,27.7209,27.2293,27.6662,8235487
2014-05-23,27.6753,27.78,27.6298,27.7573,5140011
2014-05-27,27.8938,28.4856,27.8847,28.3308,10959974
2014-05-28,28.3945,28.431,28.1305,28.1578,6124364
2014-05-29,28.2398,28.3945,28.0395,28.3399,8616278
2014-05-30,28.1669,28.258,27.9394,28.0941,7646374
2014-06-02,28.0941,28.1442,27.7846,28.1305,7509356
2014-06-03,27.9576,28.0941,27.6754,28.085,10079512
2014-06-04,28.0304,28.4219,27.9303,28.4036,8074671
2014-06-05,28.4674,28.8224,28.1943,28.7951,8769365
2014-06-06,28.8497,29.1228,28.7842,29.0864,6544239
2014-06-09,29.0864,29.3686,29.0045,29.1137,9027794
2014-06-10,29.05,29.3049,28.9089,29.2048,7113217
2014-06-11,29.0409,29.0409,28.7177,28.8497,5854239
2014-06-12,28.7314,29.0864,28.6312,28.8861,7086735
2014-06-13,28.9408,29.0318,28.654,28.7587,8022255
2014-06-16,28.6585,28.959,28.5857,28.8679,8527452
2014-06-17,28.8042,29.6873,28.7769,29.5871,13256291
2014-06-18,29.5052,29.8056,29.2048,29.7328,10725245
2014-06-19,29.842,29.8784,29.4005,29.6235,6933717
2014-06-20,29.7055,29.7055,29.3504,29.3959,12071866
2014-06-23,29.5234,29.6873,29.2685,29.6053,6929933
2014-06-24,29.4961,29.6782,29.0455,29.1593,7776622
2014-06-25,29.05,29.4233,29.0045,29.3413,7671758
2014-06-26,29.05,29.1228,28.7132,29.0318,10559861
2014-06-27,28.9043,29.1046,28.7041,28.7223,9933909
2014-06-30,28.7587,29.4779,28.7587,29.4324,11757508
2014-07-01,29.5052,29.6691,29.3322,29.4233,7787590
2014-07-02,29.4233,29.7511,29.4051,29.578,6190608
2014-07-03,29.7965,30.106,29.6964,29.6964,5994198
2014-07-07,29.5962,29.6418,29.223,29.487,5635286
2014-07-08,29.3049,29.3504,28.6494,28.9043,9205621
2014-07-09,29.0682,29.1775,28.786,29.141,6292072
2014-07-10,28.4492,28.8907,28.4036,28.8406,7784865
2014-07-11,28.7587,28.8497,28.522,28.5948,10112168
2014-07-14,29.2321,29.2776,28.8952,28.959,11323129
2014-07-15,29.3049,29.3777,28.8816,29.1319,13818568
2014-07-16,29.3777,29.6873,29.2548,29.5871,16389289
2014-07-17,29.5416,29.842,29.3413,29.7146,9100892
2014-07-18,29.5416,29.842,29.3413,29.7146,9239453
2014-07-21,29.6326,29.7692,29.4688,29.6326,7125416
2014-07-22,29.6873,30.1516,29.6873,29.9604,8851583
2014-07-23,29.9968,30.452,29.8693,30.3609,9363201
