date,open,high,low,close,volume
2014-04-28,56.809,57.1783,56.0524,56.4217,2031635
2014-04-29,56.746,57.3494,56.4847,57.1333,1152702
2014-04-30,57.1333,57.4485,56.8,57.2684,1574545
2014-05-01,54.2059,56.5118,53.9717,56.4307,4819144
2014-05-02,56.3316,59.3401,56.1785,59.0068,5733939
2014-05-05,58.6015,60.7002,58.5654,59.5832,7600336
2014-05-06,59.259,60.2768,59.0788,59.8084,5453139
2014-05-07,59.6823,60.5831,59.5562,60.475,2506596
2014-05-08,60.2858,61.1415,60.1957,60.6911,1968851
2014-05-09,60.6731,60.9524,60.1867,60.5831,1928566
2014-05-12,60.6821,61.3397,60.6821,61.0695,1274440
2014-05-13,61.0064,61.5468,60.8082,61.0244,1453789
2014-05-14,60.9163,61.1956,60.493,60.529,1159294
2014-05-15,60.6461,60.7542,59.6283,59.7544,1859252
2014-05-16,59.8264,59.8985,59.304,59.7184,4270672
2014-05-19,59.6643,60.4119,59.5202,60.2408,1604575
2014-05-20,60.2498,60.3399,59.5832,59.9165,3607900
2014-05-21,60.1507,60.511,60.0696,60.2498,944159
2014-05-22,59.7003,60.3038,59.4842,60.0156,1613814
2014-05-23,60.0606,60.511,59.9075,60.3489,2423596
2014-05-27,60.52,60.6056,60.3309,60.3669,1699661
2014-05-28,60.457,60.511,60.2678,60.2858,1766501
2014-05-29,60.3939,60.4389,60.2588,60.2678,1259035
2014-05-30,60.4029,61.0514,60.2318,60.7272,3006342
2014-06-02,60.6911,61.0244,60.538,60.7092,1296416
2014-06-03,60.2948,60.7722,60.1867,60.2228,1481853
2014-06-04,60.0156,60.5695,59.9976,60.556,1232721
2014-06-05,60.556,60.9884,60.4299,60.502,1651814
2014-06-06,60.6281,61.0064,60.565,60.9434,1282430
2014-06-09,60.8263,61.2226,60.8263,60.9524,1130349
2014-06-10,61.0154,61.2136,60.7992,60.9794,1304987
2014-06-11,60.9341,61.0789,60.4907,60.5631,1017778
2014-06-12,60.4817,60.6536,59.984,60.1378,1309960
2014-06-13,60.355,60.7079,60.2917,60.4274,695383
2014-06-16,60.3641,60.7441,60.3188,60.3731,961983
2014-06-17,60.2736,60.545,60.2013,60.3007,712739
