date,open,high,low,close,volume
2014-04-28,12.2847,12.4251,12.2093,12.3703,2645900
2014-04-29,12.3703,12.4628,12.3395,12.432,2466031
2014-04-30,12.3737,12.4936,12.2161,12.4422,2632891
2014-05-01,12.4765,12.7317,12.4525,12.682,2437167
2014-05-02,12.6135,12.6341,12.3395,12.4148,1977242
2014-05-05,12.4011,12.6341,12.4011,12.593,1899999
2014-05-06,12.5621,12.611,12.5039,12.5279,1624673
2014-05-07,12.5279,12.7163,12.5176,12.6992,1734910
2014-05-08,12.6889,12.7369,12.5176,12.5176,1372337
2014-05-09,12.5005,12.5313,12.2881,12.3121,1785523
2014-05-12,12.3429,12.3668,12.2504,12.3292,1720592
2014-05-13,12.3772,12.3977,12.2573,12.2847,1960866
2014-05-14,12.2915,12.5484,12.2915,12.4148,2101846
2014-05-15,12.4285,12.5005,12.3635,12.3977,1421700
2014-05-16,12.4183,12.5039,12.3703,12.4971,1942874
2014-05-19,12.5005,12.7865,12.4834,12.6204,4392209
2014-05-20,12.6135,12.7471,12.4679,12.569,2602979
2014-05-21,12.5895,12.6307,12.5022,12.6033,2442819
2014-05-22,12.593,12.7917,12.593,12.7403,1415186
2014-05-23,12.7232,12.8225,12.6718,12.8122,1686092
2014-05-27,12.891,12.9047,12.7163,12.7266,1810572
2014-05-28,12.7403,12.8431,12.7026,12.7574,1959452
2014-05-29,12.7506,12.7848,12.6649,12.7266,1490203
2014-05-30,12.7266,12.8156,12.6718,12.8019,2002708
2014-06-02,12.8054,12.9253,12.7643,12.9081,1620179
2014-06-03,12.8568,12.9287,12.8156,12.8739,1222843
2014-06-04,12.8362,12.9681,12.8037,12.963,1489784
2014-06-05,12.9664,13.0726,12.9321,12.9835,1654309
2014-06-06,13.0315,13.0349,12.9167,12.9321,1097563
2014-06-09,12.9081,12.9828,12.8225,12.8396,869287
2014-06-10,12.8019,12.8396,12.6957,12.7026,1520791
2014-06-11,12.6923,12.706,12.545,12.5656,1771319
2014-06-12,12.5758,12.6855,12.3946,12.6718,1997896
2014-06-13,12.6615,12.7471,12.5895,12.7403,1442435
2014-06-16,12.7369,12.9835,12.7095,12.8636,1701323
2014-06-17,12.8259,12.915,12.7574,12.8842,2181271
2014-06-18,12.8842,13.124,12.8705,13.1171,1661085
2014-06-19,13.1205,13.3192,13.0966,13.2952,2551047
2014-06-20,13.2884,13.3535,13.1856,13.1959,2548897
2014-06-23,13.2404,13.2952,13.1223,13.2096,1073724
2014-06-24,13.1788,13.3158,13.1685,13.213,1420930
2014-06-25,13.1754,13.5967,13.1685,13.5145,4257888
2014-06-26,13.4837,13.5453,13.3809,13.4939,3287477
2014-06-27,13.4597,13.5727,13.4152,13.4391,2448107
2014-06-30,13.4083,13.5248,13.3501,13.4768,2513349
2014-07-01,13.5076,13.5419,13.3706,13.4152,2026586
2014-07-02,13.3946,13.4186,13.1856,13.2233,2062413
