date,open,high,low,close,volume
2014-04-28,44.1935,44.2281,43.467,43.8735,1722261
2014-04-29,44.133,44.7124,43.9341,44.6778,1906702
2014-04-30,44.5135,44.8336,44.4184,44.7557,1321751
2014-05-01,44.6692,45.1059,44.4443,44.8767,1183659
2014-05-02,44.9719,45.6897,44.8594,45.2746,1304867
2014-05-05,45.0929,45.1621,44.453,44.7297,1210841
2014-05-06,44.773,44.8854,44.4184,44.453,757096
2014-05-07,44.5394,45.4043,44.5394,45.3697,1606555
2014-05-08,45.3092,45.7416,44.8075,44.9978,1025573
2014-05-09,44.8681,44.9978,44.4616,44.6778,1044605
2014-05-12,45.0929,46.001,45.0583,45.9751,1430937
2014-05-13,45.9318,46.027,45.4129,45.5081,1226388
2014-05-14,45.6464,46.1567,45.56,45.7935,1379424
2014-05-15,45.7502,45.7762,44.7124,45.1189,1152244
2014-05-16,45.0497,45.2919,44.5481,45.0929,1165642
2014-05-19,45.0065,45.387,44.9892,45.3438,1167439
2014-05-20,45.0411,45.3005,44.1763,44.3665,1309783
2014-05-21,44.5394,44.8075,44.0465,44.4184,1952567
2014-05-22,44.5394,44.6,43.9859,44.0551,1782178
2014-05-23,44.1589,44.5567,43.9859,44.5135,999600
2014-05-27,44.5913,44.9978,44.4789,44.894,851989
2014-05-28,44.9113,45.0583,44.2973,44.3405,1008444
2014-05-29,44.427,44.773,44.0949,44.7124,1189108
2014-05-30,44.3319,44.4097,43.6227,43.787,1892035
2014-06-02,43.8822,43.8995,43.4238,43.5795,1558557
2014-06-03,43.3546,43.5751,43.1125,43.5708,1491680
2014-06-04,43.3978,43.8908,43.3287,43.4151,1877153
2014-06-05,43.5968,44.3232,43.4151,44.0811,1443605
2014-06-06,44.1243,44.5221,43.8476,44.3059,1554575
2014-06-09,44.3146,44.4703,43.7784,43.9254,1585044
2014-06-10,43.8476,44.0551,43.6487,43.8389,925710
2014-06-11,43.7611,44.0032,43.6054,43.9254,1132973
2014-06-12,43.8043,43.8303,43.346,43.5016,1123954
2014-06-13,43.5881,44.0638,43.493,43.9686,1301575
2014-06-16,43.9773,44.1589,43.493,43.5795,1282756
2014-06-17,43.5016,44.4616,43.3027,44.2627,1460852
2014-06-18,44.4962,44.9632,44.3146,44.9373,1509785
2014-06-19,44.9113,45.1621,44.5827,44.6951,1105102
2014-06-20,43.6487,44.2324,43.3806,43.6919,3455048
2014-06-23,43.6054,43.6141,42.8876,43.3806,2708574
2014-06-24,43.3719,43.5622,43.0779,43.147,2177708
2014-06-25,43.147,43.5708,43.0,43.5103,1774484
2014-06-26,43.5887,43.7542,43.2576,43.4318,1574613
2014-06-27,43.2489,43.4144,42.6739,42.7697,2503504
2014-06-30,42.6913,42.9875,42.4473,42.9091,1875812
2014-07-01,43.0659,43.2924,42.8133,42.822,1461299
2014-07-02,42.8917,43.3235,42.8655,43.2663,1382604
2014-07-03,43.336,44.216,43.3186,44.0243,1747993
2014-07-07,43.6845,43.7716,43.1923,43.2837,2319912
2014-07-08,43.4841,43.5625,42.9701,43.4231,1367768
2014-07-09,43.5016,43.972,43.4666,43.7368,1932193
2014-07-10,43.4318,43.6497,43.1966,43.2837,1317495
2014-07-11,42.9178,43.3186,42.8568,43.0572,1809940
2014-07-14,43.3012,43.3447,42.7174,42.8917,1519796
2014-07-15,43.0311,43.3273,42.8481,43.214,1679572
2014-07-16,43.5538,44.1376,43.5277,43.9982,2021163
2014-07-17,43.6409,43.9546,43.3099,43.3883,1516347
2014-07-18,43.4928,43.9894,43.4406,43.7978,1974999
2014-07-21,43.7281,44.1201,43.4928,43.9546,1535983
2014-07-22,44.1289,44.3292,44.0504,44.1637,1329446
2014-07-23,44.1986,44.4774,43.9198,44.4338,2708758
2014-07-24,45.1569,46.124,44.3554,44.5296,1858186
2014-07-25,44.5209,44.7387,44.3031,44.7213,1341872
2014-07-28,44.6255,44.9653,44.3989,44.6429,1208424
2014-07-29,44.791,44.9653,44.4338,44.4512,1128324
2014-07-30,45.0088,45.1395,44.5558,44.6429,1870195
2014-07-31,44.2595,44.656,43.6932,43.7542,1650173
2014-08-01,43.5974,43.7978,43.1705,43.7281,1202628
2014-08-04,43.5974,43.7978,43.1705,43.7281,1202628
2014-08-05,43.4841,44.0592,43.3012,43.5364,1142974
2014-08-06,43.3796,44.2857,43.3796,44.1114,1397817
2014-08-07,44.2073,44.3205,43.458,43.6409,1242815
2014-08-08,43.6235,44.5122,43.5713,44.4948,956338
2014-08-11,44.6952,44.8607,44.3815,44.4076,1180996
2014-08-12,44.3902,44.5471,44.1429,44.4686,926617
2014-08-13,44.6168,45.7581,44.5819,45.732,2239379
2014-08-14,45.8452,45.8844,45.2963,45.4706,1730964
2014-08-15,45.7668,45.8714,45.2528,45.305,1395661
2014-08-18,45.6013,46.7513,45.5751,46.7426,2672492
2014-08-19,46.882,47.2915,46.7252,47.0475,2076487
2014-08-20,46.9604,47.3873,46.8297,47.1085,1181275
2014-08-21,47.004,47.065,46.6903,46.8297,1205162
2014-08-22,46.6903,46.9778,46.5858,46.8297,1174283
2014-08-25,47.0998,47.3089,46.882,47.0737,940406
2014-08-26,47.1957,47.5703,47.1434,47.3612,1066525
2014-08-27,47.3612,47.5703,47.0824,47.3176,904710
2014-08-28,46.9081,47.0563,46.6468,47.0127,841683
2014-08-29,47.1782,47.3786,46.9691,47.3263,849021
2014-09-02,47.3263,47.4396,46.9691,46.9778,1482907
2014-09-03,47.4919,48.1453,47.4919,47.9362,1811696
2014-09-04,47.9188,48.8685,47.8927,48.6071,2393661
2014-09-05,48.52,48.851,48.337,48.8249,1240250
2014-09-08,48.79,48.8336,48.0408,48.2934,1598747
2014-09-09,48.2499,48.4415,47.9101,48.093,1309369
2014-09-10,48.0843,48.1279,47.5442,47.7881,1166403
2014-09-11,47.64,48.0669,47.6051,48.0669,979441
2014-09-12,47.9275,48.0669,47.6709,47.8839,1659097
2014-09-15,48.5722,49.291,48.1366,48.2237,2552036
2014-09-16,47.9798,48.6855,47.8491,48.459,1822339
2014-09-17,50.4454,51.1947,49.8791,50.367,6163074
2014-09-18,50.7939,50.8288,50.13,50.611,2814339
2014-09-19,50.7852,50.8026,50.0969,50.2189,2781719
2014-09-22,49.8704,50.1492,49.3999,49.6264,2311008
2014-09-23,49.6264,49.8704,49.3128,49.3999,1620588
2014-09-24,49.548,49.5655,48.6245,48.9382,3385548
2014-09-25,48.7378,48.79,47.762,48.1366,2629441
2014-09-26,48.4611,48.4962,47.9173,48.4436,1619295
2014-09-29,48.0577,48.2682,47.777,47.8559,1677666
2014-09-30,47.8472,48.1629,47.2244,47.6103,1782386
2014-10-01,47.6103,47.6191,46.1105,46.3385,2366284
2014-10-02,46.356,46.4525,45.207,45.9438,2382667
2014-10-03,45.9087,46.3648,45.4526,45.5929,2003521
2014-10-06,45.8824,46.0315,44.9088,45.1281,2626554
2014-10-07,44.8649,45.3298,44.3123,44.3211,2625475
2014-10-08,44.3474,45.0842,43.6764,45.0404,2863606
2014-10-09,45.0053,45.0053,43.4791,43.5317,2197641
2014-10-10,43.3212,43.8299,42.7072,42.7248,2613485
2014-10-13,43.0405,43.6282,42.2423,42.295,3237677
2014-10-14,42.7335,43.6194,42.4967,42.9879,2461242
2014-10-15,42.295,43.2598,41.4611,43.0405,3135755
2014-10-16,42.023,43.8738,42.023,43.4615,2140619
2014-10-17,43.8299,44.4615,43.5668,43.7773,2673261
2014-10-20,43.6633,44.365,43.5843,44.2773,1284204
2014-10-21,44.8035,45.5842,44.6632,45.3386,2650536
2014-10-22,45.4351,46.1192,45.2158,45.3561,2906695
2014-10-23,45.4965,45.4965,44.0755,44.8386,3566289
2014-10-24,45.5052,46.3648,45.1018,46.3034,3330229
2014-10-27,45.8824,46.2068,45.4789,45.7859,3017661
2014-10-28,46.128,46.9525,45.8649,46.856,2009668
2014-10-29,47.3735,47.5226,45.7859,46.2596,5090937
2014-10-30,46.5315,47.0841,46.4464,46.7244,1572231
2014-10-31,46.9613,47.4437,46.1806,47.4174,3121722
2014-11-03,47.2332,47.3647,46.3736,46.7946,1976229
2014-11-04,46.6192,46.7508,45.6105,46.3736,1958690
2014-11-05,46.5402,46.742,45.9701,46.5402,1219359
2014-11-06,46.6016,47.049,46.3648,46.9086,1355487
2014-11-07,46.97,47.7331,46.97,47.5226,1518064
2014-11-10,47.5139,47.9173,46.8385,46.8911,1964047
2014-11-11,46.7157,46.9262,46.5402,46.7771,1358583
2014-11-12,46.5315,47.0841,46.4464,46.7244,1572231
2014-11-13,46.7946,47.277,46.5666,46.8034,1465995
2014-11-14,46.7332,47.3735,46.5666,47.2858,1584360
2014-11-17,47.2332,47.698,46.9963,47.4875,1415956
2014-11-18,47.3209,47.777,47.3209,47.6805,1127311
2014-11-19,47.4612,47.5402,46.628,47.0928,1733390
2014-11-20,46.6367,47.6805,46.5315,47.5665,1213175
2014-11-21,48.3647,48.5138,47.3297,47.7156,2522321
2014-11-24,47.8208,48.1015,47.2683,47.2858,1871125
2014-11-25,47.4612,48.1454,47.3823,47.9349,1312562
2014-11-26,48.0489,48.1191,47.5226,47.5665,1245058
2014-11-28,47.663,47.8033,46.7683,47.0402,934253
2014-12-01,47.0841,47.0841,46.4008,46.7332,1544961
2014-12-02,46.8472,47.1805,46.4876,46.6104,1437522
2014-12-03,46.8297,48.2594,46.8122,48.2156,1828024
2014-12-04,48.2419,48.4962,47.9524,48.3559,1460811
2014-12-05,48.2594,48.3822,47.6191,47.7594,1944255
2014-12-08,47.5753,47.9524,47.2595,47.3823,1445663
2014-12-09,46.9437,48.0226,46.8823,47.9086,1283419
2014-12-10,47.5139,47.584,46.5139,46.7157,1618071
2014-12-11,46.7069,47.1805,46.3648,46.4613,1421672
2014-12-12,46.1105,46.2946,45.4877,45.5052,1564103
2014-12-15,45.628,45.8561,44.8299,44.8649,2052494
2014-12-16,43.9703,44.9351,42.6195,42.7949,4588181
2014-12-17,43.0756,43.5229,42.3388,43.4089,3569276
2014-12-18,44.058,44.1545,42.9791,43.3124,3746339
2014-12-19,43.4703,43.8562,42.8563,43.33,3866401
2014-12-22,43.33,43.6896,42.8914,42.9265,2866114
2014-12-23,43.33,43.9615,43.1107,43.4615,1602640
2014-12-24,43.6984,43.751,43.1984,43.2686,687281
2014-12-26,43.637,43.637,42.9791,43.0405,1095937
2014-12-29,43.1753,43.7409,43.0604,43.5023,1245698
2014-12-30,43.4404,44.0414,43.4404,43.7586,1326717
2014-12-31,43.6614,44.0238,43.3255,43.3521,1141345
2015-01-02,43.5111,43.6879,42.866,43.3167,1359768
2015-01-05,42.8748,42.9101,41.5168,41.6639,2794876
2015-01-06,41.717,41.7612,40.4973,41.0629,3926898
2015-01-07,41.4783,41.77,41.2751,41.443,1906103
2015-01-08,41.6286,42.5301,41.2928,42.4505,2660434
2015-01-09,42.4505,42.5213,41.823,42.2296,1527073
2015-01-12,41.9821,41.9821,40.3647,40.6564,3323463
2015-01-13,40.5503,41.0762,40.0023,40.3559,2126850
2015-01-14,39.7283,39.7283,38.5528,39.2511,3225975
2015-01-15,39.6311,39.967,39.0124,39.0743,2190212
2015-01-16,39.1362,39.3836,38.7208,39.2599,2555669
2015-01-20,39.1362,39.3836,38.6677,38.9682,2443960
2015-01-21,38.8092,39.2599,38.6973,38.8975,2637320
2015-01-22,39.1273,39.7725,38.7826,39.64,2495703
2015-01-23,39.9581,39.967,38.7031,38.7119,2614017
2015-01-26,38.6943,39.5074,38.4998,39.1804,2584531
2015-01-27,38.9682,40.073,38.0579,39.6134,4369578
2015-01-28,39.8698,39.9758,38.8887,38.9241,3137243
2015-01-29,38.8003,38.8578,37.943,38.6501,3108767
2015-01-30,38.2523,39.1097,38.164,38.5794,5037846
