date,open,high,low,close,volume
2014-04-28,26.797,26.9429,26.5404,26.8412,1892559
2014-04-29,26.8589,26.8996,26.6245,26.6643,1935398
2014-04-30,26.62,26.9208,26.5404,26.6377,3049605
2014-05-01,26.5758,27.0005,26.5404,26.5758,3735800
2014-05-02,26.4343,26.4343,25.5319,25.5496,4849779
2014-05-05,25.4788,25.5761,25.1338,25.47,3682398
2014-05-06,25.3284,25.4346,25.0099,25.2046,2949318
2014-05-07,25.2311,25.9875,25.2046,25.9654,3891528
2014-05-08,25.8061,26.0715,25.5938,25.6469,2197504
2014-05-09,25.6292,25.8946,25.523,25.8858,1724304
2014-05-12,26.0008,26.3192,25.8769,26.1069,1989986
2014-05-13,26.0981,26.3016,26.0715,26.2662,2044394
2014-05-14,26.2308,26.3016,26.0892,26.1158,1208719
2014-05-15,26.0981,26.1246,25.6027,25.8769,2299458
2014-05-16,25.8858,26.0981,25.8327,25.9123,1497158
2014-05-19,25.8061,25.9876,25.8061,25.8238,1137685
2014-05-20,25.7796,25.8769,25.5761,25.7265,1646068
2014-05-21,25.8327,25.9388,25.7177,25.815,862451
2014-05-22,25.7707,26.0804,25.7442,25.7707,1403414
2014-05-23,25.7265,26.1335,25.7265,26.1246,1032371
2014-05-27,26.1865,26.4564,25.9742,25.9919,1683273
2014-05-28,26.0631,26.1521,25.854,25.9919,1785780
2014-05-29,26.0097,26.25,25.9296,26.1432,1494788
2014-05-30,26.0631,26.1165,25.8495,26.0542,2300216
2014-06-02,26.1076,26.1877,25.9296,26.0364,1640174
2014-06-03,25.9118,25.9652,25.7072,25.7961,1930684
2014-06-04,26.2678,27.1042,26.2678,26.9351,4228845
2014-06-05,26.9885,27.0686,26.7127,27.0063,1641600
2014-06-06,27.0953,27.8339,27.0686,27.6025,3579822
2014-06-09,27.5936,27.8606,27.4334,27.7716,2488355
2014-06-10,27.7093,27.9762,27.6381,27.8961,2518461
2014-06-11,27.7627,27.8606,27.6737,27.7271,2102418
2014-06-12,27.6114,27.6648,27.2199,27.3356,2046730
2014-06-13,27.3889,27.469,27.1932,27.2199,1539298
2014-06-16,27.1487,27.3089,27.0953,27.2021,1602462
2014-06-17,27.2288,27.4156,27.1042,27.4067,1640515
2014-06-18,27.4334,27.8339,27.3711,27.8161,1861051
2014-06-19,27.7983,27.9762,27.7716,27.9584,1391575
2014-06-20,27.9851,28.1097,27.8606,27.9495,1788085
2014-06-23,27.9495,28.1275,27.7894,27.7983,1655053
2014-06-24,27.7805,27.9317,27.4067,27.5491,1844054
2014-06-25,27.5313,27.6915,27.469,27.5669,1287871
2014-06-26,27.4779,27.5402,27.2555,27.4957,1145909
2014-06-27,27.3978,27.736,27.3978,27.5046,1991754
2014-06-30,27.3533,27.5847,27.3267,27.5758,1627114
2014-07-01,27.6114,28.1542,27.5491,27.9406,1370244
2014-07-02,27.7894,28.0474,27.6203,27.647,1283356
2014-07-03,27.6915,28.1231,27.6915,28.0741,861261
2014-07-07,28.0919,28.43,28.0163,28.1453,2208686
2014-07-08,27.9851,28.2343,27.7716,28.2076,2362957
2014-07-09,28.35,28.7504,28.2877,28.6792,2516289
2014-07-10,28.3322,28.5635,28.172,28.35,2433515
2014-07-11,28.35,28.4389,28.1942,28.261,1649048
2014-07-14,28.3767,28.5101,28.1809,28.2343,1272594
2014-07-15,28.3055,28.3411,28.0118,28.083,2330974
2014-07-16,28.261,28.261,27.7182,27.7449,2369798
2014-07-17,27.7004,28.0118,27.6648,27.6737,1346287
2014-07-18,27.7983,27.9317,27.7449,27.8961,907718
2014-07-21,27.8072,28.0741,27.6648,27.7182,1215846
2014-07-22,27.825,28.0563,27.7182,28.0118,1091761
2014-07-23,27.9228,28.172,27.8072,27.9584,1829670
2014-07-24,28.0474,28.2877,28.0029,28.2521,1395066
2014-07-25,28.1631,28.2343,27.8428,27.8695,1402933
2014-07-28,27.8428,27.9139,27.6025,27.825,1936130
2014-07-29,27.8339,27.994,27.4512,27.4512,2385508
2014-07-30,27.558,28.1809,27.5313,28.1275,2978376
2014-07-31,28.5724,29.5156,28.4033,28.9017,4806119
2014-08-01,28.8661,29.6135,28.7771,29.5334,3088414
2014-08-04,28.8661,29.6135,28.7771,29.5334,3088414
2014-08-05,29.4978,29.569,29.1152,29.2487,2138200
2014-08-06,29.1775,29.3774,29.0262,29.1775,2730801
2014-08-07,29.2131,29.3599,29.0707,29.2754,2325964
