date,open,high,low,close,volume
2014-04-28,34.8026,34.8196,34.2084,34.7517,3318507
2014-04-29,34.7602,35.0063,34.5013,34.7092,2194201
2014-04-30,34.6159,34.6668,34.2593,34.4885,2455411
2014-05-01,34.4885,34.7686,34.2593,34.7517,1833804
2014-05-02,34.6498,35.0403,34.4885,34.6243,2403710
2014-05-05,34.4631,35.0403,34.3357,34.9639,2026272
2014-05-06,34.5395,34.8026,34.3272,34.4885,2887598
2014-05-07,34.6923,35.0233,34.4546,34.9893,2659791
2014-05-08,34.9978,35.3119,34.9554,35.1252,3137192
2014-05-09,35.1506,35.3586,34.7856,34.9724,2758716
2014-05-12,35.0742,35.2016,34.879,35.1506,2070742
2014-05-13,35.1761,35.4732,34.9809,35.1082,1825523
2014-05-14,35.0827,35.244,34.8281,35.0318,1812816
2014-05-15,34.9639,35.1252,34.3782,34.7941,2402805
2014-05-16,34.7517,35.1931,34.6328,35.1846,2380250
2014-05-19,35.0827,35.0827,34.7517,34.9045,3133877
2014-05-20,34.896,34.9809,34.6159,34.6498,2326605
2014-05-21,34.7347,34.8705,34.4461,34.4631,1549123
2014-05-22,34.5055,34.5989,34.3103,34.3782,2382812
2014-05-23,34.4885,34.845,34.4291,34.8196,1477455
2014-05-27,34.9469,35.3628,34.8705,35.1931,1862392
2014-05-28,35.1167,35.1421,34.7347,34.8366,2385010
2014-05-29,34.9724,35.0997,34.7602,35.0912,2223543
2014-05-30,35.0573,35.3289,34.9639,35.2355,2842971
2014-06-02,35.2949,35.4392,35.1421,35.2355,1611150
2014-06-03,35.1846,35.1846,34.6923,34.845,2103624
2014-06-04,34.8366,35.244,34.7092,35.1252,1660662
2014-06-05,35.1676,36.1353,35.0488,36.1013,2990992
2014-06-06,36.1947,36.2117,35.7278,35.8127,2247386
2014-06-09,35.7871,36.0608,35.3935,35.4449,1801921
2014-06-10,35.3422,35.5304,35.0342,35.1967,1953816
2014-06-11,35.0684,35.2823,35.0684,35.2395,2182983
2014-06-12,35.1625,35.2139,34.8289,35.0427,2018718
2014-06-13,35.1369,35.2096,34.8374,35.0,1695182
2014-06-16,34.9657,35.231,34.7775,35.0,1499383
2014-06-17,34.923,35.1454,34.7005,35.1026,2026652
2014-06-18,35.0342,35.4791,34.8716,35.4021,1958726
2014-06-19,35.4106,35.6758,35.2994,35.6587,2154723
2014-06-20,35.6074,35.7101,35.2053,35.3165,3112348
2014-06-23,35.2652,35.5304,35.2224,35.2566,1852503
2014-06-24,35.1625,35.539,35.1625,35.3935,1709448
2014-06-25,35.3507,35.5817,35.3165,35.5561,1733872
2014-06-26,35.4791,35.4791,35.0256,35.1625,1930603
2014-06-27,35.0599,35.2823,35.0,35.231,1768719
2014-06-30,35.2566,35.3507,34.8118,35.154,2297366
2014-07-01,35.2994,35.2994,34.9059,35.1882,2017267
2014-07-02,35.2224,35.231,34.7091,35.2224,1956402
2014-07-03,35.2053,35.2395,34.8139,34.9914,1076012
2014-07-07,35.0427,35.231,34.8802,35.1882,2250415
2014-07-08,35.1625,35.2866,34.9657,35.1796,2368789
2014-07-09,34.5551,35.2737,34.5551,35.1197,1445591
2014-07-10,34.9829,35.3764,34.9144,35.2737,1988061
2014-07-11,35.2994,35.4106,35.1967,35.3251,2822853
