date,open,high,low,close,volume
2014-04-28,89.9746,90.3461,88.2566,88.9067,1583838
2014-04-29,89.3153,89.8261,88.7739,89.6171,987392
2014-04-30,89.2874,90.0814,89.2735,89.905,1120086
2014-05-01,89.6868,90.179,89.2689,89.4499,789074
2014-05-02,89.3431,90.8105,89.2364,90.6294,1516208
2014-05-05,90.4808,91.1076,89.8887,90.959,888036
2014-05-06,90.4204,91.2376,89.6217,90.764,1240540
2014-05-07,91.1587,92.3567,90.5458,92.2824,1619798
2014-05-08,92.0727,92.6598,90.8381,91.4484,1200822
2014-05-09,91.4344,91.7093,90.7635,91.6068,1004986
2014-05-12,92.1706,93.0185,91.6534,92.9067,688840
2014-05-13,92.8554,92.9486,92.0448,92.124,950068
2014-05-14,92.0587,92.4408,91.4717,91.5789,866178
2014-05-15,91.4577,91.5276,89.9202,90.6797,933714
2014-05-16,90.7728,91.1223,89.9016,91.0198,1471306
2014-05-19,91.2853,92.4678,91.0174,91.3366,986330
2014-05-20,91.4484,91.8957,91.0943,91.1735,1540442
2014-05-21,91.3273,92.1996,91.1875,91.8631,1186328
2014-05-22,91.7885,92.2684,91.4577,91.481,691354
2014-05-23,91.4437,92.7297,91.4437,92.6505,605160
2014-05-27,92.9486,93.0465,92.1706,92.3057,1357730
2014-05-28,92.4827,93.6102,92.2265,93.2981,1453010
2014-05-29,93.3819,93.6475,92.2585,93.6475,1044522
2014-05-30,93.6149,94.5234,93.2468,93.9317,1078052
2014-06-02,94.0249,94.6026,93.6289,94.2671,615454
2014-06-03,93.8385,94.2532,93.6149,93.9829,832148
2014-06-04,93.941,95.3946,93.2142,94.98,1573510
2014-06-05,94.8495,94.9474,93.6941,94.6492,986216
2014-06-06,95.157,95.8839,95.0499,95.4785,873764
2014-06-09,95.3387,95.814,95.2129,95.5624,840382
2014-06-10,95.2316,95.9258,94.7004,95.8839,834482
2014-06-11,95.2782,95.9398,95.1813,95.7907,763360
2014-06-12,95.6835,95.8419,94.7424,94.8495,1284026
2014-06-13,94.966,95.3946,94.6772,95.171,504108
2014-06-16,94.9287,95.1617,94.0249,94.5886,860912
2014-06-17,94.3557,95.1011,94.1344,94.351,725668
2014-06-18,94.2299,95.0452,93.7733,94.8542,1122874
2014-06-19,94.7703,95.0685,94.5677,94.6818,850130
2014-06-20,94.966,95.7254,94.7098,95.3108,1507016
2014-06-23,95.4552,95.5437,94.9054,95.2176,599898
2014-06-24,94.8589,95.7394,94.3561,94.5933,1050830
2014-06-25,94.775,95.9048,94.775,95.2642,1229450
2014-06-26,95.3853,95.404,94.0715,94.3836,955292
2014-06-27,93.9317,95.1384,93.927,95.0685,1474046
2014-06-30,98.7399,99.243,97.1884,97.9105,2919026
2014-07-01,97.9432,98.3019,97.2956,97.3095,1358588
2014-07-02,97.1744,97.5984,96.8809,97.0533,925572
2014-07-03,97.2303,98.0084,97.0859,97.9152,577196
2014-07-07,97.3748,97.4027,96.5874,97.0859,1243912
2014-07-08,96.8623,97.3095,96.2985,96.3498,960070
2014-07-09,96.8157,96.9554,96.1541,96.825,849340
2014-07-10,95.814,96.8203,95.5111,96.6246,1188096
2014-07-11,96.4616,97.002,95.8792,96.9228,701112
2014-07-14,97.1371,97.3468,96.8669,96.9042,631270
2014-07-15,97.2443,97.6031,95.6882,95.772,1512424
2014-07-16,96.3265,96.5315,95.4878,95.8792,2035862
2014-07-17,95.5204,97.7242,95.5204,96.7691,1891732
2014-07-18,97.002,98.0736,96.8902,97.631,1397996
2014-07-21,97.1837,97.7521,97.0113,97.2583,1377630
2014-07-22,97.5052,98.3485,97.3515,97.8919,1163096
2014-07-23,97.9199,98.6141,97.7149,97.9851,1484924
2014-07-24,97.8407,98.4557,97.5704,97.85,914544
2014-07-25,97.8407,98.0736,97.1558,97.3142,629478
2014-07-28,97.5052,97.6729,96.6992,97.221,959992
2014-07-29,97.1418,97.1744,95.4692,95.5065,1429730
2014-07-30,95.6276,96.2892,94.8589,95.2456,1270480
2014-07-31,94.9613,94.9613,92.4082,92.4175,1587234
2014-08-01,91.7745,92.8275,91.5509,92.4315,1409110
2014-08-04,92.301,93.6428,92.301,93.4704,990990
2014-08-05,92.8368,93.5054,92.1007,92.3476,1059388
2014-08-06,92.2032,93.0931,92.0774,92.6644,1186538
2014-08-07,93.3236,93.4966,92.0941,92.2437,1035608
2014-08-08,92.4634,93.6742,92.1035,93.5994,763322
2014-08-11,93.8004,94.0155,93.1039,93.1132,753764
2014-08-12,93.1927,93.4919,92.7813,93.2769,557820
2014-08-13,93.8332,94.483,93.1226,94.4362,815576
2014-08-14,94.2212,94.4783,93.9269,94.2305,867494
2014-08-15,94.4596,95.259,93.9033,94.5578,882340
2014-08-18,94.5718,95.3338,94.5344,95.259,974512
2014-08-19,95.4133,95.9696,95.2833,95.661,814518
2014-08-20,95.3665,95.7124,94.9878,95.4039,939810
2014-08-21,95.6937,96.3015,95.4039,95.8714,928904
2014-08-22,95.8807,96.0444,95.5675,95.6236,644878
2014-08-25,95.8854,96.4698,95.7966,96.409,921004
2014-08-26,96.1752,96.3576,95.0393,95.1468,1174460
2014-08-27,96.3529,96.6053,95.633,95.9462,859020
2014-08-28,95.6891,96.3576,95.5353,96.0397,758012
2014-08-29,96.2734,96.3949,95.9322,96.236,777086
2014-09-02,96.4838,96.5539,95.633,95.9228,858036
2014-09-03,96.1752,96.3576,95.0393,95.1468,1174460
2014-09-04,95.287,95.8387,95.0019,95.1889,798942
2014-09-05,95.2496,95.3712,94.8756,95.3478,1059268
2014-09-08,95.2309,96.007,95.0075,95.3291,656038
2014-09-09,95.4226,95.5021,94.0138,94.1791,836774
2014-09-10,94.0482,94.7354,93.5527,94.6466,804276
2014-09-11,93.9594,94.4923,93.7069,94.1604,900712
2014-09-12,94.1137,94.3299,93.0057,93.347,949746
2014-09-15,93.3844,93.6766,92.7876,93.361,992602
2014-09-16,93.2067,94.3708,92.8094,93.7397,1623634
2014-09-17,94.1791,94.8523,93.8846,94.3521,1358514
2014-09-18,94.5297,95.3829,94.3801,94.9738,1057584
2014-09-19,95.3478,95.9088,94.7962,94.8102,1459036
2014-09-22,94.8803,95.1141,93.2722,93.347,1356966
2014-09-23,93.1413,93.4638,92.6037,92.6925,1344200
2014-09-24,92.8888,93.8846,92.786,93.749,1175508
2014-09-25,93.2114,93.3189,92.2858,92.2858,1002538
2014-09-26,92.1502,92.8888,92.0941,92.772,766840
2014-09-29,92.225,93.4452,91.9656,93.2441,1099392
2014-09-30,93.0665,93.2067,91.8043,91.9726,1598744
2014-10-01,91.8604,91.8604,88.6675,89.3687,3028990
2014-10-02,89.2285,89.71,87.8354,89.3687,1724846
2014-10-03,89.7707,90.5327,89.163,89.6866,1442696
2014-10-06,90.4766,90.4766,89.0835,89.4154,939324
2014-10-07,89.0041,89.0041,87.1061,87.1482,2348094
2014-10-08,87.1622,88.7096,86.5217,88.602,2850160
2014-10-09,88.8171,88.9433,86.7695,86.9658,2204986
2014-10-10,86.849,87.611,85.7644,85.8065,2003946
2014-10-13,85.6849,86.0122,82.3611,82.5528,2501064
2014-10-14,82.8006,84.1282,82.0058,83.0156,2546056
2014-10-15,81.9825,84.6798,80.8806,84.3807,3388842
2014-10-16,81.2935,85.7812,80.1996,85.0005,4098508
2014-10-17,86.316,88.0597,85.8532,87.5362,3454772
2014-10-20,87.7839,89.4154,87.3118,89.3734,2413438
2014-10-21,89.7333,91.7552,89.7333,91.6453,2398810
2014-10-22,92.2157,92.7953,90.3644,90.5561,2937430
2014-10-23,91.6126,91.8931,90.7431,91.1124,1712038
2014-10-24,91.0937,91.6781,90.0465,91.5565,1614978
2014-10-27,90.299,90.6169,89.3827,90.0372,2100284
2014-10-28,91.0516,92.0287,90.673,91.3415,2245822
2014-10-29,91.1638,91.3592,89.1864,89.7801,3746720
2014-10-30,96.2593,96.4253,95.2838,95.6308,2076566
2014-10-31,91.061,95.6002,90.4813,95.2216,5398172
2014-11-03,95.3899,95.733,93.4405,93.6695,2409226
2014-11-04,93.6134,93.8659,92.2203,92.7813,1712600
2014-11-05,93.6929,96.049,93.333,95.9509,2963360
2014-11-06,96.1457,96.7366,95.2827,96.6569,1990214
2014-11-07,95.2358,97.3135,95.2358,97.0368,1819388
2014-11-10,96.882,97.2385,96.3052,96.7413,1232066
2014-11-11,96.7319,97.0884,96.0097,96.2676,1409692
2014-11-12,96.2583,96.4243,95.2827,95.6298,2076566
2014-11-13,95.7846,97.079,95.2124,96.2536,1979978
2014-11-14,96.1973,96.7788,95.4286,95.6298,1606442
2014-11-17,95.6767,96.7882,95.4,96.3005,1093220
2014-11-18,96.1222,97.9045,95.8408,97.7872,1803044
2014-11-19,97.8763,98.9972,97.5621,98.8003,2718654
2014-11-20,98.4157,99.8414,98.3078,99.7383,1405770
2014-11-21,100.8545,102.1161,100.226,100.9999,2580772
2014-11-24,101.1171,101.558,100.5778,101.1031,2368002
2014-11-25,100.9201,101.9801,100.9201,101.0233,1363974
2014-11-26,100.9061,101.8347,100.6247,101.7503,909228
2014-11-28,102.3834,102.965,101.5299,102.6273,1286352
2014-12-01,101.9895,103.5466,101.6729,103.1198,3195820
