date,open,high,low,close,volume
2014-04-28,133.9251,135.6604,131.7342,133.5083,1294191
2014-04-29,133.9639,134.7491,132.6649,133.8185,680364
2014-04-30,133.8185,134.7879,132.7521,134.7006,561373
2014-05-01,134.6619,135.3211,133.3338,133.8766,553060
2014-05-02,133.5276,134.4486,133.3531,133.7215,665815
2014-05-05,133.2368,134.1965,132.2771,133.7409,368486
2014-05-06,133.6149,134.1093,132.9072,132.9557,435214
2014-05-07,133.3435,134.9042,133.0478,134.6812,396478
2014-05-08,135.4762,137.1087,135.1563,136.3486,676351
2014-05-09,136.0481,136.2517,133.7797,134.9236,386125
2014-05-12,136.1935,137.2405,135.4277,137.0272,246546
2014-05-13,136.7655,137.3859,136.591,136.7655,271578
2014-05-14,136.9206,137.0854,135.4956,135.6798,205134
2014-05-15,135.3114,135.5537,133.2853,134.468,363280
2014-05-16,134.468,135.2726,133.3241,135.166,337746
2014-05-19,134.72,135.8833,134.3516,135.5731,328309
2014-05-20,135.2241,135.4277,133.6246,134.0996,418397
2014-05-21,134.5261,135.893,134.3613,135.8349,283417
2014-05-22,136.1645,137.0272,135.5343,136.3874,267139
2014-05-23,136.3196,137.3859,135.9279,137.3278,313536
2014-05-27,137.6574,138.4426,137.6574,137.8512,356700
2014-05-28,138.1421,138.6946,136.6976,136.7655,570471
2014-05-29,137.0854,137.4344,136.5929,136.9885,423657
2014-05-30,136.7073,137.4538,136.5571,137.3472,265431
2014-06-02,137.2114,137.6186,135.9706,137.4344,231047
2014-06-03,136.9691,137.4489,136.4553,137.1242,229885
2014-06-04,136.9982,136.9982,136.3583,136.5425,239158
2014-06-05,136.5813,139.1212,136.339,139.0145,359657
2014-06-06,138.336,140.3136,138.1324,140.2845,360591
2014-06-09,140.2069,142.3493,140.1488,142.0876,589195
2014-06-10,141.6611,142.5723,141.186,142.0294,409906
2014-06-11,141.0406,141.2927,140.2748,141.186,316444
2014-06-12,141.186,141.5544,140.4784,141.1376,513529
2014-06-13,141.1376,141.8549,140.6878,141.6998,431046
2014-06-16,141.6029,142.3707,141.4623,141.6901,560326
2014-06-17,141.3508,142.3397,141.2636,142.107,366969
2014-06-18,142.3784,142.6741,141.186,142.5432,360824
2014-06-19,145.8489,146.8184,141.981,142.9116,299815
2014-06-20,143.5417,144.4433,142.3397,144.3851,695180
2014-06-23,144.1622,144.5548,142.9407,143.0958,398503
2014-06-24,142.582,144.2106,141.7871,141.9713,311216
2014-06-25,142.01,142.5626,141.4381,141.9422,271215
2014-06-26,142.2233,142.3397,140.7692,141.5156,188016
2014-06-27,141.3605,142.8147,141.3605,142.7759,981311
2014-06-30,142.4851,142.6814,141.409,141.5447,528219
2014-07-01,141.5738,142.2524,140.5656,141.9131,420849
2014-07-02,141.506,142.1652,141.0309,141.1473,414382
2014-07-03,141.506,142.4366,141.2248,141.9519,298214
2014-07-07,142.0004,142.0391,140.9049,141.2927,323544
2014-07-08,141.409,141.7871,140.1779,140.8177,338146
2014-07-09,140.9148,141.6477,140.1384,141.0118,270305
