date,open,high,low,close,volume
2014-04-28,89.1989,90.1368,88.9992,90.1021,587374
2014-04-29,90.2758,90.3974,89.5897,89.8937,930466
2014-04-30,89.8589,90.9619,89.4508,90.9358,812207
2014-05-01,90.5971,91.8043,90.2063,91.674,686444
2014-05-02,91.8129,92.8811,91.37,92.143,623644
2014-05-05,91.7956,92.4382,91.2658,92.0822,861218
2014-05-06,91.6653,92.4817,91.2571,92.1169,517058
2014-05-07,92.6032,93.5759,92.1603,93.437,568838
2014-05-08,93.4196,94.5312,93.159,93.6975,989087
2014-05-09,93.7235,94.2707,93.437,94.2186,583375
2014-05-12,94.3401,94.7483,94.0883,94.6181,448889
2014-05-13,94.6615,95.2347,93.8885,94.1404,375904
2014-05-14,94.1751,94.6875,93.5585,94.0536,540985
2014-05-15,94.0449,94.4617,92.994,93.7843,693479
2014-05-16,93.9754,94.288,93.2676,94.288,590025
2014-05-19,94.2272,94.6094,93.6193,94.1143,445365
2014-05-20,94.0275,94.5833,93.8017,94.1143,424318
2014-05-21,94.5052,95.4387,93.8712,94.0101,383940
2014-05-22,93.9493,94.2186,93.5759,93.602,813005
2014-05-23,93.9059,94.5746,93.602,94.5746,404712
2014-05-27,94.6528,94.9481,93.793,94.7483,476113
2014-05-28,94.5573,94.5833,93.4804,94.2186,508288
2014-05-29,94.4183,94.8439,93.9233,94.6615,360748
2014-05-30,94.7396,95.3649,94.2359,95.087,585846
2014-06-02,95.2781,96.0771,94.9046,95.8686,357349
2014-06-03,95.5386,96.1465,95.0696,95.6341,374184
2014-06-04,95.4952,96.2942,95.252,96.0771,318967
2014-06-05,96.2421,98.005,95.7818,97.9529,435647
2014-06-06,97.9182,97.9182,97.0845,97.6837,445670
2014-06-09,97.6142,98.0832,96.5004,96.6763,612563
2014-06-10,96.5026,96.8413,95.1912,95.7384,533372
2014-06-11,95.9728,96.4679,95.1912,95.9815,583913
2014-06-12,95.9815,96.1552,94.757,95.6602,633087
2014-06-13,95.9381,96.4722,94.9828,96.1378,541282
2014-06-16,96.216,96.5721,95.4778,95.7036,385902
2014-06-17,95.5647,96.0076,94.9759,95.5299,691252
2014-06-18,95.4605,96.5721,95.1218,96.0944,592131
2014-06-19,96.5547,96.8934,96.1118,96.8934,406630
2014-06-20,96.6242,96.9108,96.0727,96.4158,1018656
2014-06-23,96.5721,96.9542,96.0944,96.1813,463288
2014-06-24,95.9555,96.3897,95.6559,96.1031,560441
2014-06-25,96.0944,96.4852,95.4778,95.582,818056
2014-06-26,95.6693,95.7914,94.6747,95.0935,516503
2014-06-27,94.9713,95.5995,94.8492,95.3727,831338
2014-06-30,95.5384,96.0619,94.7532,95.4512,546424
2014-07-01,95.9746,95.9746,94.4479,95.6518,1167734
2014-07-02,95.6955,95.6955,94.7271,95.0062,595627
2014-07-03,95.0062,95.2156,94.2734,94.5177,273762
2014-07-07,94.5875,95.1458,94.2211,94.4479,605403
2014-07-08,94.6049,95.1066,94.4741,94.823,518000
2014-07-09,94.8492,95.0935,93.7892,94.7532,696383
2014-07-10,94.5788,95.9397,94.3781,95.7478,893136
2014-07-11,95.7827,95.9354,95.0586,95.2854,410402
2014-07-14,95.4861,95.7216,94.8492,95.5297,442093
2014-07-15,95.5384,96.4632,95.5384,96.2102,656894
2014-07-16,96.2974,96.5068,95.5297,96.184,652790
2014-07-17,96.0793,96.4632,95.4337,95.4337,494007
2014-07-18,95.835,96.5897,95.6431,96.4981,482052
2014-07-21,96.4108,96.6813,95.9485,96.1927,603502
2014-07-22,97.1262,97.6933,96.3847,97.4665,664111
2014-07-23,97.3705,97.7631,97.1,97.3879,414852
2014-07-24,97.3879,98.2778,96.7511,97.5886,908354
2014-07-25,97.4926,97.606,95.6257,95.7478,705559
2014-07-28,95.774,96.6638,95.4686,96.2364,382917
2014-07-29,96.1753,96.8558,95.1022,95.1022,465922
2014-07-30,95.2592,95.8001,94.9888,95.4163,478298
2014-07-31,94.8928,95.3465,93.9332,94.0466,518042
2014-08-01,93.5493,94.6747,93.0956,94.3694,512237
2014-08-04,93.5493,94.6747,93.0956,94.3694,512237
2014-08-05,93.8808,94.365,93.0084,93.148,369164
2014-08-06,92.9735,93.7587,92.1185,93.1742,441518
2014-08-07,93.1044,94.1513,92.6333,93.1393,405625
2014-08-08,93.1829,93.7674,92.5373,93.654,288166
2014-08-11,93.811,94.5264,93.6191,94.064,349512
2014-08-12,94.064,94.5962,93.7412,94.2123,270025
2014-08-13,94.3258,96.1229,94.3258,96.027,804186
2014-08-14,96.2974,96.5242,95.425,96.0793,326902
2014-08-15,96.1142,96.5591,95.4773,95.8176,387331
2014-08-18,96.2974,97.0477,96.0531,96.8034,392886
2014-08-19,96.8034,97.3642,96.5591,96.9605,811115
2014-08-20,96.6813,97.2135,95.8263,96.943,558879
2014-08-21,97.1873,97.449,96.2102,96.2189,585549
2014-08-22,96.2451,96.3236,95.172,95.7391,354992
2014-08-25,95.9746,95.9746,95.0848,95.2505,523154
2014-08-26,95.2418,96.0182,94.8492,95.4424,389209
2014-08-27,95.774,96.2625,95.2025,95.6169,436914
2014-08-28,95.5471,95.9746,95.1982,95.2854,297345
2014-08-29,95.7042,95.8612,95.1109,95.3988,1304765
2014-09-02,95.3029,95.7914,95.1633,95.2941,662852
2014-09-03,95.8176,96.0968,95.0237,95.1546,568347
2014-09-04,95.0848,95.5646,94.7009,94.762,431197
2014-09-05,94.8928,95.4337,94.7009,94.9888,960061
2014-09-08,94.8056,95.5236,94.6224,95.3465,546466
2014-09-09,95.5122,95.5646,95.076,95.2941,584717
2014-09-10,95.0586,95.0848,93.9855,94.0466,457935
2014-09-11,93.7936,94.8056,93.75,94.4392,537659
2014-09-12,93.8459,94.0989,90.7052,90.7139,926249
2014-09-15,90.7663,91.1763,90.0509,90.2516,540204
2014-09-16,90.1382,91.3421,89.859,90.7227,890365
2014-09-17,91.1414,92.4588,91.0716,91.726,771389
2014-09-18,91.7434,92.2058,91.4032,91.8743,1045848
2014-09-19,91.3595,92.2581,91.3595,91.8219,1351161
2014-09-22,91.4293,91.6736,90.3475,90.3824,587683
2014-09-23,90.3126,90.8972,89.6845,89.7107,642407
2014-09-24,89.6409,90.1992,88.9342,89.161,1019775
2014-09-25,89.1436,89.6409,88.0269,88.4108,838322
2014-09-26,88.5511,90.2432,88.3056,89.9801,779869
2014-09-29,89.6733,89.9363,88.8053,89.8574,501762
2014-09-30,89.9012,90.0854,88.7089,88.8316,765333
2014-10-01,88.6475,89.2525,88.1741,88.8316,1182131
2014-10-02,88.5072,89.2349,87.5779,89.0508,1342937
2014-10-03,89.5768,90.0415,88.7878,89.533,578648
2014-10-06,89.761,90.3922,89.1472,89.8749,586903
2014-10-07,89.4541,90.1555,88.6738,88.7527,426712
2014-10-08,89.0508,91.5057,88.9544,91.4092,889684
2014-10-09,91.0848,92.1282,90.6728,91.2514,870706
2014-10-10,91.5232,93.1627,91.5057,92.3298,807126
2014-10-13,92.9523,93.8817,92.549,92.7331,829246
2014-10-14,92.8909,95.1836,92.7331,94.8636,1061880
2014-10-15,94.2762,95.8017,93.1934,93.5485,2305696
2014-10-16,92.8822,94.697,92.5271,94.3989,1129359
2014-10-17,95.4949,95.4949,93.8817,94.9074,873185
2014-10-20,94.8899,96.319,94.8548,96.2576,715432
2014-10-21,94.6269,97.2834,94.6269,97.2133,724907
2014-10-22,97.2133,98.1076,96.8363,96.9678,769701
2014-10-23,97.5727,98.844,97.0116,98.8353,1050081
2014-10-24,98.6687,99.1443,97.8884,98.3443,674629
2014-10-27,98.3618,98.9317,97.9848,98.8353,743585
2014-10-28,99.0194,99.4358,98.5635,99.3964,843016
2014-10-29,99.1246,99.5279,98.4407,99.2824,1194597
2014-10-30,98.6774,99.6506,98.2917,99.6419,466544
2014-10-31,101.3953,101.6934,100.58,101.4392,999848
2014-11-03,101.4216,102.2721,101.0885,102.1406,1287401
2014-11-04,102.1756,102.5439,101.483,102.4036,692782
2014-11-05,102.7105,102.9472,101.7986,102.4036,998201
2014-11-06,102.2458,102.2677,100.6676,100.8255,880646
