date,open,high,low,close,volume
2014-04-28,39.9905,40.1942,38.8436,39.6886,4751908
2014-04-29,40.0584,40.6092,39.749,40.3602,3768273
2014-04-30,39.6207,41.6731,38.7681,39.6735,7607061
2014-05-01,39.1605,39.7415,37.4099,38.2927,5977846
2014-05-02,38.1947,39.0812,38.1343,38.5116,3088185
2014-05-05,38.2399,38.3342,37.6212,38.1117,2751335
2014-05-06,38.1117,38.5266,37.8702,37.923,2127788
2014-05-07,38.0513,38.3606,37.1232,37.7193,3200054
2014-05-08,37.5759,38.2626,37.0251,37.1836,3077952
2014-05-09,37.259,37.5307,36.5875,37.3873,3541794
2014-05-12,37.6461,37.9505,37.4406,37.8896,2305290
2014-05-13,37.8516,38.8525,37.6506,38.6356,4452302
2014-05-14,38.7954,39.3587,38.7345,39.0085,3567750
2014-05-15,38.7574,38.9476,38.0419,38.7345,3184502
2014-05-16,38.7497,39.0466,38.1332,38.9629,2303993
2014-05-19,38.9552,39.5261,38.803,39.3663,2903220
2014-05-20,39.2216,39.2863,38.6051,38.7193,2029947
2014-05-21,38.8259,39.4157,38.8259,38.9476,1522800
2014-05-22,38.9552,39.5033,38.902,39.2825,1988290
2014-05-23,39.2749,39.5566,39.077,39.5413,2140349
2014-05-27,39.7621,40.7135,39.6936,40.6145,3237458
2014-05-28,40.4851,40.7211,40.2187,40.4319,2081410
2014-05-29,40.3938,40.6754,39.9447,40.3862,1743848
2014-05-30,40.7135,40.9361,40.3939,40.8962,2979164
2014-06-02,40.8733,41.0027,40.4166,40.9647,1610911
2014-06-03,40.7287,41.0636,40.6298,40.7592,1738747
2014-06-04,40.7059,41.0788,40.5308,40.82,2417374
2014-06-05,40.9494,41.467,40.5765,41.3757,1984156
2014-06-06,41.7106,42.3043,41.3072,42.2434,3601266
2014-06-09,42.2434,42.2814,41.5051,41.5964,1753137
2014-06-10,41.5812,41.7943,41.1397,41.5051,2083489
2014-06-11,41.5888,41.7639,41.1473,41.4822,1370183
2014-06-12,41.4746,41.5964,41.037,41.2691,2335784
2014-06-13,42.1444,42.4184,41.7943,42.1368,3423613
2014-06-16,42.0074,42.6011,41.977,42.5554,2129089
2014-06-17,42.3499,43.5221,42.2967,43.2481,2598230
2014-06-18,43.1796,43.4993,42.6468,43.4764,1867426
2014-06-19,43.4079,43.4765,42.7914,43.0654,1924646
2014-06-20,43.2329,43.5754,42.4946,42.8295,4148667
2014-06-23,42.936,42.936,42.152,42.5859,1853744
2014-06-24,42.4641,42.9817,42.3956,42.6163,2951918
2014-06-25,42.3576,43.2557,42.3043,43.21,1921350
2014-06-26,43.1263,43.309,42.8599,43.1644,1203106
2014-06-27,42.9817,43.4003,42.8142,43.3242,1212779
2014-06-30,43.4764,43.4993,43.1187,43.2481,1676681
2014-07-01,43.5602,45.2347,43.5373,44.816,3610839
2014-07-02,44.7095,45.0292,44.6105,44.9302,1972639
2014-07-03,45.0368,45.1357,44.23,45.1053,1757342
2014-07-07,45.0215,45.1205,44.5192,44.8769,1698617
2014-07-08,44.9987,45.3869,44.1691,44.6714,2359714
2014-07-09,44.6943,45.0595,44.3974,44.5116,1530682
2014-07-10,44.0853,45.0215,43.8798,44.778,1484905
2014-07-11,44.9607,45.4402,44.5877,45.2499,1436278
2014-07-14,45.463,45.6533,45.0215,45.4173,2387823
2014-07-15,45.6305,46.3916,45.345,45.4326,2104135
2014-07-16,45.8664,46.894,45.8588,46.6656,3161214
2014-07-17,46.148,46.5438,45.071,45.2803,3668322
2014-07-18,45.4402,45.4935,43.9559,44.7475,5444648
2014-07-21,44.6334,45.0824,44.3289,44.5877,3337938
2014-07-22,44.8769,45.5315,44.542,45.09,3195887
2014-07-23,45.2727,45.5772,44.9759,45.052,1355628
2014-07-24,45.3488,45.4059,44.4431,45.3488,1842859
2014-07-25,45.0596,45.4478,45.0444,45.2879,1050023
2014-07-28,45.2879,45.5467,44.9454,45.0063,1730849
2014-07-29,44.953,45.4097,44.5268,45.2042,1401028
2014-07-30,45.3717,45.8512,45.2575,45.737,2009168
2014-07-31,44.9302,45.9578,44.2604,44.6029,3414771
2014-08-01,44.4355,44.8693,43.6972,44.2908,2999067
2014-08-04,44.2147,44.8465,43.8874,44.679,2225619
2014-08-05,44.5953,44.9074,43.484,43.6743,2397129
2014-08-06,43.544,43.8124,42.9841,43.6667,3585302
2014-08-07,44.0041,44.0194,43.3522,43.59,2744932
2014-08-08,43.613,43.8661,43.1068,43.6897,2005739
2014-08-11,43.8737,44.2035,43.567,43.7127,1236160
2014-08-12,43.7127,43.8047,43.1528,43.5593,1356940
2014-08-13,44.7787,44.7787,43.5516,44.4259,1909449
2014-08-14,44.2725,45.0087,44.2188,44.7787,1951706
2014-08-15,45.1314,45.2465,44.604,45.0547,2364372
2014-08-18,45.2925,45.5839,45.1314,45.4152,1444445
2014-08-19,45.3308,45.8063,45.3231,45.6989,1504962
2014-08-20,45.6912,46.136,45.6452,45.883,1445489
2014-08-21,45.998,46.3891,45.814,46.3431,1447220
2014-08-22,46.3891,46.5808,46.1897,46.2933,1226446
2014-08-25,46.4581,46.8799,46.3661,46.7496,1364532
2014-08-26,46.6882,46.9029,46.4045,46.5195,1478251
2014-08-27,46.4965,47.225,46.4965,46.9183,1943466
2014-08-28,46.8876,47.6928,46.6882,47.6161,2015676
2014-08-29,47.7312,48.2757,47.4628,47.9919,1776001
2014-09-02,48.2373,48.5211,46.9413,47.4091,3370603
2014-09-03,47.4704,47.6008,47.0832,47.3171,2745949
2014-09-04,47.3171,47.4168,46.4965,46.7496,2902193
2014-09-05,46.6192,47.064,46.4198,47.0256,1941673
2014-09-08,48.1759,48.1759,46.7802,47.0026,1292170
2014-09-09,46.9183,47.294,46.6192,46.6499,2127785
2014-09-10,48.0916,48.0916,46.5042,46.9796,1431807
2014-09-11,46.8339,47.0103,45.952,46.6805,2470663
2014-09-12,47.0563,47.3171,45.952,46.7879,4207387
2014-09-15,46.8953,46.9708,45.0854,45.1238,3891055
2014-09-16,45.0011,45.7143,44.3722,45.4343,4147074
2014-09-17,45.3692,45.5685,44.6483,45.2311,4075102
2014-09-18,45.2541,45.9942,45.1774,45.8523,2959001
2014-09-19,45.9367,45.975,44.702,44.7173,4674361
2014-09-22,44.4029,44.817,43.9312,44.1728,2419172
2014-09-23,44.1575,44.2955,43.5133,43.5516,2655618
