date,open,high,low,close,volume
2014-04-28,77.5049,77.804,75.638,76.363,2227127
2014-04-29,76.8886,77.0789,76.073,76.8705,1543046
2014-04-30,76.8796,77.9399,76.4989,77.8402,1180299
2014-05-01,77.659,78.4021,77.4868,77.9309,1190598
2014-05-02,78.1031,78.5743,77.668,77.8765,837178
2014-05-05,77.5049,77.9671,77.1243,77.6952,823123
2014-05-06,77.4868,77.7135,77.088,77.2058,505564
2014-05-07,77.5321,78.1348,77.0337,78.0759,1194390
2014-05-08,77.813,78.9368,77.6499,78.3024,810047
2014-05-09,78.1937,78.3024,77.5502,78.239,564907
2014-05-12,78.529,79.535,78.529,79.1815,1071932
2014-05-13,79.1815,79.2993,78.7737,78.8462,683772
2014-05-14,78.7465,78.9731,77.7224,77.7405,760204
2014-05-15,77.523,77.6862,76.2996,77.0246,1022893
2014-05-16,77.1424,77.7315,76.644,77.668,816952
2014-05-19,77.5593,78.4565,77.3237,78.3568,825939
2014-05-20,78.094,78.2798,76.4083,76.9158,1196618
2014-05-21,77.2421,78.1484,77.1954,78.1121,888894
2014-05-22,77.9581,78.7375,77.8585,78.0577,666730
2014-05-23,78.0215,79.2731,77.813,79.0728,967328
2014-05-27,79.3084,79.8069,78.9368,79.2087,725344
2014-05-28,79.245,79.4081,78.9096,79.2087,527192
2014-05-29,79.2268,79.5259,78.384,79.0093,638057
2014-05-30,78.9368,79.3356,78.6196,79.2087,1499058
2014-06-02,79.3819,79.9015,78.7986,79.7556,728530
2014-06-03,79.3728,79.4822,78.8259,78.9626,555629
2014-06-04,78.7712,79.2634,78.4795,78.4887,785041
2014-06-05,78.9444,79.9926,78.4157,79.8285,1185214
2014-06-06,79.8468,80.3025,79.8285,80.0838,783044
2014-06-09,79.9379,81.0135,79.8924,80.4484,762081
2014-06-10,80.3663,80.4301,79.9835,80.4301,519524
2014-06-11,80.0382,80.0382,79.3455,79.7192,588689
2014-06-12,79.5733,79.7009,79.0811,79.4093,952447
2014-06-13,79.3272,79.6371,79.0447,79.4548,772569
2014-06-16,79.3637,80.0017,79.2087,79.9926,676209
2014-06-17,79.5824,80.3025,78.9717,80.1931,628759
2014-06-18,80.0747,80.5851,79.4229,80.4575,583980
2014-06-19,80.5486,80.7492,80.0838,80.5577,589263
2014-06-20,80.6762,81.1684,80.3481,81.1411,1959072
2014-06-23,81.05,81.0788,80.2843,80.6398,666506
2014-06-24,80.2752,80.7856,79.5916,79.6371,682738
2014-06-25,79.628,80.5103,79.4731,79.8377,637340
2014-06-26,79.9835,80.0564,78.8624,79.5369,616850
2014-06-27,79.4548,80.2661,79.2087,80.2478,1092641
2014-06-30,80.2205,80.4484,79.8103,80.0473,692748
2014-07-01,80.3299,80.8403,80.1339,80.1749,731055
2014-07-02,80.257,80.6124,79.9197,80.0655,522386
2014-07-03,80.3846,80.8494,80.1931,80.8038,612160
2014-07-07,80.7036,80.7036,80.0291,80.3299,1261297
2014-07-08,79.9015,80.1612,79.0264,79.3546,802803
2014-07-09,79.5278,79.8377,79.1723,79.4093,511867
2014-07-10,78.4795,78.8168,78.2152,78.4704,1082800
2014-07-11,78.4066,78.6801,78.0603,78.2881,830153
2014-07-14,78.9262,79.0902,78.5889,78.7439,989544
2014-07-15,78.7439,78.7439,77.8415,78.0694,1160867
2014-07-16,78.4157,78.8533,78.1149,78.6254,1053304
2014-07-17,77.7868,77.96,77.4222,77.6501,1254879
2014-07-18,77.7868,77.96,77.4222,77.6501,1254879
2014-07-21,77.5134,78.4066,77.3219,78.2243,683049
2014-07-22,78.6436,78.8934,78.5433,78.6892,745594
2014-07-23,78.6618,79.2178,78.279,78.7256,921756
2014-07-24,78.516,78.8988,77.404,77.4951,1524007
2014-07-25,79.4548,82.9185,79.2999,82.7362,3534991
2014-07-28,82.718,83.1737,82.2987,82.6359,1395548
2014-07-29,82.481,82.8456,81.3143,81.4419,1680658
2014-07-30,81.5877,81.77,80.7218,81.4692,1180840
2014-07-31,81.0955,81.0955,79.6736,79.7101,1280652
2014-08-01,79.9288,80.2934,79.1996,80.1658,1100181
2014-08-04,79.9288,80.2934,79.1996,80.1658,1100181
2014-08-05,79.7739,80.3846,78.763,79.2178,1268269
2014-08-06,78.7621,79.4184,78.3975,78.99,1312570
2014-08-07,79.4457,79.8559,78.9079,79.1723,777630
2014-08-08,79.2999,80.4233,79.0355,80.421,811107
2014-08-11,80.7218,81.369,80.5669,80.8312,801590
2014-08-12,80.6033,81.2505,80.5395,80.6945,705777
2014-08-13,81.2961,81.6698,81.0408,81.4601,571256
2014-08-14,81.533,82.1467,81.4054,82.0708,710473
2014-08-15,82.3807,82.399,81.214,81.8338,834013
2014-08-18,82.2167,82.9459,82.1346,82.4081,954557
2014-08-19,82.6086,83.4107,82.4263,83.0188,1216595
2014-08-20,83.037,83.7024,82.9413,83.4381,917315
