date,open,high,low,close,volume
2014-04-28,39.2784,39.6534,37.8254,38.7909,4050108
2014-04-29,39.0253,39.2323,38.4066,38.4628,3520438
2014-04-30,38.4628,38.8753,38.3035,38.4816,3254496
2014-05-01,38.6222,39.3065,38.3878,38.6691,2442381
2014-05-02,38.8565,39.044,38.3503,38.8378,1953575
2014-05-05,38.7909,39.5127,38.4441,39.344,2196893
2014-05-06,39.4284,39.5221,38.6878,38.7815,2325364
2014-05-07,38.9128,38.9409,37.4504,38.4816,3137177
2014-05-08,38.4253,39.794,38.1255,38.8472,3117955
2014-05-09,38.6686,38.9975,38.2456,38.866,1862706
2014-05-12,39.0821,40.3886,39.0539,40.1537,3196714
2014-05-13,40.4168,41.5165,39.8717,39.9657,3509529
2014-05-14,39.9469,40.0409,39.3265,39.4017,2482165
2014-05-15,39.3265,39.4675,37.6722,38.3866,4787559
2014-05-16,38.3114,38.4148,37.7296,38.302,2621110
2014-05-19,38.255,39.0445,38.2174,38.6404,2447902
2014-05-20,38.537,38.6075,37.832,38.0952,2646638
2014-05-21,38.3208,38.9036,38.2457,38.7814,1865272
2014-05-22,39.0351,39.3641,38.7344,38.7626,1911199
2014-05-23,38.7532,39.4487,38.4806,39.2795,2126215
2014-05-27,39.6461,39.8341,39.3359,39.6414,1909177
2014-05-28,39.7777,39.8999,39.2889,39.7025,2506740
2014-05-29,39.8623,40.6048,39.7871,40.3322,2733521
2014-05-30,40.4168,41.009,40.2928,40.7082,3096294
2014-06-02,41.2722,42.0899,40.3228,40.4826,2506762
2014-06-03,41.9677,43.1332,41.5917,42.9076,7168596
2014-06-04,42.7666,43.9792,42.7666,43.951,4015422
2014-06-05,44.0261,44.1483,43.2648,43.6878,3104414
2014-06-06,43.8852,44.1201,43.387,43.998,2775590
2014-06-09,44.2329,44.5149,43.8006,43.8852,2906150
2014-06-10,43.904,44.1389,43.1238,44.0637,3484252
2014-06-11,44.1577,45.4172,44.1107,44.9379,4093497
2014-06-12,44.7687,45.2744,43.8852,44.1013,3414745
2014-06-13,44.3645,44.9755,44.2047,44.3551,2360592
2014-06-16,44.2235,44.7499,43.9604,44.5243,2527479
2014-06-17,44.4021,45.6522,44.3269,45.0666,3381834
2014-06-18,45.2481,45.2481,44.4867,44.6747,2010630
2014-06-19,44.7123,45.0225,44.1107,44.6277,2137859
2014-06-20,44.7969,45.5864,44.6089,45.436,2892213
2014-06-23,45.9248,46.1504,44.8157,45.0131,2608553
2014-06-24,45.1541,45.2575,43.6314,43.998,3670546
2014-06-25,43.9885,44.1107,42.5411,43.9792,4192373
2014-06-26,44.2987,44.3175,43.0016,43.575,2553975
2014-06-27,43.387,43.5468,43.011,43.293,4653795
2014-06-30,43.5092,44.2235,43.5092,44.1389,3070434
2014-07-01,44.4303,45.3796,44.4303,44.8627,3675217
2014-07-02,44.6935,45.1165,44.3962,44.7593,1997338
2014-07-03,45.0225,45.3138,44.7311,45.2011,1522151
2014-07-07,45.1165,45.671,44.4679,44.5431,2684081
2014-07-08,44.3645,44.5336,43.2366,44.3363,3412843
2014-07-09,44.2141,44.9191,43.8288,44.8063,2450494
2014-07-10,43.3776,44.4209,42.7666,44.0355,3531075
2014-07-11,43.8382,44.5055,43.7893,44.3927,1977148
2014-07-14,44.7123,44.9849,44.2799,44.6089,1908114
2014-07-15,44.6559,44.8815,44.0168,44.6935,2587995
2014-07-16,44.9379,45.3044,44.5619,44.9097,3490544
2014-07-17,44.7969,44.9943,43.434,43.5562,6421808
2014-07-18,47.0997,50.2391,46.6861,49.6939,18366515
2014-07-21,49.5341,51.226,49.4566,50.9816,6952279
2014-07-22,51.038,51.132,50.3425,50.9628,4442134
2014-07-23,50.9816,51.0004,50.2015,50.2391,3669862
2014-07-24,50.1921,50.5304,49.2615,49.4871,3867006
2014-07-25,49.5153,49.5341,48.2746,48.3498,4108830
2014-07-28,48.566,49.1957,47.7013,49.0454,3611630
2014-07-29,49.1205,49.7879,48.9326,49.0078,2960757
2014-07-30,49.2615,49.5905,48.5755,49.036,2416987
2014-07-31,48.4062,48.6506,47.2501,47.7107,3666913
2014-08-01,47.2689,49.1957,47.2501,48.942,3999719
2014-08-04,49.2239,49.3743,48.3354,48.989,2720376
2014-08-05,48.6687,49.1717,48.3391,48.876,2505464
2014-08-06,48.7441,49.4411,48.7252,49.1209,2417052
2014-08-07,49.3563,49.686,47.9246,48.1601,3037512
2014-08-08,48.1507,48.3673,47.5384,48.292,3131870
2014-08-11,48.9701,49.6577,48.6028,49.0926,2425577
2014-08-12,49.5447,49.5965,48.518,49.3657,2215899
2014-08-13,49.3752,50.9105,49.3187,50.8728,3863566
2014-08-14,50.9764,51.1563,50.0345,50.3924,2771597
2014-08-15,50.8351,51.6923,50.3924,51.2307,2909570
2014-08-18,51.5039,51.5981,50.3924,51.146,2754939
2014-08-19,51.1648,52.4081,51.146,52.1632,2574483
2014-08-20,51.8147,52.8226,51.8147,52.5777,1820355
2014-08-21,52.6248,52.7378,51.8901,52.0502,1847778
2014-08-22,52.2009,52.2292,51.3438,51.9466,2223057
2014-08-25,52.3705,52.427,51.4382,51.5792,2225206
2014-08-26,51.6829,51.7017,50.7504,51.5227,2335307
2014-08-27,51.8241,51.9278,50.854,51.6734,1858762
2014-08-28,51.3249,52.427,51.0329,52.3139,1843499
2014-08-29,52.8603,53.6326,52.8414,53.3689,3071231
2014-09-02,53.8398,53.8587,52.8508,53.0204,3327364
2014-09-03,53.0486,53.2747,51.5792,52.2668,3586930
2014-09-04,52.4176,52.8979,51.5227,51.7488,2595751
2014-09-05,51.7111,53.0298,51.6923,53.011,2561108
2014-09-08,53.2088,53.4442,52.7472,53.237,2193518
2014-09-09,53.303,53.4631,52.3893,52.394,2341535
2014-09-10,52.3987,52.9262,51.6169,52.7566,2099830
2014-09-11,52.3234,52.7471,51.9843,52.5965,1752376
2014-09-12,52.5871,52.6813,51.6358,51.8241,2518984
2014-09-15,51.8241,52.2197,50.5902,50.8634,3016441
2014-09-16,50.6373,52.653,50.4207,52.5777,3092655
2014-09-17,52.427,52.9733,52.1444,52.6342,2025922
2014-09-18,53.237,54.6122,52.978,54.4427,3539404
2014-09-19,54.7441,55.086,53.3219,54.3296,5958880
2014-09-22,54.3391,55.0455,53.2653,53.4725,3069997
2014-09-23,53.1522,54.0,52.8132,53.5949,2296594
2014-09-24,53.9152,55.4505,53.7457,55.4223,3141755
2014-09-25,55.3752,55.8084,53.9906,54.1742,2998964
2014-09-26,54.5274,55.3375,54.2449,55.0172,2435866
2014-09-29,54.3579,55.3752,54.1695,55.1303,1825503
2014-09-30,55.2339,55.3469,54.3202,54.6781,2621210
2014-10-01,54.3391,54.4427,49.5165,50.2135,10660807
2014-10-02,50.562,51.1271,48.6311,50.5055,6320915
2014-10-03,51.0895,52.6625,50.9858,52.0408,4518702
2014-10-06,52.6436,52.6813,50.1099,50.9529,3781388
2014-10-07,50.4866,50.4866,49.2621,49.3657,4429809
2014-10-08,49.3187,51.2402,48.4238,51.1083,4041018
2014-10-09,50.8916,51.0989,49.1209,49.1962,2926148
2014-10-10,47.1899,47.2182,41.5008,44.2794,12384008
2014-10-13,44.675,44.788,42.4804,42.6876,7259581
2014-10-14,45.4756,48.0282,44.741,46.069,12935935
2014-10-15,44.788,47.5243,44.5055,46.7237,7577876
2014-10-16,45.5698,48.9796,45.5698,48.5322,6961995
2014-10-17,49.686,50.0722,47.7551,48.0942,4906275
2014-10-20,47.934,48.9466,47.5196,48.8477,3536299
2014-10-21,50.2229,51.5322,49.9215,51.5227,4658871
2014-10-22,51.8053,52.0219,50.449,50.5714,3353643
2014-10-23,51.3344,52.6907,51.1252,52.1256,3934545
2014-10-24,51.9372,52.2744,51.3909,51.843,3007968
2014-10-27,51.4662,51.9088,51.0612,51.6734,2649325
2014-10-28,51.7959,52.6059,51.4851,52.5683,3358494
2014-10-29,52.1538,54.0282,52.1538,53.9905,3105694
2014-10-30,53.6326,54.0188,52.0973,52.7849,3529280
2014-10-31,54.1884,54.9796,54.0659,54.8571,3686116
2014-11-03,55.0738,57.1271,54.876,56.7315,5158237
2014-11-04,56.5526,57.1836,56.0439,56.9105,3898454
2014-11-05,57.2213,57.73,56.515,57.3438,4500870
2014-11-06,57.4568,58.719,56.8257,58.5306,6192206
2014-11-07,59.1993,59.708,53.3887,56.4019,11115819
2014-11-10,56.7409,57.9654,56.5903,57.4285,4277487
2014-11-11,57.4568,57.5406,56.7424,57.4285,2705382
2014-11-12,57.3626,58.2103,57.2307,57.4474,3438572
2014-11-13,57.5227,58.1537,56.8257,57.1836,3186167
2014-11-14,57.4762,59.6567,57.0137,59.2792,5876406
2014-11-17,59.2225,59.4207,57.7973,58.6656,3711544
2014-11-18,58.7128,60.3836,58.6977,60.3175,4050735
2014-11-19,60.2703,60.4024,59.147,60.2325,3144009
2014-11-20,59.6567,61.2709,59.2886,61.0349,3036882
2014-11-21,61.488,61.6862,60.4591,60.7517,3148023
2014-11-24,61.0538,62.2998,60.8839,62.0449,2686622
2014-11-25,62.6585,62.7717,61.3011,61.7995,10064917
2014-11-26,61.9977,64.1829,61.9977,64.0932,3950859
2014-11-28,64.0932,64.1876,63.3192,63.6873,1774302
2014-12-01,63.4891,63.5741,60.7234,62.0827,4437650
2014-12-02,61.2048,62.5357,60.4402,62.111,4766915
2014-12-03,62.3186,63.0927,61.389,62.9322,3870029
2014-12-04,64.1876,66.2076,63.4514,65.8395,6626585
2014-12-05,66.2171,67.1044,65.4487,66.4153,3988456
2014-12-08,66.0849,66.9628,64.3198,65.2732,3816900
2014-12-09,63.121,65.8961,61.9505,65.3392,3000118
2014-12-10,65.849,66.7174,64.4802,64.6785,3454235
2014-12-11,65.0372,67.3404,64.905,66.151,3375104
2014-12-12,65.141,66.3304,65.141,65.226,2384744
2014-12-15,66.0189,66.3115,63.9044,64.669,3576412
2014-12-16,64.0366,65.8961,63.4986,64.3009,2881250
2014-12-17,64.7823,66.9345,63.7157,66.8495,2825993
2014-12-18,68.9073,69.0867,67.8218,69.0867,3716366
2014-12-19,69.4453,69.5964,67.5772,68.6241,4409197
2014-12-22,68.8601,70.6253,68.1522,70.2477,2627142
2014-12-23,70.6441,70.7669,69.115,69.2849,2596746
2014-12-24,69.6908,70.3704,69.4359,70.1533,922816
2014-12-26,70.2005,70.4837,69.7946,70.3138,1398563
2014-12-29,68.7563,69.2849,67.0761,69.0678,3932189
2014-12-30,68.643,69.182,68.5297,68.7752,1673324
2014-12-31,69.1244,70.3326,68.6241,68.6336,2012871
2015-01-02,69.4737,69.7757,68.0766,69.2094,2852390
2015-01-05,69.0017,69.2849,68.0106,68.0861,2924525
2015-01-06,68.1522,68.4825,64.8578,65.915,4755862
2015-01-07,67.4631,67.8595,66.3681,67.0006,2896229
2015-01-08,67.9634,70.5498,67.7274,70.04,3773010
2015-01-09,70.5498,70.5686,68.4448,69.9268,2865436
2015-01-12,69.9928,70.0872,67.5905,68.2654,2739044
2015-01-13,69.8512,70.6064,68.0578,68.7563,3039598
2015-01-14,67.3687,68.5958,66.6419,67.5858,3062237
2015-01-15,67.9822,68.8695,66.8401,67.3262,2734652
2015-01-16,67.0761,69.8512,67.0477,69.7096,3080719
2015-01-20,70.4648,71.6447,70.2949,71.3238,3621439
2015-01-21,71.3615,73.004,70.8141,72.9662,3158254
2015-01-22,73.4382,74.9674,71.3332,74.8824,6670132
2015-01-23,74.014,78.139,73.8724,76.3266,7677459
2015-01-26,76.3266,77.8747,75.1845,77.8558,3533830
2015-01-27,76.6853,77.8747,76.5626,76.9496,3332553
2015-01-28,78.8186,79.2434,77.0723,77.2423,4507284
2015-01-29,77.6104,79.8098,76.8364,79.4699,4108249
2015-01-30,79.2906,80.1873,78.2995,78.3939,3505662
2015-02-02,78.4127,79.0357,75.6564,77.4216,4119001
2015-02-03,77.4216,78.3765,76.3154,77.7809,2789965
2015-02-04,76.9867,78.3292,76.9394,77.8092,2420170
2015-02-05,78.0929,78.0929,76.1264,76.9583,3303044
2015-02-06,76.9394,78.5089,76.2871,76.9962,2928754
2015-02-09,76.2304,76.4573,72.9875,74.7649,5478454
2015-02-10,75.7482,77.2987,74.5569,77.1852,3230211
2015-02-11,77.5823,78.2158,76.7693,77.866,2444915
2015-02-12,78.5467,78.7074,77.0151,77.9227,2251329
2015-02-13,78.4143,78.4521,76.4289,77.3838,2637773
2015-02-17,77.2231,78.4521,77.0056,78.2252,1866990
2015-02-18,78.3481,78.4427,77.4405,78.0503,1651907
2015-02-19,77.97,78.783,77.7052,78.523,1745593
2015-02-20,78.2914,79.7946,78.2914,79.7001,2346006
2015-02-23,80.2579,81.3924,79.5583,81.3121,3430063
2015-02-24,81.3073,83.4535,80.2674,83.3684,3797214
2015-02-25,83.4346,84.0775,82.5175,82.9429,3104877
2015-02-26,83.6237,84.795,82.5553,83.7466,3980996
2015-02-27,84.0869,84.5029,82.5553,82.9618,2193527
2015-03-02,83.4251,86.2331,83.3117,86.1574,3456635
2015-03-03,85.9967,86.2425,83.7749,83.8978,4561110
2015-03-04,83.6898,85.2782,82.8673,85.2356,2872007
2015-03-05,85.6091,86.8287,85.3538,86.5545,3004539
2015-03-06,86.4789,86.8098,84.9189,85.7982,3406889
2015-03-09,85.9872,87.3853,85.7036,87.0887,2618306
2015-03-10,87.6985,87.9159,85.2214,86.2236,5344368
2015-03-11,87.1029,88.2563,86.8192,87.169,40723116
2015-03-12,87.2258,88.0766,86.6774,87.793,3997980
2015-03-13,87.5378,88.3792,87.1123,87.8497,3659191
2015-03-16,88.1428,91.5748,88.1428,91.4991,4697585
2015-03-17,91.2439,92.1326,89.9486,92.0002,3404141
2015-03-18,91.5464,92.3689,90.1472,91.8206,3710833
2015-03-19,92.1326,94.3354,91.9435,94.1369,4131618
2015-03-20,94.6758,96.6234,94.3071,96.4816,4122700
2015-03-23,96.6706,97.1623,96.1317,96.2074,3600442
2015-03-24,96.3776,97.1054,94.8838,95.9238,3644486
2015-03-25,95.7158,95.9238,88.8897,90.3551,10500008
2015-03-26,86.9516,88.3697,83.4346,87.9632,13850746
2015-03-27,88.4832,94.0991,88.4454,93.4373,9735671
2015-03-30,94.6285,95.5834,93.702,94.6663,4715410
2015-03-31,94.1369,95.1012,92.6715,92.9267,3861148
2015-04-01,92.6336,92.9362,89.5988,91.5558,4613291
2015-04-02,91.8111,92.3122,90.7711,91.2439,3025664
2015-04-06,89.0032,90.8751,88.5021,90.2606,3263793
2015-04-07,90.3173,92.3689,90.0526,91.4991,3088045
2015-04-08,91.3762,92.3689,90.8374,92.1515,2974678
2015-04-09,91.934,94.4867,91.7638,94.3921,3253064
2015-04-10,94.4205,94.95,93.4089,94.2031,2127956
2015-04-13,94.0707,95.0789,93.0165,93.2009,2450045
2015-04-14,92.8795,93.0969,89.4097,90.4213,4966499
2015-04-15,91.4235,92.0758,90.3126,90.9791,3041336
2015-04-16,90.3362,91.1304,89.873,90.4591,2606784
2015-04-17,89.5893,89.7217,88.1617,89.1355,3517314
2015-04-20,89.8068,90.7617,89.4475,89.7501,2304906
2015-04-21,90.809,91.0359,89.7312,90.2133,2075708
2015-04-22,90.5631,91.6977,89.6272,91.5464,2454282
2015-04-23,90.2511,91.1871,89.9108,90.5868,1914006
2015-04-24,90.5159,90.5773,87.0745,88.2894,4133853
2015-04-27,88.6912,90.9697,88.4454,89.3908,3831298
2015-04-28,90.081,90.2795,85.732,89.3861,4526161
2015-04-29,88.1712,89.0694,87.2636,88.4832,3534536
2015-04-30,89.0126,89.5799,86.356,87.2163,5306384
2015-05-01,90.6388,92.9645,89.0599,92.9315,7376272
2015-05-04,93.5413,94.0423,92.246,93.702,4707802
2015-05-05,93.1158,93.3522,89.457,89.4664,4777723
2015-05-06,89.9959,90.2795,87.2919,89.4097,4255068
2015-05-07,90.7617,92.038,90.6955,91.7733,3199379
2015-05-08,92.5296,93.1205,92.0947,92.3784,3028125
2015-05-11,92.4067,92.4067,91.0548,91.8584,2035065
2015-05-12,91.1957,92.2087,90.7981,91.6312,2022210
2015-05-13,91.8773,92.7672,91.3472,91.4986,1618139
2015-05-14,92.2655,93.6287,91.8016,93.2311,2222509
2015-05-15,93.4488,93.7234,92.1234,92.3601,2019718
