date,open,high,low,close,volume
2014-04-28,14.9592,14.9812,14.6874,14.7461,6715262
2014-04-29,14.7535,15.04,14.702,14.8123,5141591
2014-04-30,14.7902,14.9298,14.694,14.9004,6351681
2014-05-01,14.9298,14.9739,14.7535,14.8123,4110320
2014-05-02,14.8857,15.0033,14.7902,14.9665,4904225
2014-05-05,14.8637,14.8784,14.7314,14.7682,4161412
2014-05-06,14.7314,14.9188,14.7314,14.7608,4070193
2014-05-07,14.7755,14.871,14.6947,14.8563,5471941
2014-05-08,14.8563,15.1355,14.7241,14.7902,6742492
2014-05-09,15.3927,15.5543,15.1208,15.2751,12396482
2014-05-12,15.2825,15.7233,15.2825,15.6205,5541544
2014-05-13,15.547,15.6278,15.4221,15.6131,5210573
2014-05-14,15.6425,15.7748,15.5764,15.7307,3737594
2014-05-15,15.8923,16.4213,15.7968,16.3919,15418837
2014-05-16,16.245,16.6197,16.1715,16.4875,11711566
2014-05-19,16.3479,16.5352,16.2817,16.4581,4839308
2014-05-20,16.4875,16.4948,16.0099,16.2303,10135237
2014-05-21,16.3258,16.3552,16.2303,16.2891,6821189
2014-05-22,16.267,16.3479,16.1642,16.3258,5485504
2014-05-23,16.3479,16.3919,16.2009,16.3625,7261734
2014-05-27,16.4213,16.796,16.3772,16.5168,8526464
2014-05-28,16.4507,16.5389,16.1642,16.2083,6029961
2014-05-29,16.1495,16.3846,16.1274,16.2891,6037362
2014-05-30,16.3625,16.3625,16.0833,16.1568,6743285
2014-06-02,16.2376,16.2648,16.0246,16.0613,10506649
2014-06-03,15.9658,16.0356,15.7674,15.8923,8601794
2014-06-04,15.7895,15.9805,15.7601,15.885,5345990
2014-06-05,15.885,15.9731,15.7601,15.7748,6123413
2014-06-06,15.9005,15.9597,15.8043,15.8191,7351454
2014-06-09,15.8635,15.9005,15.7311,15.8265,4651286
2014-06-10,15.7747,15.8265,15.6712,15.7526,6071695
2014-06-11,15.7452,16.0633,15.5861,15.7452,6133340
2014-06-12,15.7378,15.9449,15.7156,15.76,7312871
2014-06-13,15.8709,16.0633,15.7747,16.0559,6134992
