date,open,high,low,close,volume
2014-04-28,129.379,130.2233,126.9598,128.0868,620613
2014-04-29,128.6888,129.2982,127.8592,128.285,384871
2014-04-30,128.3438,130.818,127.7089,130.5904,216771
2014-05-01,130.3922,132.1983,129.8415,131.2658,242357
2014-05-02,131.1043,133.1454,130.8437,131.7945,295904
2014-05-05,131.8018,135.091,130.9281,134.5183,417207
2014-05-06,132.1616,134.0117,128.52,131.1557,830473
2014-05-07,131.6623,131.7137,130.2967,131.3907,479780
2014-05-08,131.6476,133.975,130.5466,133.1013,268600
2014-05-09,132.8811,133.6593,131.5669,132.1542,194685
2014-05-12,132.3745,132.7232,131.5522,131.7284,450947
2014-05-13,132.6975,136.9118,132.1542,134.8927,1017385
2014-05-14,134.9001,135.8619,133.5382,135.8252,614792
2014-05-15,135.7885,135.7885,134.1365,134.7973,813444
2014-05-16,134.2467,134.9809,133.2408,134.834,617460
2014-05-19,134.9001,137.0806,134.5844,137.0292,837422
2014-05-20,136.8457,138.0055,133.9163,134.0337,496474
2014-05-21,134.0778,136.0124,134.0413,135.8839,306662
2014-05-22,135.9133,138.1966,135.0616,137.6827,394470
2014-05-23,137.5799,137.7157,136.3832,136.809,509582
2014-05-27,137.132,137.5946,136.1394,137.5432,263725
2014-05-28,137.8882,138.4536,136.6768,138.0498,700028
2014-05-29,138.0498,138.4169,136.6812,138.2333,295397
2014-05-30,138.0351,138.6371,137.3449,138.549,265969
2014-06-02,138.8207,139.4814,138.2774,139.4227,154564
2014-06-03,139.4814,140.546,138.7472,140.2597,326017
2014-06-04,139.8265,140.7442,139.527,140.3478,414076
2014-06-05,142.1245,142.1539,138.1966,140.2083,1177619
2014-06-06,140.6268,144.5826,140.2303,143.5929,1115788
2014-06-09,143.5488,145.5826,143.5488,144.6355,1136250
2014-06-10,144.1215,144.54,141.7795,143.4754,858412
2014-06-11,142.4916,144.1876,142.4916,143.3433,563628
2014-06-12,142.8129,143.1413,136.5708,141.2047,894999
2014-06-13,141.6004,142.4087,141.3731,142.1309,429611
2014-06-16,142.1898,143.3938,142.0315,143.1581,560918
2014-06-17,142.2403,143.5328,142.0803,142.4592,253868
2014-06-18,142.8887,144.5306,142.114,144.2106,558981
2014-06-19,144.3538,144.3706,142.7118,143.6296,201061
2014-06-20,143.9917,145.1789,142.9897,145.1789,806579
2014-06-23,144.7579,144.8505,142.7203,143.3434,318285
2014-06-24,143.3434,143.5779,141.2804,141.2973,442870
2014-06-25,141.0363,141.5836,140.6153,141.2215,396327
2014-06-26,141.2804,142.0803,140.5058,141.2468,360398
2014-06-27,141.0447,141.4994,140.0258,140.9268,440808
2014-06-30,140.9268,141.2889,139.8322,140.8342,448705
2014-07-01,140.7837,142.114,139.849,141.7688,400975
2014-07-02,141.4236,142.2656,139.9753,141.8109,325925
2014-07-03,141.8614,142.3835,140.4679,141.6257,305954
2014-07-07,141.5499,142.0888,140.6153,141.0615,514489
2014-07-08,141.2636,141.8277,138.9733,139.2091,911656
2014-07-09,139.5712,139.9922,138.9397,139.8069,335515
2014-07-10,138.9312,140.1437,138.7157,139.4449,280688
2014-07-11,139.8322,141.2299,139.2933,141.1036,309905
2014-07-14,141.9204,143.0739,141.4658,142.9139,527774
2014-07-15,143.1413,143.9243,141.8783,142.3582,244967
2014-07-16,142.7118,143.5505,141.7183,142.0214,260619
2014-07-17,141.6172,142.8129,140.329,140.4553,232048
2014-07-18,140.7247,142.9308,140.7247,142.7455,234613
2014-07-21,142.4424,145.0442,142.0635,144.7411,264725
2014-07-22,145.4821,147.4018,145.0021,146.5009,447426
2014-07-23,146.1641,146.8545,144.5727,144.6569,269584
2014-07-24,144.6064,145.6757,143.3518,143.7391,409530
2014-07-25,143.6128,144.246,142.9813,143.3097,503548
2014-07-28,143.6465,144.2359,142.8718,144.1096,536808
2014-07-29,144.0422,145.0695,142.8634,143.1413,347255
2014-07-30,144.017,144.1769,142.6192,143.857,296793
2014-07-31,143.1413,143.2339,141.0531,141.3899,278821
2014-08-01,141.1626,143.3181,141.1626,142.8466,376093
2014-08-04,143.2676,143.3501,141.9035,143.0823,282959
2014-08-05,142.3835,147.7471,141.9709,147.4439,1308138
2014-08-06,146.5177,146.8882,144.3201,145.2463,826744
2014-08-07,145.6673,147.124,145.5157,146.5261,364004
2014-08-08,146.8377,147.2334,145.6336,146.0546,481857
2014-08-11,147.1408,148.1933,146.1228,146.804,318855
2014-08-12,147.0229,147.3766,146.0218,146.2651,347239
2014-08-13,146.5767,148.9595,146.5767,148.8164,364302
2014-08-14,148.9764,149.7763,148.0333,149.3048,231245
2014-08-15,149.7258,150.9804,149.0353,150.2815,241937
2014-08-18,151.3003,151.915,150.8877,151.7045,234853
2014-08-19,152.4034,152.9675,151.6034,151.8981,190121
2014-08-20,151.9824,155.1315,151.9824,154.5505,325899
2014-08-21,155.1146,156.4028,154.8957,155.704,548383
2014-08-22,155.7966,156.765,155.022,155.7209,280747
2014-08-25,156.4534,159.451,155.9061,158.7858,592931
2014-08-26,158.6258,159.2489,157.868,158.2216,325614
2014-08-27,158.6174,158.7184,157.9017,158.449,292675
2014-08-28,157.1944,158.6679,156.7144,158.2721,202019
2014-08-29,159.9646,159.9646,158.0111,158.289,297556
2014-09-02,158.2974,158.8447,157.5564,158.4237,507740
2014-09-03,158.6342,159.4173,158.2721,158.8616,307068
2014-09-04,159.4594,159.6951,157.7754,158.1543,228414
2014-09-05,159.1226,159.9393,157.3628,158.7774,326664
2014-09-08,159.0047,159.312,157.8259,158.1374,332733
2014-09-09,158.2637,159.0047,157.7855,158.1627,272738
2014-09-10,157.6575,159.2741,157.5817,158.4405,269684
2014-09-11,158.0869,159.0552,157.0512,158.7268,188926
2014-09-12,159.0552,160.1077,158.8211,159.4931,434537
2014-09-15,158.4911,160.2677,158.1879,159.973,305914
2014-09-16,159.973,160.1835,158.8851,160.1246,193051
2014-09-17,160.1246,160.8234,159.1394,159.7288,154909
2014-09-18,159.8888,160.9497,159.451,159.973,210770
2014-09-19,160.6213,161.8743,158.4574,158.4658,481319
2014-09-22,158.4742,159.2489,157.0091,157.5059,219329
2014-09-23,157.8596,158.1458,155.704,155.7714,274510
2014-09-24,155.4009,156.4787,154.8957,155.3504,297223
2014-09-25,155.3504,155.3504,152.997,153.7674,344510
2014-09-26,153.9105,156.6387,153.7421,155.7798,240515
2014-09-29,154.2137,155.6956,153.3969,155.6788,317670
2014-09-30,156.1503,156.3524,154.9588,155.2072,412600
2014-10-01,154.921,155.3504,152.9136,153.5653,413213
2014-10-02,153.7,154.1042,152.1339,152.757,316839
2014-10-03,153.9021,156.8239,153.8937,155.9735,296071
2014-10-06,156.7397,156.9334,154.2979,154.7694,189806
2014-10-07,153.86,154.1632,152.4791,152.8075,297479
2014-10-08,146.7198,148.5975,146.2062,147.225,276877
2014-10-09,151.8308,152.9928,150.0289,151.1235,658272
2014-10-10,150.7193,151.4435,148.4375,148.6143,465598
2014-10-13,148.9174,149.4647,145.5663,146.2567,510251
2014-10-14,146.905,149.2564,145.0274,145.3558,658698
2014-10-15,144.3032,145.3726,140.2869,144.6737,755857
2014-10-16,142.9645,147.6713,142.6192,145.6084,397591
2014-10-17,146.7198,148.5975,146.2062,147.225,276877
2014-10-20,146.4335,148.1344,145.7852,147.3176,247753
2014-10-21,148.2944,150.3741,148.0333,150.2647,293839
2014-10-22,150.2057,151.2658,149.0353,149.229,205414
2014-10-23,150.6604,153.8095,150.6183,152.597,285636
2014-10-24,153.0601,154.1598,152.4202,153.9526,186214
2014-10-27,154.0874,154.5926,152.4539,153.7927,532934
2014-10-28,154.4073,155.443,153.5485,155.4177,363769
2014-10-29,155.7714,155.7714,154.0284,155.1988,302448
2014-10-30,159.1394,164.6293,156.6058,161.4886,767460
2014-10-31,158.7184,158.7184,155.9482,157.4807,411371
2014-11-03,157.5564,157.5901,155.7461,156.445,327316
2014-11-04,156.3861,157.026,155.4346,156.5713,234387
2014-11-05,157.1186,158.6089,155.8345,157.4554,558122
2014-11-06,157.4133,158.7858,156.6134,158.0953,263762
2014-11-07,158.4153,158.4784,157.4638,157.7333,346083
2014-11-10,157.7838,158.8262,156.1755,158.4069,294437
2014-11-11,158.6174,158.9626,157.0597,157.3965,208232
2014-11-12,156.605,157.9606,156.0998,156.8997,400822
2014-11-13,159.1394,164.6293,156.6058,161.4886,767460
2014-11-14,161.5728,162.2969,160.2509,162.0443,429967
