date,open,high,low,close,volume
2014-04-28,104.735,105.2319,103.4638,104.6283,3378086
2014-04-29,104.8239,105.2061,104.0594,104.5039,2983606
2014-04-30,104.5483,105.6328,104.4239,105.1883,2841122
2014-05-01,104.9217,105.3572,103.6594,103.8283,4123105
2014-05-02,103.1438,104.3793,102.9838,103.5794,5802441
2014-05-05,103.1438,104.1394,102.6815,103.846,2825309
2014-05-06,103.4105,103.6683,103.0371,103.126,1957957
2014-05-07,103.3571,104.0683,102.7882,103.926,2606228
2014-05-08,103.8905,104.975,103.8105,104.0238,2520194
2014-05-09,103.846,104.255,103.2505,103.9972,2185116
2014-05-12,104.3972,105.5617,104.3483,105.455,2795300
2014-05-13,105.8017,105.9528,105.4995,105.5528,2077064
2014-05-14,105.9191,105.928,104.6684,104.8113,1767770
2014-05-15,104.5701,104.7488,103.0424,103.364,2864671
2014-05-16,103.5159,103.8286,102.2741,102.3635,4486482
2014-05-19,101.9078,103.2479,101.7738,102.7566,3205350
2014-05-20,102.5868,102.8548,100.5946,101.0413,3751157
2014-05-21,101.488,102.7029,101.488,102.5957,3330107
2014-05-22,102.2652,103.1943,102.0954,102.7744,2176495
2014-05-23,102.7923,103.3283,102.6761,103.2211,1505074
2014-05-27,103.7125,103.9269,103.3194,103.4981,1988317
2014-05-28,103.5695,104.1234,103.4802,103.5874,1977431
2014-05-29,103.8375,104.2128,103.4445,103.9447,2279182
2014-05-30,103.8911,104.3378,103.4355,103.8286,3661710
2014-06-02,103.9983,105.0168,103.8107,104.8828,2690699
2014-06-03,105.4188,105.6154,105.0257,105.258,5362607
2014-06-04,105.3295,105.401,104.3646,104.6505,2778371
2014-06-05,104.7756,105.7762,104.4629,105.5707,2803276
2014-06-06,105.803,106.2229,105.669,106.2229,1958005
2014-06-09,106.3122,107.3753,105.8476,107.286,3177136
2014-06-10,106.9286,107.0626,105.9191,106.4283,2620090
2014-06-11,105.9549,106.0353,105.2938,105.6868,2167199
2014-06-12,105.2848,105.6332,104.1332,104.3914,2537871
2014-06-13,104.454,104.7667,103.8956,104.3378,1919833
2014-06-16,104.1056,104.7131,103.8107,104.4093,1810217
2014-06-17,103.9626,104.8471,103.8107,104.5344,2243970
2014-06-18,104.6058,104.9453,103.5695,104.7309,2896281
2014-06-19,104.9453,105.1865,104.2172,105.0436,2256978
2014-06-20,105.5171,105.669,104.9185,105.4099,5249698
2014-06-23,105.2223,105.3563,104.2664,104.6416,2100981
2014-06-24,104.2485,104.5165,103.3194,103.3462,2770329
2014-06-25,103.3104,103.9358,103.0603,103.7393,2467336
2014-06-26,103.6857,103.8286,102.7923,103.4087,2914236
2014-06-27,103.3908,104.1502,103.1675,104.1502,9124025
2014-06-30,103.9805,103.9805,102.9174,103.1407,3384312
2014-07-01,103.6053,104.052,103.1854,103.5695,3245267
2014-07-02,103.6142,103.6142,102.4707,102.8638,3821628
2014-07-03,103.2032,103.6321,103.0871,103.2122,1746017
2014-07-07,103.2836,103.4534,102.4796,102.828,3785466
2014-07-08,102.5153,102.828,101.8006,101.9078,2862034
