date,open,high,low,close,volume
2014-04-28,64.64,66.1,62.42,64.51,1333472
2014-04-29,64.97,67.68,64.195,67.57,1282201
2014-04-30,67.27,67.99,65.9404,67.7,1466185
2014-05-01,67.54,69.71,66.53,68.95,1837050
2014-05-02,69.37,71.68,66.295,66.37,2812998
2014-05-05,65.41,68.5,64.81,68.41,1467929
2014-05-06,68.4,68.75,66.47,66.56,1373586
2014-05-07,66.49,67.07,64.23,65.17,1380855
2014-05-08,65.13,66.14,63.46,63.8,1309632
2014-05-09,63.9,65.1,62.405,65.05,1245924
2014-05-12,65.81,67.76,65.13,67.74,1462857
2014-05-13,67.62,67.93,66.32,66.71,827209
2014-05-14,66.85,68.28,65.32,67.69,1036551
2014-05-15,66.69,67.48,65.02,65.46,1538525
2014-05-16,65.59,66.11,63.6,65.03,2018828
2014-05-19,65.0,67.48,64.28,67.22,1317208
2014-05-20,67.28,67.43,65.06,65.49,1071378
2014-05-21,65.51,67.19,65.47,67.15,1076080
2014-05-22,68.24,71.48,67.5001,71.18,2010722
2014-05-23,71.51,71.85,70.0101,71.04,1118826
2014-05-27,72.07,73.38,71.328,73.36,1593620
2014-05-28,73.43,73.48,71.65,71.72,1460400
2014-05-29,72.31,72.96,71.42,72.81,1320969
2014-05-30,72.96,72.96,71.33,72.26,1173480
2014-06-02,72.16,72.98,71.54,72.63,1172964
2014-06-03,71.7,72.98,71.0,72.96,975462
2014-06-04,72.6,73.6,72.24,72.64,1581854
2014-06-05,72.63,73.45,71.605,73.06,1405473
2014-06-06,73.65,73.65,72.47,73.49,1185247
2014-06-09,73.64,75.43,73.3,74.61,1114369
2014-06-10,74.3,75.23,72.79,74.04,1307512
2014-06-11,73.38,74.7,73.22,74.08,1033069
2014-06-12,73.78,74.93,73.03,73.5,1028955
2014-06-13,73.88,73.91,72.55,73.49,810456
2014-06-16,69.16,71.02,67.02,67.12,3436204
2014-06-17,66.97,67.745,65.66,65.89,1576603
2014-06-18,66.23,66.3,64.19,65.08,2213216
2014-06-19,65.4,65.49,63.68,64.63,2181922
2014-06-20,64.96,65.05,63.97,64.96,2686292
2014-06-23,65.06,67.6,64.72,66.61,2166127
2014-06-24,98.02,98.8,89.93,93.53,25236837
2014-06-25,92.26,93.35,89.27,89.86,7001292
2014-06-26,89.0,93.3,88.27,93.17,5511777
2014-06-27,93.09,94.0,91.92,93.77,2179748
2014-06-30,93.77,94.89,93.05,94.68,2487332
2014-07-01,93.87,96.29,93.74,95.85,2154485
2014-07-02,95.35,98.73,95.33,98.03,3182054
2014-07-03,97.8,99.0,97.34,98.8,1300894
2014-07-07,97.71,99.58,96.08,96.84,2146603
2014-07-08,96.88,97.31,94.75,95.04,2747848
2014-07-09,95.54,98.65,94.89,98.1,1906299
2014-07-10,96.15,98.49,95.05,97.82,1330241
2014-07-11,98.08,99.74,97.14,99.07,1755615
2014-07-14,99.16,99.285,97.03,98.38,1246847
2014-07-15,98.26,98.49,95.25,96.53,1558375
2014-07-16,96.7,97.22,94.4204,96.83,1618852
2014-07-17,95.83,96.68,94.31,94.49,1634985
2014-07-18,95.06,97.78,94.4,97.2,1964400
2014-07-21,96.7,97.198,95.35,96.31,1152827
2014-07-22,96.6,98.08,95.75,97.74,1499340
2014-07-23,97.74,98.61,97.44,98.14,1458144
2014-07-24,97.87,98.45,95.68,95.77,1962264
2014-07-25,96.01,96.81,94.67,95.75,1259017
2014-07-28,95.48,96.29,95.24,95.56,1178298
2014-07-29,95.4,96.63,95.25,95.56,1450069
2014-07-30,93.49,95.24,91.3101,92.01,2295525
2014-07-31,90.64,91.85,88.11,88.91,2470099
2014-08-01,89.6,90.37,86.56,87.53,2479512
2014-08-04,88.37,89.99,86.1,86.69,1964612
2014-08-05,86.18,88.06,85.7,87.0,1498044
2014-08-06,86.31,87.55,85.71,86.81,1195367
2014-08-07,86.94,87.45,84.595,84.74,1388780
2014-08-08,85.2,86.99,85.1775,86.42,986401
2014-08-11,85.97,86.71,84.47,86.2,959534
2014-08-12,86.02,86.59,84.94,85.41,710180
2014-08-13,84.41,89.13,84.41,88.75,1386831
2014-08-14,88.46,90.43,88.11,90.37,1156441
2014-08-15,90.87,91.85,89.55,90.88,1053292
2014-08-18,91.11,92.4,90.6135,91.3,1147810
2014-08-19,90.85,92.25,90.68,91.92,894155
2014-08-20,91.46,92.73,90.57,91.3,1071383
2014-08-21,91.32,91.88,88.38,88.99,1007361
2014-08-22,89.5,90.63,88.67,90.22,862435
2014-08-25,91.13,92.55,90.51,91.76,971946
