date,open,high,low,close,volume
2017-06-30,148.33,150.95,148.33,150.12,570328.0
2017-07-03,151.06,152.23,148.95,149.03,340637.0
2017-07-05,151.52,152.8,149.16,151.94,550225.0
2017-07-06,151.12,151.48,149.5,149.74,678220.0
2017-07-07,150.98,152.8,150.92,151.95,476821.0
2017-07-10,152.1,153.48,150.56,151.58,533016.0
2017-07-11,151.56,152.26,150.33,151.59,746178.0
2017-07-12,152.07,152.93,151.14,152.51,679849.0
2017-07-13,153.13,153.65,150.76,152.19,408382.0
2017-07-14,152.14,154.82,152.12,154.3,502999.0
2017-07-17,155.01,157.86,154.9,156.21,1002984.0
2017-07-18,155.99,156.75,155.11,156.02,488395.0
2017-07-19,157.09,159.45,156.76,159.28,891018.0
2017-07-20,159.5,160.54,158.1,160.17,943680.0
2017-07-21,160.31,160.93,158.42,158.87,834294.0
2017-07-24,158.67,161.81,158.65,161.19,807140.0
2017-07-25,161.81,161.81,158.45,158.56,1038028.0
2017-07-26,158.66,159.929,157.37,158.69,747595.0
2017-07-27,160.52,160.6484,155.55,157.26,1425859.0
2017-07-28,168.1,173.79,160.37,173.06,2452058.0
