date,open,high,low,close,volume
2013-02-28,43.91,44.27,43.63,43.77,882000.0
2013-03-01,43.64,44.11,43.04,43.45,733100.0
2013-03-04,43.29,45.1,43.14,44.24,922800.0
2013-03-05,44.5,45.03,44.42,45.0,559900.0
2013-03-06,45.15,45.92,45.09,45.12,813500.0
2013-03-07,45.1,45.31,44.74,44.77,444800.0
2013-03-08,44.98,45.1099,44.635,44.69,553600.0
2013-03-11,44.5,44.75,44.2,44.35,513400.0
2013-03-12,44.22,44.58,43.88,44.01,524700.0
2013-03-13,44.2,45.0,44.05,44.36,387700.0
2013-03-14,44.44,44.52,43.85,43.92,761700.0
2013-03-15,43.75,44.24,43.701,44.14,1055200.0
2013-03-18,43.76,43.895,43.4,43.85,400600.0
2013-03-19,43.93,44.3076,43.25,43.43,509600.0
2013-03-20,43.6,44.2,43.5,44.09,353900.0
2013-03-21,43.91,44.0899,43.39,43.63,269700.0
2013-03-22,43.69,43.7,43.33,43.58,247900.0
2013-03-25,43.68,44.22,43.47,43.62,303700.0
2013-03-26,43.71,43.98,43.5,43.91,293400.0
2013-03-27,43.66,43.87,43.3,43.84,277600.0
