date,open,high,low,close,volume
2017-08-31,101.0,101.18,99.22,100.15,1552194.0
2017-09-01,100.47,102.21,99.84,102.21,1806104.0
2017-09-05,101.85,101.85,98.1003,99.41,1888746.0
2017-09-06,99.96,100.33,98.85,99.54,1634514.0
2017-09-07,99.3,100.87,99.3,100.75,1175909.0
2017-09-08,100.68,102.17,100.5,101.57,1167960.0
2017-09-11,102.08,102.58,100.35,102.19,1027401.0
2017-09-12,102.68,104.0,102.44,103.43,1203608.0
2017-09-13,103.75,103.87,102.21,103.17,1429225.0
2017-09-14,103.1,103.17,101.23,101.55,1154789.0
2017-09-15,101.6,102.63,101.01,102.42,2618555.0
2017-09-18,102.62,103.55,102.45,103.15,1220758.0
2017-09-19,103.25,104.76,102.6188,104.55,1160188.0
2017-09-20,104.84,105.63,103.49,103.7,1618789.0
2017-09-21,104.14,104.53,103.53,103.81,1164279.0
2017-09-22,103.99,104.5,103.66,104.0,838554.0
2017-09-25,104.06,105.49,103.815,105.28,1506908.0
2017-09-26,105.12,105.6,103.71,103.76,1115039.0
2017-09-27,103.76,103.8855,101.79,102.44,2058735.0
2017-09-28,101.84,102.65,101.02,102.48,1764387.0
