date,open,high,low,close,volume
2013-02-28,376.01,380.16,375.115,380.15,459600.0
2013-03-01,379.13,379.5,376.695,378.14,228700.0
2013-03-04,378.02,381.49,377.47,380.66,316800.0
2013-03-05,382.0,382.99,380.8201,382.32,215000.0
2013-03-06,382.31,383.0,375.42,376.55,428500.0
2013-03-07,377.48,381.6,375.29,381.52,397900.0
2013-03-08,381.9,385.6,379.32,385.25,350500.0
2013-03-11,385.28,388.47,383.74,388.33,375000.0
2013-03-12,388.75,390.48800000000006,386.97,388.87,392000.0
2013-03-13,388.25,392.59,387.595,392.04,383300.0
2013-03-14,391.69,392.6,389.19,389.65,318100.0
2013-03-15,388.33,392.75,386.56,391.89,404600.0
2013-03-18,390.02,392.29,388.91,391.47,175600.0
2013-03-19,392.39,392.66,387.78,390.41,219500.0
2013-03-20,392.08,397.1,390.79,396.0,294100.0
2013-03-21,394.38,395.65,391.35,393.26,173200.0
2013-03-22,394.18,396.11,392.26,395.72,175800.0
2013-03-25,396.19,396.19,391.46,393.33,263900.0
2013-03-26,394.48,394.48,388.63,394.04,345000.0
2013-03-27,392.58,394.64,389.59,393.94,189200.0
