date,open,high,low,close,volume
2013-02-28,23.86,24.529,23.8,24.17,3520600.0
2013-03-01,23.87,24.61,23.85,24.36,3512100.0
2013-03-04,24.3,24.71,24.15,24.58,1945300.0
2013-03-05,24.73,24.99,24.62,24.74,2937100.0
2013-03-06,24.86,24.94,24.45,24.48,2528700.0
2013-03-07,24.48,24.66,24.4,24.53,2240400.0
2013-03-08,24.69,24.8,24.29,24.64,2614000.0
2013-03-11,24.64,25.26,24.64,25.22,3733500.0
2013-03-12,25.13,25.445,25.02,25.31,2834400.0
2013-03-13,25.29,25.38,24.98,25.36,2037500.0
2013-03-14,25.39,25.45,25.09,25.2,2313800.0
2013-03-15,25.1,25.12,24.65,24.93,3220300.0
2013-03-18,24.55,25.21,24.5,25.18,2937200.0
2013-03-19,25.27,25.3,24.39,24.46,2530100.0
2013-03-20,24.69,25.07,24.64,24.83,2284300.0
2013-03-21,24.62,24.785,24.28,24.51,2230200.0
2013-03-22,24.65,25.02,24.5,24.71,1939400.0
2013-03-25,24.87,25.195,24.61,24.68,2875000.0
2013-03-26,24.77,25.115,24.71,25.02,1960200.0
2013-03-27,24.8,25.13,24.69,25.11,1890900.0
