date,open,high,low,close,volume
2016-12-30,64.16,64.645,63.07,63.29,1224029.0
2017-01-03,64.14,64.88,63.09,63.31,1461940.0
2017-01-04,63.71,66.78,63.1,66.52,1559900.0
2017-01-05,67.0,68.36,65.82,65.94,1814299.0
2017-01-06,65.62,66.02,64.46,65.62,1041013.0
2017-01-09,65.64,67.95,65.64,67.25,1289142.0
2017-01-10,66.98,67.95,65.01,65.22,1437966.0
2017-01-11,65.37,67.19,65.0,66.98,1246960.0
2017-01-12,66.8,67.95,66.2,67.83,1176050.0
2017-01-13,67.91,68.26,67.0598,67.27,827372.0
2017-01-17,67.04,68.89,66.23,68.54,1222258.0
2017-01-18,68.99,69.57,68.36,68.92,1368038.0
2017-01-19,68.79,68.8,67.0697,67.43,1027716.0
2017-01-20,67.49,67.65,66.64,67.19,1069009.0
2017-01-23,67.24,67.72,66.26,67.5,1118368.0
2017-01-24,67.74,68.46,67.28,68.18,1278850.0
2017-01-25,68.24,69.1,68.0,68.95,644700.0
2017-01-26,68.68,69.14,67.99,68.02,565397.0
2017-01-27,68.29,68.4,67.73,68.14,542571.0
2017-01-30,68.19,68.19,66.06,66.94,920259.0
