date,open,high,low,close,volume
2013-11-29,82.5,82.5,81.217,81.55,1130500.0
2013-12-02,81.65,82.19,80.55,81.76,1733200.0
2013-12-03,81.43,81.87,80.1,80.39,2351600.0
2013-12-04,80.39,80.89,79.1,80.76,2735400.0
2013-12-05,80.53,81.12,80.014,80.76,1741300.0
2013-12-06,81.0,81.34,78.59,79.68,2742300.0
2013-12-09,79.96,80.98,79.68,80.61,2777900.0
2013-12-10,80.61,82.04,80.275,81.81,2368000.0
2013-12-11,81.79,82.07,80.33,80.58,2093800.0
2013-12-12,80.67,82.77,80.45,82.65,3858500.0
2013-12-13,83.02,83.91,81.285,82.27,4186400.0
2013-12-16,82.46,83.04,81.5,82.2,2551800.0
2013-12-17,82.6,83.5899,82.035,82.91,2311200.0
2013-12-18,83.19,84.399,82.0,84.19,3313100.0
2013-12-19,84.15,84.58,83.44,83.92,1883900.0
2013-12-20,84.26,84.4,82.99,83.88,8990800.0
2013-12-23,84.0,84.0,79.59,80.8,10262600.0
2013-12-24,80.89,81.95,80.86,81.4,1938500.0
2013-12-26,81.65,81.65,80.49,81.02,1699300.0
2013-12-27,81.27,81.44,80.25,80.58,1440800.0
2013-12-30,80.74,80.83,79.65,80.59,2384900.0
