date,open,high,low,close,volume
2014-08-29,80.51,81.7599,80.51,81.49,2659000.0
2014-09-02,81.86,82.78,80.77,82.3,3147900.0
2014-09-03,83.07,85.55,83.06,85.34,4376000.0
2014-09-04,86.71,87.15,84.0,84.21,3685800.0
2014-09-05,84.88,85.38,82.61,84.51,2595500.0
2014-09-08,84.54,85.71,84.32,85.33,1537800.0
2014-09-09,85.24,85.84,83.88,83.94,2057000.0
2014-09-10,84.37,86.22,84.0,85.93,1635500.0
2014-09-11,85.62,87.0,84.88,86.84,1740700.0
2014-09-12,86.32,86.83,85.12,86.25,1911400.0
2014-09-15,86.09,86.2,85.24,85.78,1684300.0
2014-09-16,85.5,87.09,84.91,86.89,1691300.0
2014-09-17,86.85,87.76,86.38,87.37,1094400.0
2014-09-18,87.41,87.91,87.24,87.7,885600.0
2014-09-19,88.54,89.53,88.24,88.82,3942900.0
2014-09-22,88.28,89.42,87.77,88.95,1656743.0
2014-09-23,88.57,89.19,88.0,88.58,976005.0
2014-09-24,88.83,89.67,88.25,89.19,1948426.0
2014-09-25,89.1,89.42,87.83,88.47,1155671.0
2014-09-26,88.8,90.5,88.48,90.0,1648303.0
2014-09-29,89.1,91.31,89.09,89.92,2149974.0
