date,open,high,low,close,volume
2013-02-28,25.38,25.81,25.31,25.5,1404100.0
2013-03-01,25.37,25.55,25.0101,25.31,1264300.0
2013-03-04,25.26,25.26,25.0,25.23,1268800.0
2013-03-05,25.35,25.65,25.19,25.25,1458200.0
2013-03-06,25.39,25.73,25.27,25.64,1225100.0
2013-03-07,25.74,26.11,25.74,26.07,1457500.0
2013-03-08,26.16,26.5,26.05,26.49,1023700.0
2013-03-11,26.63,27.07,26.46,27.06,1397900.0
2013-03-12,27.0,27.01,26.42,26.65,1555200.0
2013-03-13,26.65,26.74,26.39,26.72,1124000.0
2013-03-14,26.75,27.28,26.68,27.19,1165900.0
2013-03-15,27.06,27.22,26.77,26.94,2353600.0
2013-03-18,26.54,27.15,26.43,27.0,1313500.0
2013-03-19,27.09,27.31,26.69,27.07,1149800.0
2013-03-20,27.23,27.79,26.99,27.66,1505600.0
2013-03-21,27.43,27.5499,26.855,26.88,1419000.0
2013-03-22,26.94,27.05,26.45,26.56,1452000.0
2013-03-25,26.64,26.81,26.4,26.62,1732300.0
2013-03-26,26.75,26.84,26.15,26.33,1383100.0
2013-03-27,26.06,26.6,25.93,26.52,1638700.0
