date,open,high,low,close,volume
2015-06-30,80.0,81.0,78.5768,80.27,1957799.0
2015-07-01,81.25,82.25,80.01,80.36,1639714.0
2015-07-02,80.72,81.55,80.2,81.36,1151395.0
2015-07-06,80.33,81.935,78.59,79.99,2121645.0
2015-07-07,80.29,80.43,74.36,79.95,3086401.0
2015-07-08,77.43,77.45,74.4808,74.68,3271840.0
2015-07-09,76.3,77.27,74.33,74.63,2011298.0
2015-07-10,75.22,76.5,73.71,76.16,2365795.0
2015-07-13,77.17,78.21,75.24,76.61,1397443.0
2015-07-14,77.14,78.52,76.93,77.96,1047521.0
2015-07-15,78.6,79.1,77.42699999999999,77.88,1051254.0
2015-07-16,78.07,80.52,77.7,80.24,1501041.0
2015-07-17,80.14,80.79,78.1,78.86,1327631.0
2015-07-20,78.5,79.58,76.5,76.7,2117605.0
2015-07-21,76.22,77.95,75.41,77.45,1692304.0
2015-07-22,72.55,74.88,71.01,74.17,3345645.0
2015-07-23,74.71,77.22,74.44,75.24,1777362.0
2015-07-24,76.51,77.1699,72.2,72.28,1952249.0
2015-07-27,71.45,71.45,69.01,69.94,1926702.0
2015-07-28,70.5,71.084,68.5,70.75,1371697.0
2015-07-29,70.33,70.85,68.94,70.47,2562748.0
2015-07-30,60.65,62.348,57.1,60.485,10331417.0
