date,open,high,low,close,volume
2013-05-31,248.63,253.0,241.87,241.88,771400.0
2013-06-03,241.83,242.5,229.52,236.07,794200.0
2013-06-04,235.25,239.69,232.37,232.88,870900.0
2013-06-05,231.72,239.98,227.47,229.64,854500.0
2013-06-06,230.23,252.5,229.67,252.17,1388300.0
2013-06-07,252.06,261.75,251.063,257.5,907000.0
2013-06-10,258.14,258.5999,249.7,252.83,594000.0
2013-06-11,249.42,254.4,245.01,248.88,544600.0
2013-06-12,251.75,253.32,236.24,237.49,581900.0
2013-06-13,237.84,244.4557,236.28,239.52,551100.0
2013-06-14,238.57,242.48,232.88,236.93,628100.0
2013-06-17,238.2,241.05,232.51,232.71,662000.0
2013-06-18,233.64,244.26,230.51,242.76,888800.0
2013-06-19,243.38,244.7,231.29,231.38,675600.0
2013-06-20,228.01,228.3,218.28,219.61,988900.0
2013-06-21,220.95,225.9999,212.821,215.47,3137700.0
2013-06-24,212.9,224.09,206.3,218.38,1578400.0
2013-06-25,220.95,225.2,218.36,220.172,904800.0
2013-06-26,222.76,229.97,221.24,228.74,849000.0
2013-06-27,232.76,236.0525,231.05,234.57,1064800.0
