date,open,high,low,close,volume
2013-02-28,51.05,51.3,50.68,50.81,3165900.0
2013-03-01,50.79,51.7,50.2,51.58,2231000.0
2013-03-04,51.3,52.09,51.1225,52.08,1919100.0
2013-03-05,52.27,52.53,51.8,51.99,2166600.0
2013-03-06,52.14,52.96,52.0,52.8,2929000.0
2013-03-07,53.12,53.59,52.91,53.47,1932900.0
2013-03-08,53.65,53.65,52.82,53.0,1250900.0
2013-03-11,52.89,53.542,52.75,53.14,1596600.0
2013-03-12,52.34,52.34,50.39,50.6,5151000.0
2013-03-13,50.46,51.03,50.15,50.8,2322600.0
2013-03-14,51.0,51.0,50.02,50.66,3097500.0
2013-03-15,50.4,50.61,49.9999,50.44,2483600.0
2013-03-18,49.75,50.445,49.605,50.13,1509500.0
2013-03-19,50.38,50.6,49.48,49.79,2003700.0
2013-03-20,50.08,51.27,49.89,51.18,2064900.0
2013-03-21,50.62,51.21,49.95,50.94,3071000.0
2013-03-22,50.47,50.84,49.73,50.8,2276400.0
2013-03-25,49.89,50.13,47.91,48.99,7029700.0
2013-03-26,49.08,49.5669,48.76,49.25,2984300.0
2013-03-27,49.04,50.19,48.14,49.97,6397900.0
