date,open,high,low,close,volume
2017-10-31,40.25,41.01,39.84,40.95,1604250.0
2017-11-01,41.0,41.28,40.21,40.68,2684991.0
2017-11-02,41.14,41.6,40.49,41.35,3492307.0
2017-11-03,41.06,41.45,40.97,41.15,3003965.0
2017-11-06,41.2,42.48,40.86,41.48,6014082.0
2017-11-07,41.0,42.94,40.93,41.93,8298307.0
2017-11-09,39.96,40.35,39.6,40.16,3197727.0
2017-11-10,40.46,41.01,40.13,40.82,3956206.0
2017-11-13,40.53,40.65,39.9,40.44,3718369.0
2017-11-14,40.29,40.44,39.89,40.2,2603205.0
2017-11-15,40.09,40.705,39.78,40.26,3171527.0
2017-11-16,40.21,41.62,40.01,41.0,3627861.0
2017-11-17,41.14,42.19,41.14,41.66,4173107.0
2017-11-20,41.82,42.43,41.68,42.07,4211646.0
2017-11-21,42.24,42.28,41.07,41.25,1869950.0
2017-11-22,41.21,41.44,40.95,41.03,1016635.0
2017-11-24,41.05,41.26,40.82,40.86,795149.0
2017-11-27,40.99,41.16,40.46,40.59,1758954.0
2017-11-28,40.53,41.05,40.24,40.65,3381276.0
2017-11-29,40.84,42.13,40.82,41.51,2985000.0
