date,open,high,low,close,volume
2016-04-29,44.61,44.66,43.37,43.94,4806003.0
2016-05-02,43.89,44.1,43.16,43.74,5359466.0
2016-05-03,43.29,43.39,42.37,42.73,4642987.0
2016-05-04,41.5,41.66,39.44,39.51,18793115.0
2016-05-05,39.85,40.24,39.28,39.75,6161298.0
2016-05-06,39.6,39.67,38.55,38.7,7356739.0
2016-05-09,38.66,38.9882,38.32,38.7,6488322.0
2016-05-10,38.9,39.64,38.75,39.08,5837068.0
2016-05-11,38.6,38.73,37.2,37.38,8007878.0
2016-05-12,37.63,38.07,37.08,37.66,7156189.0
2016-05-13,37.446,38.1,37.0,37.15,5679135.0
2016-05-16,37.21,37.4766,36.76,37.12,5324639.0
2016-05-17,37.12,37.36,36.69,36.89,4467568.0
2016-05-18,36.75,36.96,36.2,36.57,4563922.0
2016-05-19,36.68,37.65,36.61,37.44,6572880.0
2016-05-20,37.39,38.09,37.16,37.89,6479069.0
2016-05-23,37.99,38.51,37.15,37.27,5900329.0
2016-05-24,37.41,38.685,37.4,38.22,6857059.0
2016-05-25,38.72,38.73,37.9,38.31,4659373.0
2016-05-26,38.4,38.45,37.73,37.76,4691010.0
2016-05-27,37.84,38.14,37.73,37.92,3879378.0
