date,open,high,low,close,volume
2013-02-28,45.35,46.105,45.19,45.81,3776900.0
2013-03-01,45.97,46.37,45.55,46.17,2479700.0
2013-03-04,46.11,46.55,45.755,46.41,2255700.0
2013-03-05,46.52,46.69,46.04,46.58,2116600.0
2013-03-06,46.79,47.41,46.48,46.63,1781600.0
2013-03-07,46.77,46.9,45.98,46.41,2725700.0
2013-03-08,46.69,46.9936,46.02,46.78,2012400.0
2013-03-11,46.74,47.18,46.48,46.85,1195400.0
2013-03-12,46.79,46.91,46.08,46.41,1667800.0
2013-03-13,46.58,46.75,46.23,46.3,1821800.0
2013-03-14,46.33,46.49,45.72,45.76,1951200.0
2013-03-15,45.56,45.88,45.41,45.65,3093500.0
2013-03-18,45.5,45.52,45.085,45.23,1562400.0
2013-03-19,45.41,45.9,44.95,45.34,1895400.0
2013-03-20,45.52,46.2599,45.49,45.98,1533600.0
2013-03-21,45.57,45.93,45.46,45.62,1256500.0
2013-03-22,45.82,46.92,45.7,46.36,3202300.0
2013-03-25,46.46,46.57,45.97,46.32,1239500.0
2013-03-26,46.43,46.9,46.25,46.77,1630700.0
2013-03-27,46.46,47.2,46.16,47.12,1769200.0
