date,open,high,low,close,volume
2013-02-28,7.31,7.445,7.29,7.39,16258300.0
2013-03-01,7.35,7.43,7.26,7.37,15922900.0
2013-03-04,7.37,7.4,7.24,7.36,16031400.0
2013-03-05,7.4,7.44,7.28,7.38,15437500.0
2013-03-06,7.43,7.62,7.35,7.52,25952900.0
2013-03-07,7.53,7.6,7.42,7.43,11564600.0
2013-03-08,7.45,7.565,7.4099,7.49,11780900.0
2013-03-11,7.47,7.52,7.33,7.5,13266900.0
2013-03-12,7.48,7.645,7.46,7.59,19515100.0
2013-03-13,7.58,7.58,7.45,7.53,7493500.0
2013-03-14,7.58,7.58,7.48,7.52,8533700.0
2013-03-15,7.48,7.49,7.36,7.39,13345300.0
2013-03-18,7.3,7.39,7.295,7.32,9509900.0
2013-03-19,7.35,7.43,7.24,7.27,11274200.0
2013-03-20,7.31,7.52,7.3,7.45,14122300.0
2013-03-21,7.41,7.49,7.345,7.37,15274100.0
2013-03-22,7.38,7.48,7.35,7.4,10343400.0
2013-03-25,7.42,7.43,7.285,7.32,11806300.0
2013-03-26,7.32,7.46,7.28,7.44,14321900.0
2013-03-27,7.38,7.715,7.31,7.65,43986800.0
2013-03-28,7.65,7.85,7.6,7.81,49193600.0
2013-04-01,7.83,7.86,7.72,7.8,29655600.0
2013-04-02,7.83,7.95,7.8,7.89,14036700.0
2013-04-03,7.79,7.85,7.685,7.75,19796800.0
2013-04-04,7.77,7.94,7.72,7.92,19237100.0
2013-04-05,7.82,7.91,7.77,7.86,15631000.0
2013-04-08,7.83,7.87,7.74,7.81,20338600.0
2013-04-09,7.84,7.88,7.79,7.82,13054300.0
2013-04-10,7.83,7.87,7.78,7.79,13607000.0
2013-04-11,7.82,7.91,7.65,7.67,22500500.0
2013-04-12,7.68,7.76,7.61,7.66,29404000.0
2013-04-15,7.63,7.69,7.46,7.47,14095800.0
2013-04-16,7.5,7.54,7.2825,7.43,20330800.0
2013-04-17,7.36,7.4,7.18,7.28,18504600.0
2013-04-18,7.27,7.29,7.07,7.09,17823100.0
2013-04-19,7.18,7.31,7.13,7.27,17330500.0
2013-04-22,7.26,7.32,7.19,7.27,9739000.0
2013-04-23,7.29,7.42,7.28,7.35,10811300.0
2013-04-24,7.35,7.43,7.3,7.36,15120200.0
2013-04-25,7.35,7.58,7.29,7.54,44506100.0
2013-04-26,7.6,7.66,7.38,7.45,17130800.0
2013-04-29,7.45,7.525,7.44,7.49,6824800.0
2013-04-30,7.44,7.53,7.41,7.49,16287400.0
2013-05-01,7.47,7.61,7.45,7.49,12945600.0
2013-05-02,7.52,7.68,7.48,7.61,12569000.0
2013-05-03,7.7,7.76,7.65,7.69,10444500.0
2013-05-06,7.69,7.78,7.52,7.74,8083900.0
2013-05-07,7.74,7.755,7.63,7.69,8469600.0
2013-05-08,7.69,7.86,7.67,7.85,13150000.0
2013-05-09,7.87,8.32,7.87,8.3,32390500.0
2013-05-10,8.4901,8.59,8.36,8.45,29974600.0
2013-05-13,8.4,8.835,8.39,8.65,29685200.0
2013-05-14,8.67,8.74,8.55,8.7,28730700.0
2013-05-15,8.7,9.13,8.7,9.1,28149100.0
2013-05-16,9.17,9.18,8.96,9.04,36964000.0
