date,open,high,low,close,volume
2016-12-30,64.16,64.645,63.07,63.29,1224029.0
2017-01-03,64.14,64.88,63.09,63.31,1461940.0
2017-01-04,63.71,66.78,63.1,66.52,1559900.0
2017-01-05,67.0,68.36,65.82,65.94,1814299.0
2017-01-06,65.62,66.02,64.46,65.62,1041013.0
2017-01-09,65.64,67.95,65.64,67.25,1289142.0
2017-01-10,66.98,67.95,65.01,65.22,1437966.0
2017-01-11,65.37,67.19,65.0,66.98,1246960.0
2017-01-12,66.8,67.95,66.2,67.83,1176050.0
2017-01-13,67.91,68.26,67.0598,67.27,827372.0
2017-01-17,67.04,68.89,66.23,68.54,1222258.0
2017-01-18,68.99,69.57,68.36,68.92,1368038.0
2017-01-19,68.79,68.8,67.0697,67.43,1027716.0
2017-01-20,67.49,67.65,66.64,67.19,1069009.0
2017-01-23,67.24,67.72,66.26,67.5,1118368.0
2017-01-24,67.74,68.46,67.28,68.18,1278850.0
2017-01-25,68.24,69.1,68.0,68.95,644700.0
2017-01-26,68.68,69.14,67.99,68.02,565397.0
2017-01-27,68.29,68.4,67.73,68.14,542571.0
2017-01-30,68.19,68.19,66.06,66.94,920259.0
2017-01-31,66.96,68.0,66.75,68.0,662716.0
2017-02-01,68.0,69.13,68.0,68.9,809647.0
2017-02-02,68.51,69.64,68.51,68.84,858925.0
2017-02-03,69.04,69.6699,68.65,69.39,727814.0
2017-02-06,69.67,69.8,68.68,68.88,484603.0
2017-02-07,68.72,69.28,68.15,68.99,645325.0
2017-02-08,68.63,70.255,68.45,69.92,909657.0
2017-02-09,69.88,71.35,69.56,70.87,1104144.0
2017-02-10,70.73,70.89,68.31,68.44,1529487.0
2017-02-13,68.6,68.67699999999999,66.81,67.65,1337090.0
2017-02-14,67.73,68.69,67.5301,68.09,901463.0
2017-02-15,67.8,70.49,67.8,70.18,1188359.0
2017-02-16,70.15,71.45,68.13,69.26,1633769.0
2017-02-17,69.23,72.06,68.95,71.59,1498900.0
2017-02-21,72.01,73.0,71.25,72.48,1242498.0
2017-02-22,72.02,72.96,71.06,71.23,754214.0
2017-02-23,71.33,71.34,70.04,70.55,677065.0
2017-02-24,70.44,71.41,70.21,71.39,884954.0
2017-02-27,71.4,72.5,70.77,72.41,1241882.0
2017-02-28,72.17,72.45,69.3,70.0,2703489.0
2017-03-01,64.69,65.6825,62.5201,65.59,7652315.0
2017-03-02,65.53,66.04,64.5,66.01,3310011.0
2017-03-03,66.05,67.78,65.76,67.71,2359457.0
2017-03-06,68.74,69.21,67.22,67.75,1724075.0
2017-03-07,67.34,67.73,65.18,66.14,2001367.0
2017-03-08,66.0,66.86,65.87,66.75,1704544.0
2017-03-09,66.7,67.14,65.34,65.75,1622239.0
2017-03-10,65.85,67.45,65.85,66.8,2370445.0
2017-03-13,66.7,67.3,65.58,65.76,1354299.0
2017-03-14,65.82,65.9,63.94,64.44,1704579.0
2017-03-15,64.63,64.98,64.22,64.76,1276071.0
2017-03-16,64.77,65.1197,64.2,64.32,895042.0
2017-03-17,64.38,64.42,63.29,63.9,1438652.0
2017-03-20,63.87,63.88,63.03,63.16,973890.0
2017-03-21,63.1,63.5,62.0,62.09,1598144.0
2017-03-22,62.08,62.13,61.12,61.89,1117836.0
2017-03-23,61.89,62.43,61.66,62.27,1291934.0
2017-03-24,62.29,64.38,62.09,64.25,1965845.0
2017-03-27,64.51,66.395,64.17,64.78,1458122.0
2017-03-28,64.48,64.775,62.89,63.9,1389466.0
2017-03-29,63.6,63.93,62.37,62.38,1506860.0
2017-03-30,61.95,62.4,60.99,61.38,2830556.0
2017-03-31,61.5,61.75,60.96,61.32,1288425.0
2017-04-03,61.34,61.72,60.76,60.99,2034363.0
2017-04-04,60.88,60.88,59.01,60.18,1739664.0
2017-04-05,60.24,61.2,60.0802,60.36,1910870.0
2017-04-06,60.32,60.56,59.48,60.44,1074436.0
2017-04-07,60.26,60.45,59.31,60.14,994295.0
2017-04-10,60.15,60.85,59.93,60.67,914655.0
2017-04-11,60.49,60.81,60.3,60.76,1423663.0
2017-04-12,60.71,60.81,59.61,60.3,1491748.0
2017-04-13,60.05,60.69,59.92,60.07,1390758.0
2017-04-17,60.08,60.14,59.01,59.43,3259727.0
2017-04-18,58.88,59.35,58.15,58.65,1541181.0
2017-04-19,58.6,59.07,57.24,57.46,1743685.0
2017-04-20,57.0,57.02,53.12,55.36,4855307.0
2017-04-21,55.17,55.99,54.43,54.54,1679982.0
2017-04-24,54.92,55.415,54.22,55.21,1487056.0
2017-04-25,55.07,55.42,54.4401,54.98,1441525.0
2017-04-26,55.25,56.02,55.02,55.33,1877656.0
2017-04-27,55.44,56.15,55.09,55.39,1307597.0
2017-04-28,55.37,56.16,54.91,56.03,1769329.0
2017-05-01,55.97,56.86,55.97,56.18,1700247.0
2017-05-02,56.27,58.42,56.27,58.32,2153868.0
2017-05-03,60.01,61.7,58.22,58.22,4883413.0
2017-05-04,57.65,58.0,56.46,57.76,1912315.0
2017-05-05,57.9,58.16,57.45,57.55,1237981.0
2017-05-08,57.38,57.4,56.17,56.22,1704931.0
2017-05-09,56.31,56.47,55.45,55.99,1079233.0
2017-05-10,55.99,56.97,55.9,56.66,1226044.0
2017-05-11,56.62,57.58,56.2475,57.43,1832619.0
2017-05-12,57.39,57.425,56.35,56.57,1005010.0
2017-05-15,56.61,57.59,56.43,57.4,1676075.0
2017-05-16,57.05,57.24,55.96,56.15,1766413.0
2017-05-17,56.23,56.68,55.38,55.69,1088237.0
2017-05-18,55.97,56.36,55.65,55.86,764959.0
2017-05-19,56.02,56.32,55.57,55.91,696635.0
2017-05-22,55.67,56.4,55.67,55.71,806833.0
2017-05-23,55.72,56.26,55.1,55.56,1256610.0
2017-05-24,55.43,55.74,55.13,55.44,722123.0
2017-05-25,55.68,56.31,55.4,56.03,577768.0
2017-05-26,55.89,55.89,54.74,55.18,749284.0
2017-05-30,54.7,55.26,54.43,54.86,990429.0
2017-05-31,54.83,54.94,53.75,54.61,1781858.0
2017-06-01,54.84,56.035,54.5,55.92,1153658.0
2017-06-02,55.83,55.98,55.29,55.73,981381.0
2017-06-05,55.56,56.14,55.2,55.42,1089450.0
2017-06-06,55.34,55.58,54.87,55.11,1002347.0
2017-06-07,55.29,55.47,54.71,54.9,1193440.0
2017-06-08,54.9,54.91,54.31,54.61,1326743.0
2017-06-09,54.67,56.315,54.51,56.15,2014373.0
2017-06-12,56.21,57.205,55.99,56.95,1944644.0
2017-06-13,57.0,57.22,56.44,56.73,980088.0
2017-06-14,57.04,57.86,56.64,57.74,1792059.0
2017-06-15,57.6,57.885,56.965,57.71,1130112.0
2017-06-16,57.83,58.75,57.46,58.63,1808072.0
2017-06-19,58.6,59.13,57.96,58.86,1608160.0
2017-06-20,58.8,58.89,57.81,58.14,1624228.0
2017-06-21,58.4,59.47,57.93,58.24,1734545.0
2017-06-22,58.23,61.05,58.17,60.3,2617434.0
2017-06-23,60.66,61.15,60.36,60.65,2042870.0
2017-06-26,60.62,62.53,60.33,62.21,2054716.0
2017-06-27,62.27,63.22,62.22,62.67,1619750.0
2017-06-28,63.12,64.0,63.0217,63.36,1550781.0
2017-06-29,63.28,63.78,61.74,62.16,1252384.0
2017-06-30,62.43,62.98,62.25,62.67,1281532.0
2017-07-03,62.69,62.69,61.18,61.4,777335.0
2017-07-05,61.07,62.35,61.07,62.29,914038.0
2017-07-06,61.84,62.04,60.4175,60.58,872838.0
2017-07-07,60.66,61.73,60.13,61.65,832931.0
2017-07-10,61.51,61.64,60.59,60.84,716367.0
2017-07-11,60.76,61.355,60.29,61.16,774606.0
2017-07-12,61.5,62.28,61.015,61.87,826764.0
2017-07-13,61.88,62.09,61.11,61.3,692338.0
2017-07-14,61.49,62.12,61.18,61.79,849995.0
2017-07-17,62.08,62.25,61.35,61.65,932166.0
2017-07-18,61.77,61.77,60.9,61.14,709127.0
2017-07-19,61.2,62.25,61.09,62.23,839537.0
2017-07-20,62.25,63.31,61.99,62.94,630469.0
2017-07-21,62.92,63.25,62.12,62.61,585351.0
2017-07-24,62.5,62.79,59.01,60.28,3017662.0
2017-07-25,60.22,60.42,58.531000000000006,58.88,2085471.0
2017-07-26,58.27,58.85,57.151,58.15,2290182.0
2017-07-27,57.75,58.1,56.6,56.78,1417476.0
2017-07-28,56.81,56.85,55.92,56.16,1928946.0
2017-07-31,56.21,56.65,55.8825,56.43,1784013.0
2017-08-01,56.88,57.3,55.69,55.98,1476284.0
2017-08-02,55.6,55.94,54.52,54.75,1862176.0
2017-08-03,54.33,54.96,53.82,54.82,2200695.0
2017-08-04,54.92,55.81,54.82,55.79,1908403.0
2017-08-07,55.75,55.91,54.63,55.05,2271093.0
2017-08-08,56.13,58.05,54.975,55.55,3357815.0
2017-08-09,55.32,55.645,54.17,54.35,2152038.0
2017-08-10,53.99,54.0,51.44,52.77,3298088.0
2017-08-11,52.71,53.26,52.44,52.89,1356946.0
2017-08-14,53.09,53.23,51.09,51.32,1629211.0
2017-08-15,51.41,51.41,50.22,50.81,1730422.0
2017-08-16,50.94,51.35,50.62,51.02,1187051.0
2017-08-17,50.8,52.03,49.82,49.88,1539276.0
2017-08-18,49.88,50.45,49.56,50.21,1431713.0
2017-08-21,50.29,51.355,49.82,51.26,1892508.0
2017-08-22,51.17,51.73,50.93,51.41,1657927.0
2017-08-23,51.34,51.37,50.75,50.87,1080053.0
2017-08-24,50.95,51.56,50.69,50.82,1103331.0
2017-08-25,50.91,52.12,50.78,52.05,1295669.0
2017-08-28,52.14,52.22,51.07,51.53,1561271.0
2017-08-29,51.24,51.34,50.44,51.13,1522290.0
2017-08-30,51.0,51.65,50.57,51.52,1536901.0
2017-08-31,51.76,52.72,51.065,52.41,1363492.0
2017-09-01,52.59,52.71,51.9,52.31,851481.0
2017-09-05,52.15,52.29,50.74,50.93,2426162.0
2017-09-06,51.09,51.195,48.26,48.77,2288065.0
2017-09-07,48.8,49.25,47.57,48.5,2222423.0
2017-09-08,48.43,49.79,47.47,49.25,3855363.0
2017-09-11,49.61,50.91,49.5,50.62,2553857.0
2017-09-12,50.63,51.12,50.24,50.29,1365134.0
2017-09-13,50.23,50.37,49.475,49.75,1987025.0
2017-09-14,49.86,50.11,49.17,49.25,1738094.0
2017-09-15,49.18,49.18,47.92,48.49,2236351.0
2017-09-18,48.7,48.7,47.32,47.67,2524110.0
2017-09-19,46.11,46.55,43.095,43.11,11213439.0
2017-09-20,43.12,45.1,43.1,44.37,3752257.0
2017-09-21,44.56,44.81,43.91,44.76,1817131.0
2017-09-22,44.63,45.33,42.91,44.69,3132403.0
2017-09-25,44.79,45.32,43.37,43.62,1743701.0
2017-09-26,43.64,44.295,42.71,43.27,3107400.0
2017-09-27,43.53,43.66,42.615,42.8,1509723.0
2017-09-28,42.56,44.16,42.5,44.0,2176856.0
2017-09-29,44.01,45.11,43.67,44.95,2539282.0
2017-10-02,44.88,45.34,44.46,44.97,1927432.0
2017-10-03,45.19,45.19,44.21,44.85,1485953.0
2017-10-04,45.1,45.205,44.51,44.57,1353491.0
2017-10-05,44.45,45.04,44.45,44.57,908470.0
2017-10-06,44.51,44.815,43.59,44.54,1616800.0
2017-10-09,44.33,44.45,42.71,42.93,1914994.0
2017-10-10,43.03,43.47,42.27,42.38,1315968.0
2017-10-11,42.13,42.68,41.57,41.84,2131331.0
2017-10-12,41.59,41.84,40.71,41.65,2363181.0
2017-10-13,40.87,41.39,39.66,40.74,2306567.0
2017-10-16,40.8,41.675,40.67,41.45,2671805.0
2017-10-17,41.76,41.98,40.95,41.78,1717961.0
2017-10-18,41.78,41.78,40.65,40.65,1538019.0
2017-10-19,40.67,45.3,40.32,45.08,6684749.0
2017-10-20,45.3,45.97,44.46,45.13,3200879.0
2017-10-23,44.84,44.87,43.52,44.15,2080864.0
2017-10-24,44.1,44.44,42.51,43.6,2092919.0
2017-10-25,43.65,43.65,41.901,42.595,1916468.0
2017-10-26,42.64,43.45,41.88,43.27,2228193.0
2017-10-27,43.27,43.58,42.66,43.4,1881570.0
2017-10-30,43.73,43.73,41.23,42.05,2602732.0
2017-10-31,41.94,42.955,41.46,42.6,2529161.0
2017-11-01,30.07,31.65,26.56,28.03,50431279.0
