date,open,high,low,close,volume
2013-02-28,8.5,8.7,8.37,8.54,8376400.0
2013-03-01,8.46,8.57,8.3,8.52,9861800.0
2013-03-04,8.52,9.13,8.51,9.09,16513500.0
2013-03-05,9.36,9.87,9.25,9.39,24210600.0
2013-03-06,9.49,10.04,9.43,9.61,20225600.0
2013-03-07,9.66,9.81,9.57,9.65,13371500.0
2013-03-08,9.82,9.87,9.7,9.84,8935000.0
2013-03-11,10.73,10.74,10.36,10.5,30993900.0
2013-03-12,10.51,10.62,10.36,10.46,12201400.0
2013-03-13,10.46,10.55,10.4,10.51,9624800.0
2013-03-14,10.55,10.57,10.42,10.5,8950400.0
2013-03-15,10.46,10.53,10.4,10.49,9074000.0
2013-03-18,10.24,10.51,10.16,10.44,8829700.0
2013-03-19,10.5,10.55,10.04,10.1,10681200.0
2013-03-20,10.25,10.39,10.165,10.23,8021900.0
2013-03-21,10.15,10.26,10.0,10.01,7921400.0
2013-03-22,10.06,10.15,9.96,10.14,4706100.0
2013-03-25,10.23,10.39,10.05,10.15,6529900.0
2013-03-26,10.18,10.25,10.11,10.22,4775400.0
2013-03-27,10.1,10.23,9.94,10.19,6159900.0
2013-03-28,10.22,10.28,9.88,10.0,11604600.0
2013-04-01,10.06,10.17,9.84,9.87,8603300.0
2013-04-02,9.9,9.97,9.76,9.79,9376000.0
2013-04-03,9.76,9.79,9.39,9.44,10026400.0
2013-04-04,9.45,9.53,9.31,9.49,9372700.0
2013-04-05,9.25,9.51,9.17,9.46,6963200.0
2013-04-08,9.47,9.75,9.31,9.73,6425800.0
2013-04-09,9.93,10.0,9.74,9.77,7297100.0
2013-04-10,9.77,10.04,9.76,9.94,7525900.0
2013-04-11,9.96,10.06,9.92,9.99,6930500.0
2013-04-12,9.9,9.96,9.79,9.9,3773300.0
2013-04-15,9.84,9.84,9.34,9.37,7196900.0
2013-04-16,9.53,9.75,9.46,9.71,5608500.0
2013-04-17,9.57,9.6,9.23,9.3,8523600.0
2013-04-18,9.34,9.37,8.98,9.1,7487100.0
2013-04-19,9.18,9.41,9.01,9.37,5981100.0
2013-04-22,9.39,9.43,9.06,9.31,5933700.0
2013-04-23,9.37,9.825,9.36,9.65,6939400.0
2013-04-24,9.67,9.96,9.59,9.9,6115000.0
2013-04-25,9.96,10.05,9.91,9.99,8110300.0
2013-04-26,9.98,10.0291,9.8,9.87,4645700.0
2013-04-29,9.93,10.01,9.87,9.94,4228900.0
2013-04-30,9.84,10.03,9.81,10.03,13110900.0
2013-05-01,10.51,10.655999999999999,10.15,10.27,18834700.0
2013-05-02,10.36,10.4,10.16,10.33,9976400.0
2013-05-03,10.5,10.62,10.41,10.47,8525900.0
2013-05-06,10.53,10.675,10.48,10.65,10653000.0
2013-05-07,10.77,10.98,10.68,10.89,10084600.0
2013-05-08,10.93,11.02,10.58,10.68,15193600.0
2013-05-09,10.74,10.7801,10.43,10.45,9411200.0
2013-05-10,10.51,10.51,10.34,10.44,6117100.0
2013-05-13,10.42,10.67,10.38,10.65,6692300.0
2013-05-14,10.69,11.0,10.68,11.0,12417500.0
2013-05-15,11.01,11.13,10.87,10.935,11776600.0
2013-05-16,10.95,11.0,10.54,10.61,11781200.0
2013-05-17,10.65,10.75,10.63,10.74,7058500.0
2013-05-20,10.73,10.82,10.63,10.78,6524500.0
2013-05-21,10.82,10.85,10.61,10.78,7575500.0
2013-05-22,10.78,10.89,10.44,10.48,9921100.0
2013-05-23,10.23,10.53,10.1,10.5,9727100.0
2013-05-24,10.4099,10.4099,10.2,10.35,5628600.0
2013-05-28,10.56,10.73,10.55,10.67,7788600.0
2013-05-29,10.57,10.76,10.52,10.7,8203800.0
2013-05-30,10.74,11.05,10.65,11.02,12113100.0
2013-05-31,10.99,11.09,10.8,10.81,7856200.0
2013-06-03,10.86,10.91,10.42,10.85,12065200.0
2013-06-04,10.82,10.96,10.49,10.64,12102400.0
2013-06-05,10.6,10.6,10.34,10.35,7107300.0
2013-06-06,10.34,10.58,10.26,10.57,5886300.0
2013-06-07,10.68,10.96,10.59,10.92,6180500.0
2013-06-10,10.99,11.21,10.86,11.14,7705900.0
2013-06-11,10.9699,11.09,10.82,10.88,6782900.0
2013-06-12,11.0,11.03,10.68,10.7,5597100.0
2013-06-13,10.66,11.08,10.63,11.06,8105500.0
2013-06-14,11.06,11.06,10.79,11.0,12175600.0
2013-06-17,11.1,11.32,11.09,11.2,9113600.0
2013-06-18,11.21,11.39,11.18,11.39,7162500.0
2013-06-19,11.36,11.48,11.225,11.27,9195000.0
