date,open,high,low,close,volume
2014-08-29,80.51,81.7599,80.51,81.49,2659000.0
2014-09-02,81.86,82.78,80.77,82.3,3147900.0
2014-09-03,83.07,85.55,83.06,85.34,4376000.0
2014-09-04,86.71,87.15,84.0,84.21,3685800.0
2014-09-05,84.88,85.38,82.61,84.51,2595500.0
2014-09-08,84.54,85.71,84.32,85.33,1537800.0
2014-09-09,85.24,85.84,83.88,83.94,2057000.0
2014-09-10,84.37,86.22,84.0,85.93,1635500.0
2014-09-11,85.62,87.0,84.88,86.84,1740700.0
2014-09-12,86.32,86.83,85.12,86.25,1911400.0
2014-09-15,86.09,86.2,85.24,85.78,1684300.0
2014-09-16,85.5,87.09,84.91,86.89,1691300.0
2014-09-17,86.85,87.76,86.38,87.37,1094400.0
2014-09-18,87.41,87.91,87.24,87.7,885600.0
2014-09-19,88.54,89.53,88.24,88.82,3942900.0
2014-09-22,88.28,89.42,87.77,88.95,1656743.0
2014-09-23,88.57,89.19,88.0,88.58,976005.0
2014-09-24,88.83,89.67,88.25,89.19,1948426.0
2014-09-25,89.1,89.42,87.83,88.47,1155671.0
2014-09-26,88.8,90.5,88.48,90.0,1648303.0
2014-09-29,89.1,91.31,89.09,89.92,2149974.0
2014-09-30,89.93,91.37700000000001,88.8,90.15,2520521.0
2014-10-01,90.15,90.45,88.61,89.06,2000384.0
2014-10-02,89.22,91.05,88.71,90.92,2807320.0
2014-10-03,91.48,93.07,90.7,92.93,3184802.0
2014-10-06,93.28,94.01,92.52,93.29,2299062.0
2014-10-07,92.9,93.34,91.21,91.32,1978933.0
2014-10-08,91.18,92.55,90.21,92.51,1614853.0
2014-10-09,92.82,93.31,90.31,90.5,1466650.0
2014-10-10,89.88,91.48,87.78,87.97,2025232.0
2014-10-13,87.98,88.31200000000001,83.88,86.1,3035161.0
2014-10-14,88.89,89.21,85.47,85.99,2741010.0
2014-10-15,84.05,85.2,81.5,84.33,3926448.0
2014-10-16,81.77,84.55,81.77,83.19,2325417.0
2014-10-17,83.94,87.66,83.5,86.6,2731905.0
2014-10-20,86.6,87.36,85.55,87.15,1581761.0
2014-10-21,87.86,89.49,87.5806,89.3,1376131.0
2014-10-22,89.47,90.1,86.68,87.1,1779445.0
2014-10-23,88.7,90.78,88.14,89.25,1314739.0
2014-10-24,89.25,91.1,88.54,90.97,744321.0
2014-10-27,90.97,91.5,89.93,90.93,962800.0
2014-10-28,91.29,93.94,91.28,93.74,1424994.0
2014-10-29,93.74,93.78,92.35,93.01,996870.0
2014-10-30,92.86,93.73,91.82,92.83,759319.0
2014-10-31,93.95,94.32,91.545,92.18,1144469.0
2014-11-03,92.34,93.48,91.71,93.43,872443.0
2014-11-04,93.38,94.22,93.09,94.09,1513908.0
2014-11-05,94.5,95.74,93.14,93.5,1110836.0
2014-11-06,93.48,95.01,93.26,94.55,811524.0
2014-11-07,94.63,94.7399,90.88,91.06,1929193.0
2014-11-10,91.0,93.32,90.8,93.23,814918.0
2014-11-11,93.35,94.3,92.19,93.71,935096.0
2014-11-12,93.48,93.69,92.5983,92.99,593876.0
2014-11-13,86.38,88.35,85.5025,86.96,4124053.0
2014-11-14,86.9,88.11,85.53,88.11,2029131.0
2014-11-17,87.92,89.23,87.63,88.43,1080887.0
2014-11-18,88.43,89.7,88.05,88.8,1404277.0
2014-11-19,87.56,88.0,83.57,85.98,3612979.0
2014-11-20,85.33,87.36,84.37,87.12,1974707.0
2014-11-21,87.76,87.76,86.3,87.02,1411287.0
2014-11-24,87.4,90.81,87.27,90.34,1562163.0
2014-11-25,88.0,90.91,88.0,90.91,2972754.0
2014-11-26,91.58,93.64,91.3,91.64,2330135.0
2014-11-28,91.64,92.66,91.429,92.22,706114.0
2014-12-01,91.6,91.6,88.17,88.22,1440419.0
2014-12-02,88.92,91.99,88.75,91.77,1555127.0
2014-12-03,91.41,91.78,89.6,91.24,1573196.0
2014-12-04,91.24,95.15,90.51,94.05,2567120.0
2014-12-05,94.53,96.49,94.53,95.61,1498264.0
2014-12-08,95.64,96.74,95.33,96.27,2044389.0
2014-12-09,96.06,96.97,95.02,96.72,1306781.0
2014-12-10,96.04,97.47,95.82,96.11,1179105.0
2014-12-11,96.45,97.8,94.84,95.08,959409.0
