date,open,high,low,close,volume
2017-07-31,77.276631405413,77.346294820717,76.460574254705,76.749179832395,1268995.0
2017-08-01,77.11740074186,77.9931693914,76.684492375326,77.107448825388,1015340.0
2017-08-02,73.52475889545299,73.52475889545299,70.947212529194,72.16134633878299,4356018.0
2017-08-03,71.75331776342901,73.335672482484,71.75331776342901,73.096826487155,1243835.0
2017-08-04,73.843220222558,75.077257865091,73.743701057838,74.72894078857,1181364.0
2017-08-07,74.79860420387399,75.107113614507,74.242292073087,74.689133122682,572393.0
2017-08-08,74.579662041489,74.90319884599499,73.75862893254599,74.042258551999,907229.0
2017-08-09,73.773556807254,73.85317213903001,73.151562027751,73.763604890782,843805.0
2017-08-10,73.474999313092,73.634229976645,72.211105921143,72.270817419975,692264.0
2017-08-11,72.270817419975,72.917691990658,72.171298255255,72.211105921143,427178.0
2017-08-14,72.66889407885701,73.29586481659601,72.60918258002499,73.26600906718001,445866.0
2017-08-15,73.3,73.3,72.44,72.44,504844.0
2017-08-16,72.68,72.96,72.5,72.7,462396.0
2017-08-17,72.94,73.49,72.78,72.79,446830.0
2017-08-18,72.82,73.26,72.49,73.07,524965.0
2017-08-21,73.06,73.53,72.74,73.44,285594.0
2017-08-22,73.52,74.85,73.49,74.55,500294.0
2017-08-23,74.44,74.655,73.75,73.91,508806.0
2017-08-24,73.82,74.16,73.57,73.9,436913.0
2017-08-25,74.3,74.41,73.845,74.2,457727.0
2017-08-28,74.23,75.54,74.23,75.54,617911.0
2017-08-29,75.04,75.68,74.87,74.95,491837.0
2017-08-30,74.95,75.76,74.95,75.58,437525.0
2017-08-31,76.0,77.68,75.75,77.58,736659.0
2017-09-01,77.56,77.95,77.06,77.59,424640.0
2017-09-05,77.3,77.5,76.26,76.6,850090.0
2017-09-06,76.77,77.78,76.57,77.66,395203.0
2017-09-07,77.76,78.86,77.07,78.82,569423.0
2017-09-08,79.01,80.381,78.87,79.84,557442.0
2017-09-11,80.59,81.87,80.01,81.38,697673.0
2017-09-12,81.26,81.29,80.56,80.88,606003.0
2017-09-13,80.79,80.85,79.22,79.61,667582.0
2017-09-14,79.4,80.61,79.12,80.55,783582.0
2017-09-15,80.45,80.5,79.2,79.23,1232677.0
2017-09-18,79.64,79.97,79.3,79.53,439029.0
2017-09-19,79.53,79.64,78.87,79.45,439416.0
2017-09-20,79.59,80.045,78.96,79.6,361933.0
2017-09-21,78.5,78.75,77.22,77.32,768918.0
2017-09-22,77.17,77.6,77.12,77.38,600244.0
2017-09-25,77.35,77.6,76.62,77.2,500954.0
2017-09-26,76.76,76.99,76.28,76.3,445904.0
2017-09-27,76.62,76.8,75.28,76.16,667368.0
2017-09-28,76.53,76.76,75.835,76.11,445592.0
2017-09-29,76.01,76.995,75.83,76.96,422006.0
2017-10-02,76.94,77.44,76.56,77.41,349797.0
2017-10-03,77.32,77.8,76.18,76.53,528835.0
2017-10-04,76.45,77.38,76.32,77.27,491235.0
2017-10-05,77.26,77.65,76.91,77.3,425924.0
