date,open,high,low,close,volume
2013-02-28,5.85,5.87,5.8,5.8,16925300.0
2013-03-01,5.8,5.83,5.75,5.8,13975700.0
2013-03-04,5.78,5.86,5.77,5.83,15925200.0
2013-03-05,5.84,5.88,5.84,5.87,12470800.0
2013-03-06,5.88,5.92,5.86,5.87,22610400.0
2013-03-07,5.88,5.91,5.83,5.85,13156900.0
2013-03-08,5.87,5.9,5.82,5.88,15208100.0
2013-03-11,5.86,5.88,5.83,5.86,15562800.0
2013-03-12,5.85,5.94,5.84,5.92,23740100.0
2013-03-13,5.91,5.93,5.88,5.88,16995500.0
2013-03-14,5.91,5.91,5.86,5.86,20382100.0
2013-03-15,5.87,5.92,5.81,5.81,48777700.0
2013-03-18,5.8,5.92,5.79,5.87,28272600.0
2013-03-19,5.86,6.09,5.86,6.03,95334600.0
2013-03-20,6.01,6.11,5.99,6.03,40259700.0
2013-03-21,6.0,6.09,6.0,6.06,26739300.0
2013-03-22,6.06,6.22,6.05,6.14,57339100.0
2013-03-25,6.15,6.18,6.01,6.03,48355000.0
2013-03-26,6.05,6.13,6.0,6.05,46170900.0
2013-03-27,6.02,6.08,6.0,6.04,40177400.0
2013-03-28,6.06,6.21,6.05,6.21,53855800.0
2013-04-01,6.24,6.25,6.16,6.25,26939900.0
2013-04-02,6.25,6.27,6.21,6.23,23271900.0
2013-04-03,6.22,6.24,6.14,6.16,27388300.0
2013-04-04,6.15,6.24,6.12,6.21,22224000.0
2013-04-05,6.18,6.23,6.15,6.23,18090000.0
2013-04-08,6.23,6.33,6.22,6.3,26202100.0
2013-04-09,6.3,6.31,6.24,6.28,22467100.0
2013-04-10,6.3,6.3,6.24,6.25,34743500.0
2013-04-11,6.23,6.28,6.21,6.26,30008100.0
2013-04-12,6.21,6.27,6.16,6.22,46111300.0
2013-04-15,7.22,7.33,6.9,7.06,440739400.0
2013-04-16,7.14,7.22,7.09,7.2,126042700.0
2013-04-17,7.21,7.35,7.07,7.09,118818800.0
2013-04-18,7.12,7.21,7.1,7.19,87305400.0
2013-04-19,7.15,7.21,7.11,7.17,100017500.0
2013-04-22,7.17,7.2,7.13,7.17,44041200.0
2013-04-23,7.15,7.19,7.1,7.1,49242700.0
2013-04-24,7.11,7.19,7.01,7.09,118339400.0
2013-04-25,7.11,7.22,7.09,7.14,84298500.0
2013-04-26,7.17,7.2,7.12,7.12,78690200.0
2013-04-29,7.11,7.16,7.1,7.12,30246000.0
2013-04-30,7.16,7.16,7.02,7.05,89107600.0
2013-05-01,7.07,7.12,7.05,7.06,43015000.0
2013-05-02,7.08,7.11,7.06,7.1,50399500.0
2013-05-03,7.1,7.16,7.09,7.15,45420800.0
2013-05-06,7.15,7.2,7.13,7.2,22711700.0
2013-05-07,7.21,7.28,7.2,7.22,41990600.0
2013-05-08,7.24,7.32,7.23,7.32,27134800.0
2013-05-09,7.38,7.4,7.32,7.35,72035500.0
2013-05-10,7.39,7.4,7.33,7.36,45749500.0
2013-05-13,7.32,7.33,7.16,7.18,77025900.0
2013-05-14,7.2,7.27,7.17,7.26,53199600.0
2013-05-15,7.26,7.34,7.22,7.25,43159800.0
2013-05-16,7.27,7.35,7.26,7.28,60024800.0
2013-05-17,7.3,7.35,7.25,7.32,40015700.0
2013-05-20,7.32,7.37,7.25,7.29,36573200.0
2013-05-21,7.39,7.4,7.34,7.39,33968100.0
